"I want it2296" "I want it2297" "all gone2302" "all gone2303" "all gone2304" "all gone2305" "all gone2306" "baby3105" "byebye2277" "byebye2278" "byebye2279" "car1865" "car2282" "car2283" "car2691" "car3325" "cheers2280" "cheers2281" "choochoo2313" "choochoo2314" "doggie2315" "don't1866" "foot2275" "foot2276" "foot3549" "hello1870" "here2298" "here2299" "hold me2284" "hold me2285" "hold me3326" "hot3550" "hot3551" "hot3552" "juice2291" "juice2292" "juice2293" "juice2294" "juice2295" "jump1867" "jump1868" "jump1869" "jump2289" "jump2290" "mummy2301" "ouch2908" "ouch2909" "ouch2910" "ouch2911" "ouch3106" "please2287" "shoes3330" "shoes3331" "take off clothes2312" "telephone2286" "this2300" "where2288"
"I want it2296" 0 2.02237484161567 10.6766854442321 13.5051125689783 13.5051125689783 10.6766854442321 9.75998490168896 12.3730469728075 10.1625191253817 10.1625191253817 12.3637079597312 10.1625191253817 10.4055833133576 9.75086458069659 9.21076931263908 12.9909462501279 9.91433203187598 9.91433203187598 9.88598893788491 10.1625191253817 15.3637079597312 11.0341450044831 7.12872438455077 8.1854323697616 10.0804895351832 6.00920719392265 8.02100952831344 8.23396366871636 11.879015583818 9.21359193188069 11.5302167222361 7.51818690907182 7.51818690907182 7.51818690907182 10.0442472094097 6.9651606199414 10.0442472094097 10.0442472094097 10.0442472094097 18.491151777221 24.491151777221 21.2058346540052 10.1087837632708 9.75998490168896 12.3637079597312 5.89414452228368 5.89414452228368 6.89414452228368 6.89414452228368 12.3730469728075 11.0442472094097 11.3376343186688 11.3376343186688 10.8310325744191 9.91433203187598 8.96749962120263 9.42613436626677
"I want it2297" 2.02237484161567 0 11.0889379799169 13.9173651046631 13.9173651046631 11.0889379799169 10.1722374373737 12.7852995084922 10.5747716610664 10.5747716610664 12.7759604954159 10.5747716610664 10.8178358490424 10.1631171163813 9.62302184832383 13.4031987858126 10.3265845675607 10.3265845675607 10.2982414735697 10.5747716610664 15.7759604954159 11.4463975401678 7.54097692023553 8.59768490544635 9.91818690907182 6.4214597296074 8.43326206399819 8.64621620440111 11.0826287507332 9.62584446756545 11.9424692579208 8.77428974360752 8.77428974360752 8.77428974360752 9.88194458329835 7.37741315562615 9.88194458329835 9.88194458329835 9.88194458329835 18.9034043129058 24.9034043129058 21.6180871896899 10.0740617737963 10.1722374373737 12.7759604954159 6.30639705796843 6.30639705796843 7.30639705796843 7.30639705796843 12.7852995084922 10.8819445832984 11.7498868543536 11.7498868543536 11.2432851101039 10.3265845675607 9.37975215688738 9.83838690195152
"all gone2302" 10.6766854442321 11.0889379799169 0 2.82842712474619 2.82842712474619 0 2.64575131106459 10.285383285786 8.24621125123532 8.24621125123532 8.63481325796916 7.12310562561766 8.06225774829855 5.69258240356725 6 11.0746383759815 6.76885693668225 6.76885693668225 8.94427190999916 8.24621125123532 11.6348132579692 6.16227766016838 6.81237103754723 6.20156211871642 12.0557221958688 7.82182538049648 8.48528137423857 8.01755790475466 13.8910186075164 9.3471617820182 11.4322488236821 12.3511837737928 12.3511837737928 12.3511837737928 10.961668461923 6.82348884369279 10.961668461923 10.961668461923 10.961668461923 14.2225710564096 20.2225710564096 16.9372539331938 5.64575131106459 7.11788726606417 8.63481325796916 6.16227766016838 6.16227766016838 5.64575131106459 5.64575131106459 6.3166247903554 10.4451421128192 11.801906164594 11.801906164594 3 6.76885693668225 8.14776552507261 6.88839199818388
"all gone2303" 13.5051125689783 13.9173651046631 2.82842712474619 0 0 2.82842712474619 5.47417843581078 13.1138104105322 11.0746383759815 11.0746383759815 11.4632403827154 9.95153275036385 10.8906848730447 8.52100952831344 8.82842712474619 13.9030655007277 9.59728406142844 9.59728406142844 11.7726990347453 11.0746383759815 12.5077966041766 8.99070478491457 9.64079816229342 9.02998924346261 14.884149320615 10.6502525052427 11.3137084989848 10.8459850295009 16.7194457322626 6.51873465727201 14.2606759484283 15.179610898539 15.179610898539 15.179610898539 13.7900955866692 9.65191596843898 13.7900955866692 13.7900955866692 13.7900955866692 17.0509981811558 23.0509981811558 19.76568105794 8.47417843581078 9.94631439081036 11.4632403827154 8.99070478491457 8.99070478491457 8.47417843581078 8.47417843581078 9.14505191510159 13.2735692375654 14.6303332893402 14.6303332893402 5.82842712474619 9.59728406142844 10.9761926498188 9.71681912293007
"all gone2304" 13.5051125689783 13.9173651046631 2.82842712474619 0 0 2.82842712474619 5.47417843581078 13.1138104105322 11.0746383759815 11.0746383759815 11.4632403827154 9.95153275036385 10.8906848730447 8.52100952831344 8.82842712474619 13.9030655007277 9.59728406142844 9.59728406142844 11.7726990347453 11.0746383759815 12.5077966041766 8.99070478491457 9.64079816229342 9.02998924346261 14.884149320615 10.6502525052427 11.3137084989848 10.8459850295009 16.7194457322626 6.51873465727201 14.2606759484283 15.179610898539 15.179610898539 15.179610898539 13.7900955866692 9.65191596843898 13.7900955866692 13.7900955866692 13.7900955866692 17.0509981811558 23.0509981811558 19.76568105794 8.47417843581078 9.94631439081036 11.4632403827154 8.99070478491457 8.99070478491457 8.47417843581078 8.47417843581078 9.14505191510159 13.2735692375654 14.6303332893402 14.6303332893402 5.82842712474619 9.59728406142844 10.9761926498188 9.71681912293007
"all gone2305" 10.6766854442321 11.0889379799169 0 2.82842712474619 2.82842712474619 0 2.64575131106459 10.285383285786 8.24621125123532 8.24621125123532 8.63481325796916 7.12310562561766 8.06225774829855 5.69258240356725 6 11.0746383759815 6.76885693668225 6.76885693668225 8.94427190999916 8.24621125123532 11.6348132579692 6.16227766016838 6.81237103754723 6.20156211871642 12.0557221958688 7.82182538049648 8.48528137423857 8.01755790475466 13.8910186075164 9.3471617820182 11.4322488236821 12.3511837737928 12.3511837737928 12.3511837737928 10.961668461923 6.82348884369279 10.961668461923 10.961668461923 10.961668461923 14.2225710564096 20.2225710564096 16.9372539331938 5.64575131106459 7.11788726606417 8.63481325796916 6.16227766016838 6.16227766016838 5.64575131106459 5.64575131106459 6.3166247903554 10.4451421128192 11.801906164594 11.801906164594 3 6.76885693668225 8.14776552507261 6.88839199818388
"all gone2306" 9.75998490168896 10.1722374373737 2.64575131106459 5.47417843581078 5.47417843581078 2.64575131106459 0 10.4476609459544 7.28538328578604 7.28538328578604 9.13819494626216 6.16227766016838 7.2326909928657 4.11803398874989 6.16227766016838 10.1138104105322 4.12310562561766 4.12310562561766 7.78876074535498 7.28538328578604 12.1381949462622 7.12310562561766 6.10166535150819 6.3638397788848 12.2179998560372 6.90512483795333 7.24264068711928 6.77491721763537 13.1803129214774 8.63645609597916 10.7215431376431 12.5134614339612 12.5134614339612 12.5134614339612 8.31591715085843 5.15530399926267 8.31591715085843 8.31591715085843 8.31591715085843 11.576819745345 17.576819745345 14.2915026221292 3 4.47213595499958 9.13819494626216 6.32455532033676 6.32455532033676 5.80802897123297 5.80802897123297 6.47890245052378 7.79939080175464 10.5592654774747 10.5592654774747 5.64575131106459 4.12310562561766 6.90512483795333 4.24264068711928
"baby3105" 12.3730469728075 12.7852995084922 10.285383285786 13.1138104105322 13.1138104105322 10.285383285786 10.4476609459544 0 5.99070478491457 5.99070478491457 8.96606948309956 8.81913190966076 7.35486006373563 8.86298610818358 5.99070478491457 8.81913190966076 6.32455532033676 6.32455532033676 7.16227766016838 5.99070478491457 11.9660694830996 8.63645609597916 8.82619416066613 6.3638397788848 12.3723469862242 9.19226690363099 9.79552724087918 9.6804645692402 16.1357567000162 11.9814095698291 12.6239543656254 12.6678085641482 12.6678085641482 12.6678085641482 14.7948196013822 9.10832462718277 14.7948196013822 14.7948196013822 14.7948196013822 14.2132758413242 20.2132758413242 18.7595617215968 13.4476609459544 7.32455532033676 8.96606948309956 6.47890245052378 6.47890245052378 6.32455532033676 6.32455532033676 5.12310562561766 14.6404724711952 13.1121520312346 13.1121520312346 8.99070478491457 6.32455532033676 10.3840272884771 9.64118011069216
"byebye2277" 10.1625191253817 10.5747716610664 8.24621125123532 11.0746383759815 11.0746383759815 8.24621125123532 7.28538328578604 5.99070478491457 0 0 6.07947366142827 2.82842712474619 3 6.18252909099587 5.65685424949238 2.82842712474619 3.16227766016838 3.16227766016838 2 0 9.07947366142827 5.47417843581078 6.83548937575156 6.02998924346261 12.038496450802 6.98173905620523 6.6332495807108 6.51818690907182 14.1450519151016 9.99070478491457 10.6332495807108 12.333958028726 12.333958028726 12.333958028726 11.6325419412138 6.01331855134916 11.6325419412138 11.6325419412138 11.6325419412138 14.5675245302596 20.5675245302596 17.2822074070438 10.285383285786 4.16227766016838 6.07947366142827 6.14505191510159 6.14505191510159 5.99070478491457 5.99070478491457 10.2681575407193 11.4781948110268 9.9498743710662 9.9498743710662 6.95153275036385 3.16227766016838 7.22174962830873 6.47890245052378
"byebye2278" 10.1625191253817 10.5747716610664 8.24621125123532 11.0746383759815 11.0746383759815 8.24621125123532 7.28538328578604 5.99070478491457 0 0 6.07947366142827 2.82842712474619 3 6.18252909099587 5.65685424949238 2.82842712474619 3.16227766016838 3.16227766016838 2 0 9.07947366142827 5.47417843581078 6.83548937575156 6.02998924346261 12.038496450802 6.98173905620523 6.6332495807108 6.51818690907182 14.1450519151016 9.99070478491457 10.6332495807108 12.333958028726 12.333958028726 12.333958028726 11.6325419412138 6.01331855134916 11.6325419412138 11.6325419412138 11.6325419412138 14.5675245302596 20.5675245302596 17.2822074070438 10.285383285786 4.16227766016838 6.07947366142827 6.14505191510159 6.14505191510159 5.99070478491457 5.99070478491457 10.2681575407193 11.4781948110268 9.9498743710662 9.9498743710662 6.95153275036385 3.16227766016838 7.22174962830873 6.47890245052378
