"Boubou2449" "Boubou2450" "Boubou2451" "Corinne2452" "Maman2458" "Nana2459" "Papa2460" "Papa2461" "Papa2462" "Petit2972" "Pin pon2463" "Pin pon2464" "Pin pon3112" "Popi2465" "Tonton2466" "Tonton2467" "cot cot2453" "croco2454" "croco2455" "croco2456" "croco3111" "les deux2971" "plus grand2457"
"Boubou2449" 0 0 0 8.5407941251551 5.29150262212918 8.24621125123532 2 2 2 7.14505191510159 2 3.69258240356725 6.82842712474619 4.3166247903554 6.6332495807108 6.6332495807108 6.6332495807108 6.6332495807108 6.6332495807108 6.6332495807108 5.65685424949238 5.99070478491457 4.77491721763537
"Boubou2450" 0 0 0 8.5407941251551 5.29150262212918 8.24621125123532 2 2 2 7.14505191510159 2 3.69258240356725 6.82842712474619 4.3166247903554 6.6332495807108 6.6332495807108 6.6332495807108 6.6332495807108 6.6332495807108 6.6332495807108 5.65685424949238 5.99070478491457 4.77491721763537
"Boubou2451" 0 0 0 8.5407941251551 5.29150262212918 8.24621125123532 2 2 2 7.14505191510159 2 3.69258240356725 6.82842712474619 4.3166247903554 6.6332495807108 6.6332495807108 6.6332495807108 6.6332495807108 6.6332495807108 6.6332495807108 5.65685424949238 5.99070478491457 4.77491721763537
"Corinne2452" 8.5407941251551 8.5407941251551 8.5407941251551 0 7.81024967590665 4.58257569495584 9.2169905660283 9.2169905660283 9.2169905660283 10.6889061136244 9.2169905660283 8.18109218116606 10.372281323269 7.91855268474473 8.77200187265877 8.77200187265877 8.77200187265877 8.77200187265877 8.77200187265877 8.77200187265877 5.74456264653803 5.56486372683627 8.32254184149229
"Maman2458" 5.29150262212918 5.29150262212918 5.29150262212918 7.81024967590665 0 6.32455532033676 6.32455532033676 6.32455532033676 6.32455532033676 9.12465376158837 6.32455532033676 7.06740249812171 8.80802897123297 7.63441361516796 8.94427190999916 8.94427190999916 8.94427190999916 8.94427190999916 8.94427190999916 8.94427190999916 5.29150262212918 6.76885693668225 6.93719487780375
"Nana2459" 8.24621125123532 8.24621125123532 8.24621125123532 4.58257569495584 6.32455532033676 0 8.94427190999916 8.94427190999916 8.94427190999916 10.788760745355 8.94427190999916 8.37726079295291 10.4721359549996 7.63441361516796 8.48528137423857 8.48528137423857 8.48528137423857 8.48528137423857 8.48528137423857 8.48528137423857 6 5.64575131106459 8.24705317263495
"Papa2460" 2 2 2 9.2169905660283 6.32455532033676 8.94427190999916 0 0 0 6.3166247903554 0 2.5 6 3.16227766016838 6.32455532033676 6.32455532033676 6.32455532033676 6.32455532033676 6.32455532033676 6.32455532033676 6 6.3166247903554 4.15331193145904
"Papa2461" 2 2 2 9.2169905660283 6.32455532033676 8.94427190999916 0 0 0 6.3166247903554 0 2.5 6 3.16227766016838 6.32455532033676 6.32455532033676 6.32455532033676 6.32455532033676 6.32455532033676 6.32455532033676 6 6.3166247903554 4.15331193145904
"Papa2462" 2 2 2 9.2169905660283 6.32455532033676 8.94427190999916 0 0 0 6.3166247903554 0 2.5 6 3.16227766016838 6.32455532033676 6.32455532033676 6.32455532033676 6.32455532033676 6.32455532033676 6.32455532033676 6 6.3166247903554 4.15331193145904
"Petit2972" 7.14505191510159 7.14505191510159 7.14505191510159 10.6889061136244 9.12465376158837 10.788760745355 6.3166247903554 6.3166247903554 6.3166247903554 0 6.3166247903554 8.8166247903554 6.3166247903554 9.47890245052378 9.79552724087918 9.79552724087918 9.79552724087918 9.79552724087918 9.79552724087918 9.79552724087918 6.3166247903554 6.6332495807108 10.4699367218144
