"maman2613" "voilà2616" "coucou2607" "coucou2605" "vachou3068" "chapeau3047" "au revoir3031" "au revoir3037" "bisou3041" "encore3060" "bisou3039" "papa2615" "encore3055" "chapeau3043" "encore3057" "encore3053" "bobo3130" "encore3064" "encore3061" "voilà3069"
"maman2613" 0 6.05919076080713 8.94427190999916 8.94427190999916 6.55087614901792 5.80802897123297 6.14575131106459 6.14575131106459 7.11788726606417 7.11788726606417 6.76885693668225 6.32455532033676 7.11788726606417 5.80802897123297 7.11788726606417 7.11788726606417 8.3464597590798 7.11788726606417 7.11788726606417 6.55087614901792
"voilà2616" 6.05919076080713 0 8.77083130081252 8.77083130081252 5.40980630328164 7.48104555824535 5.92633265238543 5.92633265238543 6.26405499221705 7.26405499221705 5.80543625736616 8.21556170293548 7.26405499221705 7.48104555824535 7.26405499221705 7.26405499221705 9.33413950373718 7.26405499221705 7.26405499221705 2.76405499221705
"coucou2607" 8.94427190999916 8.77083130081252 0 0 5.37817760316423 6.47890245052378 6.67072675660508 6.67072675660508 6.14505191510159 3.3166247903554 6.3166247903554 6.32455532033676 3.3166247903554 6.47890245052378 3.3166247903554 3.3166247903554 10.0501767530549 3.3166247903554 3.3166247903554 7.8166247903554
"coucou2605" 8.94427190999916 8.77083130081252 0 0 5.37817760316423 6.47890245052378 6.67072675660508 6.67072675660508 6.14505191510159 3.3166247903554 6.3166247903554 6.32455532033676 3.3166247903554 6.47890245052378 3.3166247903554 3.3166247903554 10.0501767530549 3.3166247903554 3.3166247903554 7.8166247903554
"vachou3068" 6.55087614901792 5.40980630328164 5.37817760316423 5.37817760316423 0 3.20156211871642 2.23606797749979 2.23606797749979 2.06155281280883 2.06155281280883 1.80277563773199 6.20156211871642 2.06155281280883 3.20156211871642 2.06155281280883 2.06155281280883 5.82842712474619 2.06155281280883 2.06155281280883 2.64575131106459
"chapeau3047" 5.80802897123297 7.48104555824535 6.47890245052378 6.47890245052378 3.20156211871642 0 2.69258240356725 2.69258240356725 3.16227766016838 3.16227766016838 3.3166247903554 3 3.16227766016838 0 3.16227766016838 3.16227766016838 4.63120276247818 3.16227766016838 3.16227766016838 4.7169905660283
"au revoir3031" 6.14575131106459 5.92633265238543 6.67072675660508 6.67072675660508 2.23606797749979 2.69258240356725 0 0 2.69258240356725 3.35410196624968 2.5 5.69258240356725 3.35410196624968 2.69258240356725 3.35410196624968 3.35410196624968 4.82842712474619 3.35410196624968 3.35410196624968 3.16227766016838
"au revoir3037" 6.14575131106459 5.92633265238543 6.67072675660508 6.67072675660508 2.23606797749979 2.69258240356725 0 0 2.69258240356725 3.35410196624968 2.5 5.69258240356725 3.35410196624968 2.69258240356725 3.35410196624968 3.35410196624968 4.82842712474619 3.35410196624968 3.35410196624968 3.16227766016838
"bisou3041" 7.11788726606417 6.26405499221705 6.14505191510159 6.14505191510159 2.06155281280883 3.16227766016838 2.69258240356725 2.69258240356725 0 2.82842712474619 1 6.16227766016838 2.82842712474619 3.16227766016838 2.82842712474619 2.82842712474619 6.18252909099587 2.82842712474619 2.82842712474619 3.5
"encore3060" 7.11788726606417 7.26405499221705 3.3166247903554 3.3166247903554 2.06155281280883 3.16227766016838 3.35410196624968 3.35410196624968 2.82842712474619 0 3 6.16227766016838 0 3.16227766016838 0 0 6.73355196269952 0 0 4.5
"bisou3039" 6.76885693668225 5.80543625736616 6.3166247903554 6.3166247903554 1.80277563773199 3.3166247903554 2.5 2.5 1 3 0 6.3166247903554 3 3.3166247903554 3 3 6.02998924346261 3 3 3.04138126514911
"papa2615" 6.32455532033676 8.21556170293548 6.32455532033676 6.32455532033676 6.20156211871642 3 5.69258240356725 5.69258240356725 6.16227766016838 6.16227766016838 6.3166247903554 0 6.16227766016838 3 6.16227766016838 6.16227766016838 7.63120276247818 6.16227766016838 6.16227766016838 7.7169905660283
"encore3055" 7.11788726606417 7.26405499221705 3.3166247903554 3.3166247903554 2.06155281280883 3.16227766016838 3.35410196624968 3.35410196624968 2.82842712474619 0 3 6.16227766016838 0 3.16227766016838 0 0 6.73355196269952 0 0 4.5
"chapeau3043" 5.80802897123297 7.48104555824535 6.47890245052378 6.47890245052378 3.20156211871642 0 2.69258240356725 2.69258240356725 3.16227766016838 3.16227766016838 3.3166247903554 3 3.16227766016838 0 3.16227766016838 3.16227766016838 4.63120276247818 3.16227766016838 3.16227766016838 4.7169905660283
