"lorry2551" "hiya2715" "Meira2553" "tractor2717" "tedi2556" "La-La2716" "Meira1946" "tata2555" "eisio3021" "tata2554" "tata3023" "eisio2547" "eira2545" "hwnna2550" "hiya2549" "Meira1945" "tedi3426" "gaggag2548" "hwnna3022" "Lucy2552"
"lorry2551" 0 5.74456264653803 5.927499679569 11.1297274536725 6.54138126514911 5.74456264653803 6.77740616122234 6.78303865192305 6.03455898343739 6.08276253029822 6.37228132326901 6.46848206938645 5.66242978625593 6.87386354243376 6.60495053657151 12.4342604107147 13.8494102363821 9.06118743689343 5.16356917074693 9.41366258841812
"hiya2715" 5.74456264653803 0 5.22257105640962 5.3851648071345 6.47890245052378 0 2.64575131106459 5.85486006373563 2.69258240356725 6.32455532033676 3.3166247903554 5.8698083898953 5.40524687009122 6.20156211871642 5.77838186406145 8.30260556055697 13.8245553203368 3.3166247903554 3 9.35118377379279
"Meira2553" 5.927499679569 5.22257105640962 0 10.6077358635441 7.67213595499958 5.22257105640962 2.57681974534503 6.97491721763538 5.59363190566133 7.32310562561766 6.28443239079664 7.8521322398102 4.58257569495584 7.39980622796803 5.02493781056044 8.23367399483741 14.6707553741614 8.53919584676501 5.02061972847217 10.6340680286187
"tractor2717" 11.1297274536725 5.3851648071345 10.6077358635441 0 11.8640672576583 5.3851648071345 8.03091611819909 11.2400248708701 8.07774721070176 11.7097201274713 8.7017895974899 11.2549731970298 10.7904116772257 11.5867269258509 11.163546671196 11.3683229580945 19.2097201274713 4.98387025104517 8.3851648071345 14.7363485809273
"tedi2556" 6.54138126514911 6.47890245052378 7.67213595499958 11.8640672576583 0 6.47890245052378 7.63441361516796 4.15331193145904 5.37817760316423 1 4.3166247903554 4.8166247903554 6.5166247903554 6.42066852869997 6.97491721763538 13.2912678646603 10.9650532979004 9.79552724087918 5.96237610141999 4.87228132326901
"La-La2716" 5.74456264653803 0 5.22257105640962 5.3851648071345 6.47890245052378 0 2.64575131106459 5.85486006373563 2.69258240356725 6.32455532033676 3.3166247903554 5.8698083898953 5.40524687009122 6.20156211871642 5.77838186406145 8.30260556055697 13.8245553203368 3.3166247903554 3 9.35118377379279
"Meira1946" 6.77740616122234 2.64575131106459 2.57681974534503 8.03091611819909 7.63441361516796 2.64575131106459 0 6.93719487780375 5.33833371463184 7.28538328578604 5.96237610141999 7.62395696010495 7.15939544030087 8.02493781056044 7.60175755590547 5.65685424949238 14.785383285786 5.96237610141999 5.64575131106459 10.3120117392421
"tata2555" 6.78303865192305 5.85486006373563 6.97491721763538 11.2400248708701 4.15331193145904 5.85486006373563 6.93719487780375 0 4.75413521637608 3.77491721763537 3.69258240356725 4 5.7 5.29150262212918 5.84575131106459 12.5940491272961 13.7399705155357 9.17148485409103 5.33833371463184 7.64719854090439
"eisio3021" 6.03455898343739 2.69258240356725 5.59363190566133 8.07774721070176 5.37817760316423 2.69258240356725 5.33833371463184 4.75413521637608 0 5.22383047297721 1.80277563773199 4.24264068711929 5.77630771934293 6.70156211871642 6.14944271331316 10.9951879641242 12.3245553203368 6.00920719392265 3.5 7.83733462116939
"tata2554" 6.08276253029822 6.32455532033676 7.32310562561766 11.7097201274713 1 6.32455532033676 7.28538328578604 3.77491721763537 5.22383047297721 0 4.16227766016838 4.66227766016838 6.36227766016838 6.55087614901792 7.10512483795333 12.9422375352784 9.96505329790037 9.64118011069216 5.80802897123297 3.87228132326901
"tata3023" 6.37228132326901 3.3166247903554 6.28443239079664 8.7017895974899 4.3166247903554 3.3166247903554 5.96237610141999 3.69258240356725 1.80277563773199 4.16227766016838 0 3.94646111349609 6.46710820447824 6.3638397788848 6.84024319844847 11.6192303509124 13.3861081331456 6.6332495807108 3.16227766016838 6.03455898343739
"eisio2547" 6.46848206938645 5.8698083898953 7.8521322398102 11.2549731970298 4.8166247903554 5.8698083898953 7.62395696010495 4 4.24264068711929 4.66227766016838 3.94646111349609 0 3.26955654485436 5.89414452228368 5.96213894842161 13.2808112095973 13.0566061279056 9.1864331802507 6.02998924346261 7.15259297218729
"eira2545" 5.66242978625593 5.40524687009122 4.58257569495584 10.7904116772257 6.5166247903554 5.40524687009122 7.15939544030087 5.7 5.77630771934293 6.36227766016838 6.46710820447824 3.26955654485436 0 5.06745082097484 2.69258240356725 12.8162496897932 13.7099274087121 8.72187166044661 5.20329554215377 9.67324006316944
"hwnna2550" 6.87386354243376 6.20156211871642 7.39980622796803 11.5867269258509 6.42066852869997 6.20156211871642 8.02493781056044 5.29150262212918 6.70156211871642 6.55087614901792 6.3638397788848 5.89414452228368 5.06745082097484 0 2.37486841740758 13.6817920600528 15.1087837632708 9.51818690907182 3.20156211871642 9.93968382139072
"hiya2549" 6.60495053657151 5.77838186406145 5.02493781056044 11.163546671196 6.97491721763538 5.77838186406145 7.60175755590547 5.84575131106459 6.14944271331316 7.10512483795333 6.84024319844847 5.96213894842161 2.69258240356725 2.37486841740758 0 13.2586118053978 14.452774586497 9.09500665441685 5.57643053612401 10.4160872409544
"Meira1945" 12.4342604107147 8.30260556055697 8.23367399483741 11.3683229580945 13.2912678646603 8.30260556055697 5.65685424949238 12.5940491272961 10.9951879641242 12.9422375352784 11.6192303509124 13.2808112095973 12.8162496897932 13.6817920600528 13.2586118053978 0 17.6138104105322 11.6192303509124 11.302605560557 15.9688659887345
"tedi3426" 13.8494102363821 13.8245553203368 14.6707553741614 19.2097201274713 10.9650532979004 13.8245553203368 14.785383285786 13.7399705155357 12.3245553203368 9.96505329790037 13.3861081331456 13.0566061279056 13.7099274087121 15.1087837632708 14.452774586497 17.6138104105322 0 17.1411801106922 14.3659365854859 13.0961117962462
"gaggag2548" 9.06118743689343 3.3166247903554 8.53919584676501 4.98387025104517 9.79552724087918 3.3166247903554 5.96237610141999 9.17148485409103 6.00920719392265 9.64118011069216 6.6332495807108 9.1864331802507 8.72187166044661 9.51818690907182 9.09500665441685 11.6192303509124 17.1411801106922 0 6.3166247903554 12.6678085641482
"hwnna3022" 5.16356917074693 3 5.02061972847217 8.3851648071345 5.96237610141999 3 5.64575131106459 5.33833371463184 3.5 5.80802897123297 3.16227766016838 6.02998924346261 5.20329554215377 3.20156211871642 5.57643053612401 11.302605560557 14.3659365854859 6.3166247903554 0 9.19683664360577
"Lucy2552" 9.41366258841812 9.35118377379279 10.6340680286187 14.7363485809273 4.87228132326901 9.35118377379279 10.3120117392421 7.64719854090439 7.83733462116939 3.87228132326901 6.03455898343739 7.15259297218729 9.67324006316944 9.93968382139072 10.4160872409544 15.9688659887345 13.0961117962462 12.6678085641482 9.19683664360577 0
