gloss1,gloss2,Speaker,age,word_pair,distance,data_type,distance_norm
bain2,bain1,Adeline,25,bain1_bain2,0,target,0
boum3,bain1,Adeline,25,bain1_boum3,2.8284271247461903,target,0.1874689935084099
boum4,bain1,Adeline,25,bain1_boum4,2.8284271247461903,target,0.1874689935084099
boum5,bain1,Adeline,25,bain1_boum5,2.8284271247461903,target,0.1874689935084099
boum6,bain1,Adeline,25,bain1_boum6,2.8284271247461903,target,0.1874689935084099
boum7,bain1,Adeline,25,bain1_boum7,2.8284271247461903,target,0.1874689935084099
boum8,bain1,Adeline,25,bain1_boum8,2.8284271247461903,target,0.1874689935084099
boum9,bain1,Adeline,25,bain1_boum9,2.8284271247461903,target,0.1874689935084099
boum10,bain1,Adeline,25,bain1_boum10,2.8284271247461903,target,0.1874689935084099
boum11,bain1,Adeline,25,bain1_boum11,2.8284271247461903,target,0.1874689935084099
boum12,bain1,Adeline,25,bain1_boum12,2.8284271247461903,target,0.1874689935084099
boum13,bain1,Adeline,25,bain1_boum13,2.8284271247461903,target,0.1874689935084099
boum14,bain1,Adeline,25,bain1_boum14,2.8284271247461903,target,0.1874689935084099
boum15,bain1,Adeline,25,bain1_boum15,2.8284271247461903,target,0.1874689935084099
brosse16,bain1,Adeline,25,bain1_brosse16,3.2015621187164243,target,0.21220049220970433
champs17,bain1,Adeline,25,bain1_champs17,3.2015621187164243,target,0.21220049220970433
chat18,bain1,Adeline,25,bain1_chat18,3.2015621187164243,target,0.21220049220970433
chat19,bain1,Adeline,25,bain1_chat19,3.2015621187164243,target,0.21220049220970433
chat20,bain1,Adeline,25,bain1_chat20,3.2015621187164243,target,0.21220049220970433
chat21,bain1,Adeline,25,bain1_chat21,3.2015621187164243,target,0.21220049220970433
chat22,bain1,Adeline,25,bain1_chat22,3.2015621187164243,target,0.21220049220970433
chat23,bain1,Adeline,25,bain1_chat23,3.2015621187164243,target,0.21220049220970433
chat24,bain1,Adeline,25,bain1_chat24,3.2015621187164243,target,0.21220049220970433
chat25,bain1,Adeline,25,bain1_chat25,3.2015621187164243,target,0.21220049220970433
chat26,bain1,Adeline,25,bain1_chat26,3.2015621187164243,target,0.21220049220970433
chat27,bain1,Adeline,25,bain1_chat27,3.2015621187164243,target,0.21220049220970433
chat28,bain1,Adeline,25,bain1_chat28,3.2015621187164243,target,0.21220049220970433
lave29,bain1,Adeline,25,bain1_lave29,7.259763516965076,target,0.48117929139031457
là30,bain1,Adeline,25,bain1_là30,4.387482193696061,target,0.2908036285227181
là31,bain1,Adeline,25,bain1_là31,4.387482193696061,target,0.2908036285227181
là32,bain1,Adeline,25,bain1_là32,4.387482193696061,target,0.2908036285227181
là33,bain1,Adeline,25,bain1_là33,4.387482193696061,target,0.2908036285227181
là34,bain1,Adeline,25,bain1_là34,4.387482193696061,target,0.2908036285227181
là35,bain1,Adeline,25,bain1_là35,4.387482193696061,target,0.2908036285227181
miaou36,bain1,Adeline,25,bain1_miaou36,5.409806303281641,target,0.35856357545102663
miaou37,bain1,Adeline,25,bain1_miaou37,5.409806303281641,target,0.35856357545102663
miaou38,bain1,Adeline,25,bain1_miaou38,5.409806303281641,target,0.35856357545102663
moi39,bain1,Adeline,25,bain1_moi39,5.5851390024044045,target,0.37018467904817404
non40,bain1,Adeline,25,bain1_non40,4.123105625617661,target,0.273280670730651
non41,bain1,Adeline,25,bain1_non41,4.123105625617661,target,0.273280670730651
oh42,bain1,Adeline,25,bain1_oh42,3,target,0.19884089485802023
oh43,bain1,Adeline,25,bain1_oh43,3,target,0.19884089485802023
oh44,bain1,Adeline,25,bain1_oh44,3,target,0.19884089485802023
tiens45,bain1,Adeline,25,bain1_tiens45,6.080679782572451,target,0.40302926977059267
tiens46,bain1,Adeline,25,bain1_tiens46,6.080679782572451,target,0.40302926977059267
tiens47,bain1,Adeline,25,bain1_tiens47,6.080679782572451,target,0.40302926977059267
tiens48,bain1,Adeline,25,bain1_tiens48,6.080679782572451,target,0.40302926977059267
trois49,bain1,Adeline,25,bain1_trois49,6.256012481695214,target,0.41465037336774
vroum50,bain1,Adeline,25,bain1_vroum50,5.32842712474619,target,0.3531697392234267
bisou245,bain1,Adeline,25,bain1_bisou245,3.0413812651491097,target,0.20158365745555554
bisou246,bain1,Adeline,25,bain1_bisou246,3.0413812651491097,target,0.20158365745555554
bisou247,bain1,Adeline,25,bain1_bisou247,3.0413812651491097,target,0.20158365745555554
bisou248,bain1,Adeline,25,bain1_bisou248,3.0413812651491097,target,0.20158365745555554
bisou249,bain1,Adeline,25,bain1_bisou249,3.0413812651491097,target,0.20158365745555554
bobo250,bain1,Adeline,25,bain1_bobo250,3,target,0.19884089485802023
bobo251,bain1,Adeline,25,bain1_bobo251,3,target,0.19884089485802023
bobo252,bain1,Adeline,25,bain1_bobo252,3,target,0.19884089485802023
chapeau253,bain1,Adeline,25,bain1_chapeau253,6.363839778884804,target,0.42179719878884
chapeau254,bain1,Adeline,25,bain1_chapeau254,6.363839778884804,target,0.42179719878884
chapeau255,bain1,Adeline,25,bain1_chapeau255,6.363839778884804,target,0.42179719878884
chapeau256,bain1,Adeline,25,bain1_chapeau256,6.363839778884804,target,0.42179719878884
chapeau257,bain1,Adeline,25,bain1_chapeau257,6.363839778884804,target,0.42179719878884
chapeau258,bain1,Adeline,25,bain1_chapeau258,6.363839778884804,target,0.42179719878884
chapeau259,bain1,Adeline,25,bain1_chapeau259,6.363839778884804,target,0.42179719878884
chapeau260,bain1,Adeline,25,bain1_chapeau260,6.363839778884804,target,0.42179719878884
chapeau261,bain1,Adeline,25,bain1_chapeau261,6.363839778884804,target,0.42179719878884
coucou262,bain1,Adeline,25,bain1_coucou262,6.780726405493154,target,0.4494285687518885
coucou263,bain1,Adeline,25,bain1_coucou263,6.780726405493154,target,0.4494285687518885
coucou264,bain1,Adeline,25,bain1_coucou264,6.780726405493154,target,0.4494285687518885
coucou265,bain1,Adeline,25,bain1_coucou265,6.780726405493154,target,0.4494285687518885
coucou266,bain1,Adeline,25,bain1_coucou266,6.780726405493154,target,0.4494285687518885
coucou267,bain1,Adeline,25,bain1_coucou267,6.780726405493154,target,0.4494285687518885
coucou268,bain1,Adeline,25,bain1_coucou268,6.780726405493154,target,0.4494285687518885
coucou269,bain1,Adeline,25,bain1_coucou269,6.780726405493154,target,0.4494285687518885
coucou270,bain1,Adeline,25,bain1_coucou270,6.780726405493154,target,0.4494285687518885
coucou271,bain1,Adeline,25,bain1_coucou271,6.780726405493154,target,0.4494285687518885
dodo272,bain1,Adeline,25,bain1_dodo272,6.47890245052378,target,0.42942358698665617
en dehors273,bain1,Adeline,25,bain1_en dehors273,6.3166247903554,target,0.41866777526554066
encore274,bain1,Adeline,25,bain1_encore274,6.464101615137754,target,0.4284425832023883
encore275,bain1,Adeline,25,bain1_encore275,6.464101615137754,target,0.4284425832023883
encore276,bain1,Adeline,25,bain1_encore276,6.464101615137754,target,0.4284425832023883
encore277,bain1,Adeline,25,bain1_encore277,6.464101615137754,target,0.4284425832023883
encore278,bain1,Adeline,25,bain1_encore278,6.464101615137754,target,0.4284425832023883
encore279,bain1,Adeline,25,bain1_encore279,6.464101615137754,target,0.4284425832023883
encore280,bain1,Adeline,25,bain1_encore280,6.464101615137754,target,0.4284425832023883
encore281,bain1,Adeline,25,bain1_encore281,6.464101615137754,target,0.4284425832023883
encore282,bain1,Adeline,25,bain1_encore282,6.464101615137754,target,0.4284425832023883
encore283,bain1,Adeline,25,bain1_encore283,6.464101615137754,target,0.4284425832023883
encore284,bain1,Adeline,25,bain1_encore284,6.464101615137754,target,0.4284425832023883
encore285,bain1,Adeline,25,bain1_encore285,6.464101615137754,target,0.4284425832023883
encore286,bain1,Adeline,25,bain1_encore286,6.464101615137754,target,0.4284425832023883
encore287,bain1,Adeline,25,bain1_encore287,6.464101615137754,target,0.4284425832023883
maman288,bain1,Adeline,25,bain1_maman288,5.4741784358107815,target,0.3628301795963644
maman289,bain1,Adeline,25,bain1_maman289,5.4741784358107815,target,0.3628301795963644
maman290,bain1,Adeline,25,bain1_maman290,5.4741784358107815,target,0.3628301795963644
