Speaker_ID,Speaker,ID,path_length,mean_k,clust_coef_global,Language,data_type
Adeline_1,Adeline,1,0.17776277420568348,10.7,0.6238095238095238,French,iter
Adeline_10,Adeline,10,0.21847002945260285,10.4,0.6625310173697271,French,iter
Adeline_100,Adeline,100,0.18777463615229678,9.6,0.5938086303939962,French,iter
Adeline_11,Adeline,11,0.21286830548509494,10.5,0.6211232187761945,French,iter
Adeline_12,Adeline,12,0.19632616251476098,10.7,0.6280729579698652,French,iter
Adeline_13,Adeline,13,0.17409142357297983,10.7,0.6206896551724138,French,iter
Adeline_14,Adeline,14,0.23259548888451392,10.4,0.6604572396274344,French,iter
Adeline_15,Adeline,15,0.22255946955501552,9.4,0.6185866408518877,French,iter
Adeline_16,Adeline,16,0.19665495147185844,10.7,0.6253918495297806,French,iter
Adeline_17,Adeline,17,0.19234004129472687,9.4,0.5401174168297456,French,iter
Adeline_18,Adeline,18,0.18435433832792697,9.8,0.5941644562334217,French,iter
Adeline_19,Adeline,19,0.17833405102639519,11.6,0.6283924843423799,French,iter
Adeline_2,Adeline,2,0.20403457316336454,8.7,0.5416216216216216,French,iter
Adeline_20,Adeline,20,0.19530101356602703,10.2,0.6392190152801358,French,iter
Adeline_21,Adeline,21,0.2167279575011709,11.2,0.6694029850746268,French,iter
Adeline_22,Adeline,22,0.18331479434262832,8.1,0.5035211267605634,French,iter
Adeline_23,Adeline,23,0.1751167389038831,9.6,0.5611111111111111,French,iter
Adeline_24,Adeline,24,0.20794326512434544,11,0.6916234247590808,French,iter
Adeline_25,Adeline,25,0.18139527592384508,11,0.6561797752808989,French,iter
Adeline_26,Adeline,26,0.1697470980997557,10.9,0.6195158850226928,French,iter
Adeline_27,Adeline,27,0.1780297724132244,12,0.659297789336801,French,iter
Adeline_28,Adeline,28,0.19173743635897955,12.7,0.7262969588550984,French,iter
Adeline_29,Adeline,29,0.20963345728270263,8.5,0.5436013590033975,French,iter
Adeline_3,Adeline,3,0.18490417215545368,11,0.5908396946564886,French,iter
Adeline_30,Adeline,30,0.16008299907835455,12.2,0.6611779607346422,French,iter
Adeline_31,Adeline,31,0.1427171611396872,9.2,0.5231910946196661,French,iter
Adeline_32,Adeline,32,0.1878143329766673,12.5,0.7354721549636803,French,iter
Adeline_33,Adeline,33,0.21692760127673383,10.3,0.6502092050209205,French,iter
Adeline_34,Adeline,34,0.16812020047007956,10.1,0.559533721898418,French,iter
Adeline_35,Adeline,35,0.17458608580470522,9.1,0.5297679112008072,French,iter
Adeline_36,Adeline,36,0.17407974697331954,11.7,0.6807228915662651,French,iter
Adeline_37,Adeline,37,0.1864287014106289,8.6,0.5288248337028825,French,iter
Adeline_38,Adeline,38,0.2073894809850679,10.5,0.6221311475409836,French,iter
Adeline_39,Adeline,39,0.17956982784510456,12,0.6776061776061776,French,iter
Adeline_4,Adeline,4,0.18672472607451734,9,0.5517587939698493,French,iter
Adeline_40,Adeline,40,0.1481798275563021,11.3,0.6190140845070422,French,iter
Adeline_41,Adeline,41,0.16423074853675368,11.6,0.65814266487214,French,iter
Adeline_42,Adeline,42,0.17877814115572824,10.8,0.6332574031890661,French,iter
Adeline_43,Adeline,43,0.2103307797155561,7.5,0.4648493543758967,French,iter
Adeline_44,Adeline,44,0.22998949627467064,9.3,0.5882926829268292,French,iter
Adeline_45,Adeline,45,0.18898863064249502,10.3,0.6266447368421053,French,iter
Adeline_46,Adeline,46,0.17588201298881145,11,0.6272727272727273,French,iter
Adeline_47,Adeline,47,0.1972853180515616,11.4,0.6861365235749473,French,iter
Adeline_48,Adeline,48,0.19717378407191338,12.6,0.7326431181485993,French,iter
Adeline_49,Adeline,49,0.15583816855586122,10.4,0.5843848580441641,French,iter
Adeline_5,Adeline,5,0.21399339463027123,10.1,0.6157205240174672,French,iter
Adeline_50,Adeline,50,0.2441168381312861,8.9,0.6115261472785486,French,iter
Adeline_51,Adeline,51,0.17175438266805593,13.4,0.7495917256396298,French,iter
Adeline_52,Adeline,52,0.16573569259793364,8.1,0.45903614457831327,French,iter
Adeline_53,Adeline,53,0.23478828666315477,9.1,0.6101694915254238,French,iter
Adeline_54,Adeline,54,0.2033399823129176,9.9,0.6246575342465753,French,iter
Adeline_55,Adeline,55,0.17117028078022517,9.4,0.5402843601895735,French,iter
Adeline_56,Adeline,56,0.21583898547198213,9.3,0.5506519558676028,French,iter
Adeline_57,Adeline,57,0.18788982676661412,10.2,0.5610184372256365,French,iter
Adeline_58,Adeline,58,0.2166983741854885,11.1,0.7048327137546468,French,iter
Adeline_59,Adeline,59,0.1758694408679355,10.6,0.6048582995951417,French,iter
