Speaker,gloss1,degree,threshold
Adeline,au revoir116,2,0.25
Adeline,au revoir1376,10,0.25
Adeline,au revoir1377,10,0.25
Adeline,au revoir1378,10,0.25
Adeline,au revoir1379,2,0.25
Adeline,au revoir1380,10,0.25
Adeline,au revoir1381,10,0.25
Adeline,au revoir1382,10,0.25
Adeline,bain117,8,0.25
Adeline,bain1383,2,0.25
Adeline,bisou1384,10,0.25
Adeline,bisou1385,10,0.25
Adeline,bisou1386,9,0.25
Adeline,bisou1387,9,0.25
Adeline,bisou1388,9,0.25
Adeline,bobo2840,4,0.25
Adeline,bobo2841,6,0.25
Adeline,bobo2842,6,0.25
Adeline,boum118,10,0.25
Adeline,boum119,9,0.25
Adeline,boum120,9,0.25
Adeline,boum121,9,0.25
Adeline,boum122,10,0.25
Adeline,boum123,10,0.25
Adeline,boum124,10,0.25
Adeline,boum125,10,0.25
Adeline,boum126,10,0.25
Adeline,boum1389,10,0.25
Adeline,boum1390,8,0.25
Adeline,boum1391,10,0.25
Adeline,boum1838,4,0.25
Adeline,brosse1392,10,0.25
Adeline,champs1393,9,0.25
Adeline,chapeau1394,10,0.25
Adeline,chapeau1395,10,0.25
Adeline,chapeau1396,10,0.25
Adeline,chapeau1397,10,0.25
Adeline,chapeau1398,10,0.25
Adeline,chapeau1399,10,0.25
Adeline,chapeau1400,8,0.25
Adeline,chapeau1401,8,0.25
Adeline,chapeau1402,10,0.25
Adeline,chat127,7,0.25
Adeline,chat128,7,0.25
Adeline,chat129,10,0.25
Adeline,chat1403,10,0.25
Adeline,chat1404,8,0.25
Adeline,chat1405,10,0.25
Adeline,chat1406,10,0.25
Adeline,chat1839,4,0.25
Adeline,chat1840,2,0.25
Adeline,chat2843,1,0.25
Adeline,chat2913,1,0.25
Adeline,coucou1407,8,0.25
Adeline,coucou1841,3,0.25
Adeline,coucou1842,3,0.25
Adeline,coucou1843,3,0.25
Adeline,coucou1844,3,0.25
Adeline,coucou1845,3,0.25
Adeline,coucou1846,3,0.25
Adeline,coucou1847,2,0.25
Adeline,coucou2845,8,0.25
Adeline,dodo1848,2,0.25
Adeline,en dehors1408,10,0.25
Adeline,encore130,7,0.25
Adeline,encore1409,8,0.25
Adeline,encore1410,8,0.25
Adeline,encore1411,8,0.25
Adeline,encore1412,8,0.25
Adeline,encore1413,8,0.25
Adeline,encore1414,8,0.25
Adeline,encore1415,8,0.25
Adeline,encore1416,8,0.25
Adeline,encore1417,8,0.25
Adeline,encore1418,8,0.25
Adeline,encore1419,8,0.25
Adeline,encore1420,8,0.25
Adeline,encore1421,1,0.25
Adeline,lave131,7,0.25
Adeline,là132,7,0.25
Adeline,là133,7,0.25
Adeline,là134,7,0.25
Adeline,là135,7,0.25
Adeline,là136,8,0.25
Adeline,là1849,3,0.25
Adeline,maman1850,2,0.25
Adeline,maman1851,2,0.25
Adeline,maman1852,2,0.25
Adeline,miaou137,7,0.25
Adeline,miaou138,7,0.25
Adeline,miaou139,5,0.25
Adeline,moi140,5,0.25
Adeline,non141,6,0.25
Adeline,non142,6,0.25
Adeline,oh1,10,0.25
Adeline,oh2,10,0.25
Adeline,oh3,10,0.25
Adeline,oiseau1422,2,0.25
Adeline,papa1853,4,0.25
Adeline,papa1854,4,0.25
Adeline,papa2846,3,0.25
Adeline,parti1423,9,0.25
Adeline,tiens143,7,0.25
Adeline,tiens144,7,0.25
Adeline,tiens145,7,0.25
Adeline,tiens146,7,0.25
Adeline,trois147,7,0.25
Adeline,vachou1424,9,0.25
Adeline,voilà1425,9,0.25
Adeline,voilà1855,2,0.25
Adeline,voiture1426,9,0.25
Adeline,voiture1427,9,0.25
Adeline,vroum148,6,0.25
Afan,AUNTI1815,4,0.25
Afan,AUNTI3314,1,0.25
Afan,Bazil2792,6,0.25
Afan,Bazil3583,2,0.25
Afan,COW1345,9,0.25
Afan,COW1346,9,0.25
Afan,DOGGY BT2797,1,0.25
Afan,"Durrain, Durri3584",3,0.25
Afan,"Durrain, Durri3585",3,0.25
Afan,JUICE do3591,1,0.25
Afan,JUICE1337,5,0.25
Afan,Rabia2800,8,0.25
Afan,Saima3312,2,0.25
Afan,Saima3313,2,0.25
Afan,Saima3581,1,0.25
Afan,UNCLE1818,4,0.25
Afan,UNCLE1819,1,0.25
Afan,UNCLE1820,4,0.25
Afan,UNCLE1821,4,0.25
Afan,UNCLE1822,4,0.25
Afan,UNCLE1823,4,0.25
Afan,UNCLE1824,4,0.25
Afan,ajao95,10,0.25
Afan,anda1816,3,0.25
Afan,anda1817,3,0.25
Afan,"aunti gaye hai, aunti gaye2911",4,0.25
Afan,baal1347,11,0.25
Afan,baal1348,11,0.25
Afan,baba100,10,0.25
Afan,baba101,10,0.25
Afan,baba96,10,0.25
Afan,baba97,10,0.25
Afan,baba98,10,0.25
Afan,baba99,10,0.25
Afan,bhaye1333,11,0.25
Afan,bhow bhow2793,5,0.25
Afan,chacha2799,3,0.25
Afan,chai1338,9,0.25
Afan,chai1339,4,0.25
Afan,chai1340,11,0.25
Afan,chunti2794,2,0.25
Afan,chunti2795,2,0.25
Afan,chunti2796,2,0.25
Afan,dada3589,3,0.25
Afan,dada3590,3,0.25
Afan,dawaye1342,11,0.25
Afan,dawaye1343,11,0.25
Afan,dawaye1344,11,0.25
Afan,do1324,11,0.25
Afan,do1325,11,0.25
Afan,ganda3586,2,0.25
Afan,gaye1334,10,0.25
Afan,gaye1335,10,0.25
Afan,han102,10,0.25
Afan,han103,10,0.25
Afan,han104,10,0.25
Afan,han1309,11,0.25
Afan,han1310,11,0.25
Afan,han1311,11,0.25
Afan,han1312,11,0.25
Afan,han1313,11,0.25
Afan,han3172,11,0.25
Afan,idhar1332,11,0.25
Afan,idhar3315,3,0.25
Afan,idhar3316,3,0.25
Afan,jaaee1341,11,0.25
Afan,mam BT1349,2,0.25
Afan,mama1307,9,0.25
Afan,mama1308,9,0.25
Afan,mama3572,1,0.25
Afan,mama3573,1,0.25
Afan,mama3574,1,0.25
Afan,mama3575,1,0.25
Afan,mama3576,1,0.25
Afan,mama3577,1,0.25
Afan,mama3578,1,0.25
Afan,mama3579,1,0.25
Afan,maon ajao2801,3,0.25
Afan,maon ajao2802,3,0.25
Afan,"mimmi BT,1331",9,0.25
Afan,"mimmi BT,3582",1,0.25
Afan,na/ nahin1317,10,0.25
Afan,na/ nahin1318,10,0.25
Afan,na/ nahin1319,10,0.25
Afan,na/ nahin1320,10,0.25
Afan,na/ nahin1321,10,0.25
Afan,na/ nahin1322,10,0.25
Afan,na/ nahin1323,10,0.25
Afan,pani2798,4,0.25
Afan,pani3587,2,0.25
Afan,pani3588,2,0.25
Afan,phool1326,11,0.25
Afan,phool1327,11,0.25
Afan,phool1328,11,0.25
Afan,phool1329,11,0.25
Afan,phool1330,11,0.25
Afan,ta1336,9,0.25
Afan,udhar3317,3,0.25
Afan,vo1350,9,0.25
Afan,yay hai1351,8,0.25
Afan,yay1314,11,0.25
Afan,yay1315,11,0.25
Afan,yay1316,11,0.25
Afan,yay3173,11,0.25
Afan,yay3174,11,0.25
Afan,yay3175,11,0.25
Afan,yay3176,11,0.25
Alice,Oscar3089,1,0.25
Alice,Oscar346,4,0.25
Alice,Oscar347,4,0.25
Alice,Oscar348,4,0.25
Alice,Oscar349,4,0.25
Alice,Oscar350,4,0.25
Alice,apple312,4,0.25
Alice,apple313,4,0.25
Alice,apple314,4,0.25
Alice,apple315,4,0.25
Alice,baby2026,4,0.25
Alice,baby2027,4,0.25
Alice,baby2028,4,0.25
Alice,baby2029,4,0.25
Alice,baby2030,4,0.25
Alice,baby2853,2,0.25
Alice,baby2937,1,0.25
Alice,bang2031,13,0.25
Alice,belly316,9,0.25
Alice,bottle1522,1,0.25
Alice,bottle1523,1,0.25
Alice,bottle2032,1,0.25
Alice,bottle2033,7,0.25
Alice,bottle2034,7,0.25
Alice,bottle2854,1,0.25
Alice,bottle318,3,0.25
Alice,bottle319,3,0.25
Alice,bottle320,3,0.25
Alice,bottle321,3,0.25
Alice,bottle322,3,0.25
Alice,bottle323,3,0.25
Alice,bottle324,3,0.25
Alice,bunny3084,3,0.25
Alice,bunny3085,3,0.25
Alice,bye325,13,0.25
