Speaker,gloss1,degree,threshold,data_type
Adeline,au revoir602,1,0.25,target
Adeline,au revoir603,1,0.25,target
Adeline,au revoir604,1,0.25,target
Adeline,au revoir605,1,0.25,target
Adeline,au revoir606,1,0.25,target
Adeline,au revoir607,1,0.25,target
Adeline,au revoir608,1,0.25,target
Adeline,au revoir609,1,0.25,target
Adeline,bain1,5,0.25,target
Adeline,bain2,5,0.25,target
Adeline,bisou245,4,0.25,target
Adeline,bisou246,4,0.25,target
Adeline,bisou247,4,0.25,target
Adeline,bisou248,4,0.25,target
Adeline,bisou249,4,0.25,target
Adeline,bobo250,4,0.25,target
Adeline,bobo251,4,0.25,target
Adeline,bobo252,4,0.25,target
Adeline,boum10,3,0.25,target
Adeline,boum11,3,0.25,target
Adeline,boum12,3,0.25,target
Adeline,boum13,3,0.25,target
Adeline,boum14,3,0.25,target
Adeline,boum15,3,0.25,target
Adeline,boum3,3,0.25,target
Adeline,boum4,3,0.25,target
Adeline,boum5,3,0.25,target
Adeline,boum6,3,0.25,target
Adeline,boum7,3,0.25,target
Adeline,boum8,3,0.25,target
Adeline,boum9,3,0.25,target
Adeline,brosse16,2,0.25,target
Adeline,champs17,5,0.25,target
Adeline,chapeau253,3,0.25,target
Adeline,chapeau254,3,0.25,target
Adeline,chapeau255,3,0.25,target
Adeline,chapeau256,3,0.25,target
Adeline,chapeau257,3,0.25,target
Adeline,chapeau258,3,0.25,target
Adeline,chapeau259,3,0.25,target
Adeline,chapeau260,3,0.25,target
Adeline,chapeau261,3,0.25,target
Adeline,chat18,5,0.25,target
Adeline,chat19,5,0.25,target
Adeline,chat20,5,0.25,target
Adeline,chat21,5,0.25,target
Adeline,chat22,5,0.25,target
Adeline,chat23,5,0.25,target
Adeline,chat24,5,0.25,target
Adeline,chat25,5,0.25,target
Adeline,chat26,5,0.25,target
Adeline,chat27,5,0.25,target
Adeline,chat28,5,0.25,target
Adeline,coucou262,2,0.25,target
Adeline,coucou263,2,0.25,target
Adeline,coucou264,2,0.25,target
Adeline,coucou265,2,0.25,target
Adeline,coucou266,2,0.25,target
Adeline,coucou267,2,0.25,target
Adeline,coucou268,2,0.25,target
