"Muumi/Moomin3246" "kaataa2153" "kenkä2157" "setä2167" "loppu3241" "Muumi/Moomin3253" "juna2152" "kukka3240" "kala2155" "nenä2164" "häntä3238" "Muumi/Moomin3250" "kala2156" "Muumi/Moomin3249" "täällä2890" "nalle3254" "Muumi/Moomin3252" "paapaa2165" "Muumi/Moomin3248" "Muumi/Moomin3247"
"Muumi/Moomin3246" 0 11.5900232210637 8.97030663140135 11.5900232210637 9.48683298050514 0 8.97030663140135 13.4164078649987 10.4560009869712 8.97030663140135 9.48683298050514 0 11.5900232210637 0 9.19662746008251 11.71537451386 0 8.97030663140135 0 0
"kaataa2153" 11.5900232210637 0 7.40491834728766 2.82842712474619 9.32455532033676 11.5900232210637 7.40491834728766 6.14505191510159 8.04691909029414 7.40491834728766 10.4049183472877 11.5900232210637 0 11.5900232210637 6.8166247903554 10.9192004135632 11.5900232210637 6.32455532033676 11.5900232210637 11.5900232210637
"kenkä2157" 8.97030663140135 7.40491834728766 0 6.32455532033676 11.9442719099992 8.97030663140135 0 11.801906164594 5.3851648071345 0 3 8.97030663140135 7.40491834728766 8.97030663140135 5.29128784747792 8.25744613040352 8.97030663140135 8.94427190999916 8.97030663140135 8.97030663140135
"setä2167" 11.5900232210637 2.82842712474619 6.32455532033676 0 9.32455532033676 11.5900232210637 6.32455532033676 8.97347903984778 7.54983443527075 6.32455532033676 9.32455532033676 11.5900232210637 2.82842712474619 11.5900232210637 6.8166247903554 10.4221157585398 11.5900232210637 6.32455532033676 11.5900232210637 11.5900232210637
"loppu3241" 9.48683298050514 9.32455532033676 11.9442719099992 9.32455532033676 0 9.48683298050514 11.9442719099992 9.48683298050514 12.4339811320566 11.9442719099992 13.4164078649987 9.48683298050514 9.32455532033676 9.48683298050514 10.7169905660283 14.1509716980849 9.48683298050514 3 9.48683298050514 9.48683298050514
"Muumi/Moomin3253" 0 11.5900232210637 8.97030663140135 11.5900232210637 9.48683298050514 0 8.97030663140135 13.4164078649987 10.4560009869712 8.97030663140135 9.48683298050514 0 11.5900232210637 0 9.19662746008251 11.71537451386 0 8.97030663140135 0 0
"juna2152" 8.97030663140135 7.40491834728766 0 6.32455532033676 11.9442719099992 8.97030663140135 0 11.801906164594 5.3851648071345 0 3 8.97030663140135 7.40491834728766 8.97030663140135 5.29128784747792 8.25744613040352 8.97030663140135 8.94427190999916 8.97030663140135 8.97030663140135
"kukka3240" 13.4164078649987 6.14505191510159 11.801906164594 8.97347903984778 9.48683298050514 13.4164078649987 11.801906164594 0 11.8606285356729 11.801906164594 12.7279220613579 13.4164078649987 6.14505191510159 13.4164078649987 11.1332495807108 12.8160056179763 13.4164078649987 9.64118011069216 13.4164078649987 13.4164078649987
"kala2155" 10.4560009869712 8.04691909029414 5.3851648071345 7.54983443527075 12.4339811320566 10.4560009869712 5.3851648071345 11.8606285356729 0 5.3851648071345 8.3851648071345 10.4560009869712 8.04691909029414 10.4560009869712 4.28649488564211 2.87228132326901 10.4560009869712 9.4339811320566 10.4560009869712 10.4560009869712
"nenä2164" 8.97030663140135 7.40491834728766 0 6.32455532033676 11.9442719099992 8.97030663140135 0 11.801906164594 5.3851648071345 0 3 8.97030663140135 7.40491834728766 8.97030663140135 5.29128784747792 8.25744613040352 8.97030663140135 8.94427190999916 8.97030663140135 8.97030663140135
"häntä3238" 9.48683298050514 10.4049183472877 3 9.32455532033676 13.4164078649987 9.48683298050514 3 12.7279220613579 8.3851648071345 3 0 9.48683298050514 10.4049183472877 9.48683298050514 8.29128784747792 8.07774721070176 9.48683298050514 11.9442719099992 9.48683298050514 9.48683298050514
"Muumi/Moomin3250" 0 11.5900232210637 8.97030663140135 11.5900232210637 9.48683298050514 0 8.97030663140135 13.4164078649987 10.4560009869712 8.97030663140135 9.48683298050514 0 11.5900232210637 0 9.19662746008251 11.71537451386 0 8.97030663140135 0 0
"kala2156" 11.5900232210637 0 7.40491834728766 2.82842712474619 9.32455532033676 11.5900232210637 7.40491834728766 6.14505191510159 8.04691909029414 7.40491834728766 10.4049183472877 11.5900232210637 0 11.5900232210637 6.8166247903554 10.9192004135632 11.5900232210637 6.32455532033676 11.5900232210637 11.5900232210637
"Muumi/Moomin3249" 0 11.5900232210637 8.97030663140135 11.5900232210637 9.48683298050514 0 8.97030663140135 13.4164078649987 10.4560009869712 8.97030663140135 9.48683298050514 0 11.5900232210637 0 9.19662746008251 11.71537451386 0 8.97030663140135 0 0
"täällä2890" 9.19662746008251 6.8166247903554 5.29128784747792 6.8166247903554 10.7169905660283 9.19662746008251 5.29128784747792 11.1332495807108 4.28649488564211 5.29128784747792 8.29128784747792 9.19662746008251 6.8166247903554 9.19662746008251 0 7.15877620891112 9.19662746008251 7.7169905660283 9.19662746008251 9.19662746008251
