"dadi2401" "nino BT2404" "nahin1893" "dhakan2391" "machar2396" "PILLOW3371" "sona3373" "MAMA3369" "vava BT2400" "theek hai2409" "nino BT2405" "daalu3372" "ganda2398" "oho!2952" "ayee!2699" "kapra2406" "Allah3561" "kha lo,kha lun2408" "chalo3367" "BOTTLE2393"
"dadi2401" 0 5.29150262212918 5.80802897123297 6 10.6879693524539 9.23028737877352 7.97521540122695 13.5377138733645 5 6.16227766016838 5.29150262212918 5.91366258841812 8.97030663140135 6.3638397788848 6.32455532033676 6.04138126514911 9.0759402485865 6.04138126514911 9.60624499198538 7.03455898343739
"nino BT2404" 5.29150262212918 0 3 9.88839199818388 11.889419047173 9.63570512574651 8.66356917074693 11.6160579424659 7 7.24264068711928 0 7.80932048181153 6.16227766016838 6.77491721763537 6 6.53392853459721 8.16356917074693 6.53392853459721 11.0184292344826 10.1576646090551
"nahin1893" 5.80802897123297 3 0 8.96237610141999 12.04376617736 10.2166986015376 9.24456264653803 11.0995315933622 6.19258240356725 6.3166247903554 3 8.39031395760262 9.16227766016838 5.69258240356725 3 7.1149220103883 8.74456264653803 7.1149220103883 11.5994227102737 10.3120117392421
"dhakan2391" 6 9.88839199818388 8.96237610141999 0 11.935403001409 13.6889061136244 12.4338341360778 16.8867442027464 8.85410196624968 6.16227766016838 9.88839199818388 10.372281323269 13.567196007456 8.4535655076463 9.47890245052378 10.5 13.5345589834374 10.5 14.0648637268363 8.28199263239249
"machar2396" 10.6879693524539 11.889419047173 12.04376617736 11.935403001409 0 15.0994227102737 16.209146922764 15.328502303965 11.7574461304035 11.039042162647 11.889419047173 16.0602506757229 10.7418631073108 11.25199630305 11.5272398282563 13.5369996818358 14.5828963611699 13.5369996818358 19.1018634086721 5.33833371463184
"PILLOW3371" 9.23028737877352 9.63570512574651 10.2166986015376 13.6889061136244 15.0994227102737 0 3.04138126514911 15.2311864435199 8.72714138700465 10.372281323269 9.63570512574651 3.3166247903554 11.3258468309153 9.61393871004296 8.74456264653803 6.03455898343739 3 6.03455898343739 5.85486006373563 10.244562646538
"sona3373" 7.97521540122695 8.66356917074693 9.24456264653803 12.4338341360778 16.209146922764 3.04138126514911 0 16.3409106560103 8.48404872622057 10.0648637268363 8.66356917074693 2.06155281280883 11.0184292344826 9.30652111361021 8.43714505010528 4.67505696100101 2.69258240356725 4.67505696100101 4.49535804129925 12.4461247652545
"MAMA3369" 13.5377138733645 11.6160579424659 11.0995315933622 16.8867442027464 15.328502303965 15.2311864435199 16.3409106560103 0 12.2915026221292 12.4093898881934 11.6160579424659 16.1920144089692 14.2618092535305 11.7121711508291 10.5830052442584 13.6687634150821 14.7146600944161 13.6687634150821 19.2336271419184 15.2816712114624
"vava BT2400" 5 7 6.19258240356725 8.85410196624968 11.7574461304035 8.72714138700465 8.48404872622057 12.2915026221292 0 6.04668436981694 7 8.53455898343739 9.35486006373563 5.52100952831344 5.3851648071345 6.51637962641806 8.72714138700465 6.51637962641806 11.4197237905719 8.06486372683627
"theek hai2409" 6.16227766016838 7.24264068711928 6.3166247903554 6.16227766016838 11.039042162647 10.372281323269 10.0648637268363 12.4093898881934 6.04668436981694 0 7.24264068711928 10.5345589834374 7.40491834728766 2.29128784747792 3.3166247903554 7.8166247903554 7.37228132326901 7.8166247903554 13.3814885171917 8.52913557276139
