"what's that3101" "woof woof2673" "baby2119" "toot toot2645" "honk honk2817" "eeyore3098" "what's that3102" "quack quack2128" "eeyore2121" "honk honk2672" "what's that2822" "baby2118" "what's that2821" "quack quack2642" "monkey3157" "quack quack1804" "woof woof2824" "quack quack2124" "eeyore2813" "hippo2641"
"what's that3101" 0 11.7961410422807 14.9977031609972 17.0151520275096 11.7961410422807 10.8123463740387 10.2493346142329 11.7961410422807 14.5979183743294 13.1052210440339 7.15164552582131 15.5710582599161 3.88208898096695 13.6407734987848 17.1829806427696 19.2976277482772 13.3551961112306 11.7961410422807 11.8338633821123 16.9318956566034
"woof woof2673" 11.7961410422807 0 8.34943665305963 6.32455532033676 2.82842712474619 8.48528137423857 14.6075487547216 8.48528137423857 5.34087473756208 5.3851648071345 8.27752819336023 8.34943665305963 8.74208971316431 11.3137084989848 8.05555761434623 8.48528137423857 2.87228132326901 8.48528137423857 2.57681974534503 8.79404423567967
"baby2119" 14.9977031609972 8.34943665305963 0 11.8455648486502 9.52100952831344 12.8584163682088 17.809110873438 11.2015621187164 9.76220757020336 8.34943665305963 11.9609109550573 2 12.4254724748614 14.0299892434626 8.99150262212918 15.1778637778058 8.97347903984778 11.2015621187164 9.55089786423542 12.7140582904866
"toot toot2645" 17.0151520275096 6.32455532033676 11.8455648486502 0 9.15298244508295 11.9814095698291 16.0155790803709 11.9814095698291 10.559885722791 9.05642218245206 14.602083513697 11.8455648486502 15.0666450335011 11.9814095698291 12.6951895890677 9.15298244508295 9.19683664360577 11.9814095698291 8.90137506568178 9.83145749033876
"honk honk2817" 11.7961410422807 2.82842712474619 9.52100952831344 9.15298244508295 0 5.65685424949238 14.6075487547216 5.65685424949238 6.26262612912423 8.21359193188069 8.44662813524032 9.52100952831344 8.91118965504441 8.48528137423857 9.99238199823748 11.3137084989848 5.7007084480152 5.65685424949238 3.49857113690718 10.6386766921838
"eeyore3098" 10.8123463740387 8.48528137423857 12.8584163682088 11.9814095698291 5.65685424949238 0 11.9482215718555 5.65685424949238 11.9194803786166 9.23155136217904 8.44662813524032 13.4317714671278 8.91118965504441 2.82842712474619 14.6654415794878 11.3137084989848 10.0443364431884 5.65685424949238 9.15542538639956 14.6386766921838
"what's that3102" 10.2493346142329 14.6075487547216 17.809110873438 16.0155790803709 14.6075487547216 11.9482215718555 0 14.6075487547216 17.4093260867703 15.1084024254228 8.88497147690359 18.382465972357 9.69102376003411 14.7766486966017 19.9943883552105 20.4335029460941 16.1666038236715 14.6075487547216 14.6452710945532 19.9494421735279
"quack quack2128" 11.7961410422807 8.48528137423857 11.2015621187164 11.9814095698291 5.65685424949238 5.65685424949238 14.6075487547216 0 10.9356857103745 11.5509987717761 8.44662813524032 11.7749172176354 8.91118965504441 2.82842712474619 13.7738388386328 11.3137084989848 10.0443364431884 0 9.15542538639956 12.9581241017808
"eeyore2121" 14.5979183743294 5.34087473756208 9.76220757020336 10.559885722791 6.26262612912423 11.9194803786166 17.4093260867703 10.9356857103745 0 10.7260395446966 10.9423867870807 9.76220757020336 11.4069483068848 13.7641128351207 8.32986533691725 12.8423614435586 8.21315606083109 10.9356857103745 2.76405499221705 10.6936780813193
"honk honk2672" 13.1052210440339 5.3851648071345 8.34943665305963 9.05642218245206 8.21359193188069 9.23155136217904 15.1084024254228 11.5509987717761 10.7260395446966 0 11.3432455908977 10.3494366530596 11.8078071107018 12.0599784869252 11.6840850256964 11.5509987717761 6.00920719392265 11.5509987717761 7.96198455247953 11.8597616332172
