Language,Subject,Age,Gloss,IPAtarget,IPAactual1,IPAactual2,IPAactual3,IPAactual4,IPAactual5,IPAactual6,IPAactual7,IPAactual8
French,Charles,18,allo,alo,al:ɔ (*2),alo,al:ɔ (*2),NA,NA,NA,NA,NA
NA,NA,NA,assis,asi,as:a,aç,NA,NA,NA,NA,NA,NA
NA,NA,NA,attend,ata,atæ,aʥm,ʔaʨə,NA,NA,NA,NA,NA
NA,NA,NA,au revoir,ovwaʁ,avwa,vwa,NA,NA,NA,NA,NA,NA
NA,NA,NA,auto (im.),oto,a:to,hɔto,at,NA,NA,NA,NA,NA
NA,NA,NA,balle,bal,pa,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,boire,bwaʁ,bwa,vwa (*10),vwɜ,v:wa,ɔvwa,ɔv:wa,bya,NA
NA,NA,NA,NA,NA,vwa (*10),vwa (*10),vwa (*10),vwa (*10),vwa (*10),vwa (*10),vwa (*10),NA
NA,NA,NA,NA,NA,vwa (*10),vwa (*10),NA,NA,NA,NA,NA,NA
NA,NA,NA,boum,bum,bum,bøm (*2),b:ym,bøm (*2),NA,NA,NA,NA
NA,NA,NA,ça,sa,z:a,ʃ:a (*3),ʃa,sa,tʃa,ʃ:a (*3),ʃ:a (*3),NA
NA,NA,NA,c'est beau,sebo,abo (im.),habo: (im.),bɔ,NA,NA,NA,NA,NA
NA,NA,NA,c'est bon (im.),sebɔ,habo,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,chapeau,ʃapo,apo,hapo,a:pø (*3),ha:p:o,a:pø (*3),a:pø (*3),NA,NA
NA,NA,NA,chaud,ʃo,ʃo  (*2),ʃo  (*2),NA,NA,NA,NA,NA,NA
NA,NA,NA,chaussures,ʃosyʁ,ʒaʒo,ɛdʒo,NA,NA,NA,NA,NA,NA
NA,NA,NA,coucou,kuku,tʉtʉ (*2),toto (*3),tʉtʉ (*2),toto (*3),toto (*3),NA,NA,NA
NA,NA,NA,garçon,gaʁ=sɔ,haʒœ (*3),haʐœ,aʐa,haʃɔ,aʃə,haʒœ (*3),haʒœ (*3),NA
NA,NA,NA,lapin,lapɛ,apa (*10),haba,ɦapa,a:pa,apa (*10),apa (*10),apa (*10),NA
NA,NA,NA,NA,NA,apa (*10),apa (*10),apa (*10),apa (*10),apa (*10),apa (*10),NA,NA
NA,NA,NA,les yeux,lezjø,aʒo:,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,lolo (BT),lolo,ʎoʎo,biʎə,NA,NA,NA,NA,NA,NA
NA,NA,NA,maman,mama,mama (*7),mhamə,mʌma,mɛma,mama (*7),mama (*7),mama (*7),NA
NA,NA,NA,NA,NA,mama (*7),mama (*7),mama (*7),NA,NA,NA,NA,NA
NA,NA,NA,non-non,nɔnɔ,nɔnɔ,hənɔ,nɛna,nono,nəno (*7),nən,ɔno,NA
NA,NA,NA,NA,NA,nəno (*7),nəno (*7),nəno (*7),nəno (*7),nəno (*7),nəno (*7),NA,NA
NA,NA,NA,oiseau,wazo,abo:,apo,NA,NA,NA,NA,NA,NA
NA,NA,NA,papa,papa,papa (*3),papa (*3),papa (*3),NA,NA,NA,NA,NA
NA,NA,NA,poupée,pupe,bapa,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,tiens,tjɛ,ta (*15),tæ,tə,ʤa,ta (*15),ta (*15),ta (*15),NA
NA,NA,NA,NA,NA,ta (*15),ta (*15),ta (*15),ta (*15),ta (*15),ta (*15),ta (*15),NA
NA,NA,NA,NA,NA,ta (*15),ta (*15),ta (*15),ta (*15),NA,NA,NA,NA
NA,NA,NA,va pas,vapa,apa (*3),hapa (im.),apæ,apa (*3),apa (*3),NA,NA,NA
NA,NA,NA,(à) voire,vwaʁ,vwa,abvwa,av:wa,ɦəva,avwa,NA,NA,NA
NA,NA,NA,miammiam,mjamjam,am (*3),hæm (*2),ʌm,am (*3),am (*3),hæm (*2),NA,NA
NA,Gaël,22,accrocher,akʁɔʃe,xʁoʃe,xoʃe,NA,NA,NA,NA,NA,NA
NA,NA,NA,ballon,balo,lalo:,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,bébé,bebe,bebe (*12),bebe (*12),bebe (*12),bebe (*12),bebe (*12),bebe (*12),bebe (*12),NA
NA,NA,NA,NA,NA,bebe (*12),bebe (*12),bebe (*12),bebe (*12),bebe (*12),NA,NA,NA
NA,NA,NA,bleu,blø,be:e,blœ,ble:,blœ:e (*2),blœ: (*3),blœ:e (*2),blœ: (*3),NA
NA,NA,NA,NA,NA,blœ: (*3),NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,c'est ça,sesa,esa (*11),es,esa:,əsa (*5),əsea,esa (*11),esa (*11),NA
NA,NA,NA,NA,NA,sesa,esa (*11),esa (*11),esa (*11),esa (*11),esa (*11),esa (*11),NA
NA,NA,NA,NA,NA,esa (*11),esa (*11),əsa (*5),əsa (*5),əsa (*5),əsa (*5),NA,NA
NA,NA,NA,casser,kase,sase,ase,NA,NA,NA,NA,NA,NA
NA,NA,NA,chercher,ʃɛʁ=ʃe,ʃaʃe,aʃe,ase,NA,NA,NA,NA,NA
NA,NA,NA,la dame la,ladam=la,adalə,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,dedans,dəda,ada,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,deux,dø,dœ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,dodo,dodo,dodo,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,dormir,doʁ=mi,doʁ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,écrit,ekʁi,eχri,iχri,NA,NA,NA,NA,NA,NA
NA,NA,NA,feu,fø,əfœ:,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Gael?,gaɛl,gaʔal,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,grelot,gʁəlo,eχo,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,gros,gʁo,egro:,egro (*2),egro (*2),NA,NA,NA,NA,NA
NA,NA,NA,grosse,gʁos,egrəs,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,ici,isi,is,isi,NA,NA,NA,NA,NA,NA
NA,NA,NA,là,la,la (*19),la (*19),la (*19),la (*19),la (*19),la (*19),la (*19),NA
NA,NA,NA,NA,NA,la (*19),la (*19),la (*19),la (*19),la (*19),la (*19),la (*19),NA
NA,NA,NA,NA,NA,la (*19),la (*19),la (*19),la (*19),la (*19),NA,NA,NA
NA,NA,NA,là bas,laba,aba (*2),aba (*2),NA,NA,NA,NA,NA,NA
NA,NA,NA,machine,maʃin,ʃe,aʃe,NA,NA,NA,NA,NA,NA
NA,NA,NA,maman,mama,mama (*3),ma (*2),mama,ama,mama (*3),mama (*3),ma (*2),NA
NA,NA,NA,non,no,no (*2),no (*2),NA,NA,NA,NA,NA,NA
NA,NA,NA,ouais,we,wɛ (*6),we,wɛ (*6),wɛ (*6),wɛ (*6),wɛ (*6),wɛ (*6),NA
NA,NA,NA,oui,wi,wi (*7),we,wi (*7),wi (*7),wi (*7),wi (*7),wi (*7),NA
NA,NA,NA,NA,NA,wi (*7),NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,ouvre,uvʁ,euv,euvr (*2),auvre,vχe,œvre,euvr (*2),NA,NA
NA,NA,NA,ouvrir,uvʁiʁ,oχri,uχri,uvχri (*2),auvri,uvχre,uvχri (*2),NA,NA
NA,NA,NA,papa,papa,papa,epap,pap,NA,NA,NA,NA,NA
NA,NA,NA,pas,pa,epa,apa,NA,NA,NA,NA,NA,NA
NA,NA,NA,plus,ply,aplœ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,roue,ʁu,iχu (*2),iχu (*2),NA,NA,NA,NA,NA,NA
NA,NA,NA,rouge,ʁuʒ,rojo,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,sou,su,esu (*3),esu (*3),esu (*3),NA,NA,NA,NA,NA
NA,NA,NA,tas,ta,ta (*2),ta:,ota (*2),ta (*2),ota (*2),NA,NA,NA
NA,NA,NA,tout seul,tusøl,tusɛ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,trax,tʁaks,χras,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,vert,vɛʁ,vɛ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,voiture,vwatyʁ,tɛty (*2),tɛty (*2),NA,NA,NA,NA,NA,NA
NA,Laurent,17,aîe,ai,ʔa:i:,a:jœ,ʔai,a:i,NA,NA,NA,NA
NA,NA,NA,allo,alo,alo,ʔaʔalʌ,ʔøalo,NA,NA,NA,NA,NA
NA,NA,NA,ballon,balɔ,palɔ,bəl,NA,NA,NA,NA,NA,NA
NA,NA,NA,bébé,bebe,bəbə,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,boire,bwaʁ,ʔø:habʉa:bja,go:mabyao,NA,NA,NA,NA,NA,NA
NA,NA,NA,brosse,bʁɔs,bəla,pʌla,NA,NA,NA,NA,NA,NA
NA,NA,NA,caca,kaka,kɒka,NA,NA,NA,NA,NA,NA,NA
