"au revoir3044" "chapeau3056" "encore3062" "encore3065" "encore3064" "maman2613" "au revoir1956" "voiture3077" "coucou2611" "au revoir3040" "au revoir3038" "coucou2606" "chapeau3057" "encore3066" "bisou3049" "coucou2605" "voiture3078" "chapeau3058" "vachou3075" "encore3072"
"au revoir3044" 0 2.5 3.35410196624968 3.35410196624968 3.35410196624968 6.14575131106459 8.28506452053049 2.69258240356725 6.14505191510159 2.69258240356725 0 6.67072675660508 1 3.35410196624968 2.69258240356725 6.67072675660508 2.69258240356725 2.69258240356725 2.23606797749979 6.47890245052378
"chapeau3056" 2.5 0 3.3166247903554 3.3166247903554 3.3166247903554 5.29150262212918 8.42090924170943 3.3166247903554 6.51818690907182 1 2.5 6.6332495807108 2.69258240356725 3.3166247903554 3.3166247903554 6.6332495807108 3.3166247903554 1 3.04138126514911 7.70410698405146
"encore3062" 3.35410196624968 3.3166247903554 0 0 0 7.11788726606417 8.90910690731864 2.82842712474619 6.35800605550451 3.16227766016838 3.35410196624968 3.3166247903554 3.20156211871642 0 2.82842712474619 3.3166247903554 2.82842712474619 3.16227766016838 2.06155281280883 7.8166247903554
"encore3065" 3.35410196624968 3.3166247903554 0 0 0 7.11788726606417 8.90910690731864 2.82842712474619 6.35800605550451 3.16227766016838 3.35410196624968 3.3166247903554 3.20156211871642 0 2.82842712474619 3.3166247903554 2.82842712474619 3.16227766016838 2.06155281280883 7.8166247903554
"encore3064" 3.35410196624968 3.3166247903554 0 0 0 7.11788726606417 8.90910690731864 2.82842712474619 6.35800605550451 3.16227766016838 3.35410196624968 3.3166247903554 3.20156211871642 0 2.82842712474619 3.3166247903554 2.82842712474619 3.16227766016838 2.06155281280883 7.8166247903554
"maman2613" 6.14575131106459 5.29150262212918 7.11788726606417 7.11788726606417 7.11788726606417 0 8.05555761434623 7.11788726606417 7.673698073716 5.80802897123297 6.14575131106459 8.94427190999916 6.55087614901792 7.11788726606417 7.11788726606417 8.94427190999916 7.11788726606417 5.80802897123297 6.55087614901792 9.86750093937332
"au revoir1956" 8.28506452053049 8.42090924170943 8.90910690731864 8.90910690731864 8.90910690731864 8.05555761434623 0 8.90910690731864 8.7732621861397 8.59248211696324 8.28506452053049 9.39730457292785 8.46476344023226 8.90910690731864 8.90910690731864 9.39730457292785 8.90910690731864 8.59248211696324 8.09248211696324 11.7813882305877
"voiture3077" 2.69258240356725 3.3166247903554 2.82842712474619 2.82842712474619 2.82842712474619 7.11788726606417 8.90910690731864 0 6.95667973499566 3.16227766016838 2.69258240356725 6.14505191510159 2.5 2.82842712474619 0 6.14505191510159 0 3.16227766016838 2.06155281280883 6.8166247903554
"coucou2611" 6.14505191510159 6.51818690907182 6.35800605550451 6.35800605550451 6.35800605550451 7.673698073716 8.7732621861397 6.95667973499566 0 6.95667973499566 6.14505191510159 3.04138126514911 6.6332495807108 6.35800605550451 6.95667973499566 3.04138126514911 6.95667973499566 6.95667973499566 5.55269276785519 9.79552724087918
"au revoir3040" 2.69258240356725 1 3.16227766016838 3.16227766016838 3.16227766016838 5.80802897123297 8.59248211696324 3.16227766016838 6.95667973499566 0 2.69258240356725 6.47890245052378 2.5 3.16227766016838 3.16227766016838 6.47890245052378 3.16227766016838 0 3.20156211871642 8.0336153563837
"au revoir3038" 0 2.5 3.35410196624968 3.35410196624968 3.35410196624968 6.14575131106459 8.28506452053049 2.69258240356725 6.14505191510159 2.69258240356725 0 6.67072675660508 1 3.35410196624968 2.69258240356725 6.67072675660508 2.69258240356725 2.69258240356725 2.23606797749979 6.47890245052378
"coucou2606" 6.67072675660508 6.6332495807108 3.3166247903554 3.3166247903554 3.3166247903554 8.94427190999916 9.39730457292785 6.14505191510159 3.04138126514911 6.47890245052378 6.67072675660508 0 6.51818690907182 3.3166247903554 6.14505191510159 0 6.14505191510159 6.47890245052378 5.37817760316423 11.1332495807108
"chapeau3057" 1 2.69258240356725 3.20156211871642 3.20156211871642 3.20156211871642 6.55087614901792 8.46476344023226 2.5 6.6332495807108 2.5 1 6.51818690907182 0 3.20156211871642 2.5 6.51818690907182 2.5 2.5 2.44948974278318 6.92217606581939
"encore3066" 3.35410196624968 3.3166247903554 0 0 0 7.11788726606417 8.90910690731864 2.82842712474619 6.35800605550451 3.16227766016838 3.35410196624968 3.3166247903554 3.20156211871642 0 2.82842712474619 3.3166247903554 2.82842712474619 3.16227766016838 2.06155281280883 7.8166247903554
