"AUNTI2949" "mama3359" "na/ nahin1885" "baba3363" "mama3361" "idhar3565" "Durrain3366" "UNCLE2957" "na/ nahin1888" "anda2950" "baba2697" "idhar3566" "anda2951" "UNCLE2953" "chunti2387" "ooper3568" "ajao2694" "na/ nahin1884" "Bazil3364" "na/ nahin1882"
"AUNTI2949" 0 14.4161563837176 9.3166247903554 13.0965846654654 14.4161563837176 9.12465376158837 12.2869314217567 2.82842712474619 9.3166247903554 2.23606797749979 6.3166247903554 9.12465376158837 2.23606797749979 5.7007084480152 3.3166247903554 10.788760745355 6.3166247903554 9.3166247903554 11.9530808863346 9.3166247903554
"mama3359" 14.4161563837176 0 11.0995315933622 13.4114323690046 0 15.2226372189798 16.6999915335329 14.4161563837176 11.0995315933622 14.2618092535305 10.5830052442584 15.2226372189798 14.2618092535305 17.2884377069866 16.2425410276525 14.0995315933622 10.5830052442584 11.0995315933622 15.2226372189798 11.0995315933622
"na/ nahin1885" 9.3166247903554 11.0995315933622 0 9.77995987511004 11.0995315933622 9.32455532033676 8.97030663140135 9.3166247903554 0 9.16227766016838 3 9.32455532033676 9.16227766016838 12.1889061136244 9.47890245052378 9 3 0 10.4476609459544 0
"baba3363" 13.0965846654654 13.4114323690046 9.77995987511004 0 13.4114323690046 9.15298244508295 9.48683298050514 13.0965846654654 9.77995987511004 12.9422375352784 8.48528137423857 9.15298244508295 12.9422375352784 15.9688659887345 13.5847823310747 4.82842712474619 8.48528137423857 9.77995987511004 6.32455532033676 9.77995987511004
"mama3361" 14.4161563837176 0 11.0995315933622 13.4114323690046 0 15.2226372189798 16.6999915335329 14.4161563837176 11.0995315933622 14.2618092535305 10.5830052442584 15.2226372189798 14.2618092535305 17.2884377069866 16.2425410276525 14.0995315933622 10.5830052442584 11.0995315933622 15.2226372189798 11.0995315933622
"idhar3565" 9.12465376158837 15.2226372189798 9.32455532033676 9.15298244508295 15.2226372189798 0 3.16227766016838 9.12465376158837 9.32455532033676 8.97030663140135 6.32455532033676 0 8.97030663140135 11.9969350848574 12.4412785519438 6.6332495807108 6.32455532033676 9.32455532033676 2.82842712474619 9.32455532033676
"Durrain3366" 12.2869314217567 16.6999915335329 8.97030663140135 9.48683298050514 16.6999915335329 3.16227766016838 0 12.2869314217567 8.97030663140135 12.1325842915697 9.48683298050514 3.16227766016838 12.1325842915697 15.1592127450258 10.1246537615884 9.79552724087918 9.48683298050514 8.97030663140135 3.16227766016838 8.97030663140135
"UNCLE2957" 2.82842712474619 14.4161563837176 9.3166247903554 13.0965846654654 14.4161563837176 9.12465376158837 12.2869314217567 0 9.3166247903554 3.60555127546399 6.3166247903554 9.12465376158837 3.60555127546399 2.87228132326901 6.14505191510159 10.788760745355 6.3166247903554 9.3166247903554 11.9530808863346 9.3166247903554
"na/ nahin1888" 9.3166247903554 11.0995315933622 0 9.77995987511004 11.0995315933622 9.32455532033676 8.97030663140135 9.3166247903554 0 9.16227766016838 3 9.32455532033676 9.16227766016838 12.1889061136244 9.47890245052378 9 3 0 10.4476609459544 0
"anda2950" 2.23606797749979 14.2618092535305 9.16227766016838 12.9422375352784 14.2618092535305 8.97030663140135 12.1325842915697 3.60555127546399 9.16227766016838 0 6.16227766016838 8.97030663140135 0 6.477832598733 5.55269276785519 10.634413615168 6.16227766016838 9.16227766016838 11.7987337561475 9.16227766016838
