"matto3578" "Atti3470" "auto2840" "auto3477" "ukko3498" "Minni3171" "auto3476" "auto3484" "auto3483" "auto2842" "Atti3466" "ukko3500" "isi2860" "äiti3453" "loppu3493" "matto3166" "äiti3454" "äiti2829" "Atti3467" "ääni2827"
"matto3578" 0 9.9498743710662 6.6332495807108 9.9498743710662 12.7783014958124 15.7955272408792 9.9498743710662 9.9498743710662 9.9498743710662 6.6332495807108 9.9498743710662 15.7783014958124 8.92453742818872 9.9498743710662 12.7955272408792 13.2664991614216 9.9498743710662 6.6332495807108 9.9498743710662 9.79552724087918
"Atti3470" 9.9498743710662 0 3.3166247903554 0 5.65685424949238 9.32455532033676 0 0 0 3.3166247903554 0 8.65685424949238 5.60791263783332 0 6.32455532033676 3.3166247903554 0 3.3166247903554 0 6.47890245052378
"auto2840" 6.6332495807108 3.3166247903554 0 3.3166247903554 6.14505191510159 9.16227766016838 3.3166247903554 3.3166247903554 3.3166247903554 0 3.3166247903554 9.14505191510159 2.29128784747792 3.3166247903554 6.16227766016838 6.6332495807108 3.3166247903554 0 3.3166247903554 3.16227766016838
"auto3477" 9.9498743710662 0 3.3166247903554 0 5.65685424949238 9.32455532033676 0 0 0 3.3166247903554 0 8.65685424949238 5.60791263783332 0 6.32455532033676 3.3166247903554 0 3.3166247903554 0 6.47890245052378
"ukko3498" 12.7783014958124 5.65685424949238 6.14505191510159 5.65685424949238 0 11.4852813742386 5.65685424949238 5.65685424949238 5.65685424949238 6.14505191510159 5.65685424949238 3 6.35800605550451 5.65685424949238 6.32455532033676 8.97347903984778 5.65685424949238 6.14505191510159 5.65685424949238 7.55926547747468
"Minni3171" 15.7955272408792 9.32455532033676 9.16227766016838 9.32455532033676 11.4852813742386 0 9.32455532033676 9.32455532033676 9.32455532033676 9.16227766016838 9.32455532033676 14.4852813742386 9.20156211871642 9.32455532033676 11.9442719099992 9.48683298050514 9.32455532033676 9.16227766016838 9.32455532033676 6
"auto3476" 9.9498743710662 0 3.3166247903554 0 5.65685424949238 9.32455532033676 0 0 0 3.3166247903554 0 8.65685424949238 5.60791263783332 0 6.32455532033676 3.3166247903554 0 3.3166247903554 0 6.47890245052378
"auto3484" 9.9498743710662 0 3.3166247903554 0 5.65685424949238 9.32455532033676 0 0 0 3.3166247903554 0 8.65685424949238 5.60791263783332 0 6.32455532033676 3.3166247903554 0 3.3166247903554 0 6.47890245052378
"auto3483" 9.9498743710662 0 3.3166247903554 0 5.65685424949238 9.32455532033676 0 0 0 3.3166247903554 0 8.65685424949238 5.60791263783332 0 6.32455532033676 3.3166247903554 0 3.3166247903554 0 6.47890245052378
"auto2842" 6.6332495807108 3.3166247903554 0 3.3166247903554 6.14505191510159 9.16227766016838 3.3166247903554 3.3166247903554 3.3166247903554 0 3.3166247903554 9.14505191510159 2.29128784747792 3.3166247903554 6.16227766016838 6.6332495807108 3.3166247903554 0 3.3166247903554 3.16227766016838
"Atti3466" 9.9498743710662 0 3.3166247903554 0 5.65685424949238 9.32455532033676 0 0 0 3.3166247903554 0 8.65685424949238 5.60791263783332 0 6.32455532033676 3.3166247903554 0 3.3166247903554 0 6.47890245052378
"ukko3500" 15.7783014958124 8.65685424949238 9.14505191510159 8.65685424949238 3 14.4852813742386 8.65685424949238 8.65685424949238 8.65685424949238 9.14505191510159 8.65685424949238 0 9.35800605550451 8.65685424949238 9.32455532033676 11.9734790398478 8.65685424949238 9.14505191510159 8.65685424949238 10.5592654774747
"isi2860" 8.92453742818872 5.60791263783332 2.29128784747792 5.60791263783332 6.35800605550451 9.20156211871642 5.60791263783332 5.60791263783332 5.60791263783332 2.29128784747792 5.60791263783332 9.35800605550451 0 5.60791263783332 6.04138126514911 8.92453742818872 5.60791263783332 2.29128784747792 5.60791263783332 3.20156211871642
"äiti3453" 9.9498743710662 0 3.3166247903554 0 5.65685424949238 9.32455532033676 0 0 0 3.3166247903554 0 8.65685424949238 5.60791263783332 0 6.32455532033676 3.3166247903554 0 3.3166247903554 0 6.47890245052378
"loppu3493" 12.7955272408792 6.32455532033676 6.16227766016838 6.32455532033676 6.32455532033676 11.9442719099992 6.32455532033676 6.32455532033676 6.32455532033676 6.16227766016838 6.32455532033676 9.32455532033676 6.04138126514911 6.32455532033676 0 9.64118011069216 6.32455532033676 6.16227766016838 6.32455532033676 7.47213595499958
"matto3166" 13.2664991614216 3.3166247903554 6.6332495807108 3.3166247903554 8.97347903984778 9.48683298050514 3.3166247903554 3.3166247903554 3.3166247903554 6.6332495807108 3.3166247903554 11.9734790398478 8.92453742818872 3.3166247903554 9.64118011069216 0 3.3166247903554 6.6332495807108 3.3166247903554 9.79552724087918
"äiti3454" 9.9498743710662 0 3.3166247903554 0 5.65685424949238 9.32455532033676 0 0 0 3.3166247903554 0 8.65685424949238 5.60791263783332 0 6.32455532033676 3.3166247903554 0 3.3166247903554 0 6.47890245052378
"äiti2829" 6.6332495807108 3.3166247903554 0 3.3166247903554 6.14505191510159 9.16227766016838 3.3166247903554 3.3166247903554 3.3166247903554 0 3.3166247903554 9.14505191510159 2.29128784747792 3.3166247903554 6.16227766016838 6.6332495807108 3.3166247903554 0 3.3166247903554 3.16227766016838
"Atti3467" 9.9498743710662 0 3.3166247903554 0 5.65685424949238 9.32455532033676 0 0 0 3.3166247903554 0 8.65685424949238 5.60791263783332 0 6.32455532033676 3.3166247903554 0 3.3166247903554 0 6.47890245052378
"ääni2827" 9.79552724087918 6.47890245052378 3.16227766016838 6.47890245052378 7.55926547747468 6 6.47890245052378 6.47890245052378 6.47890245052378 3.16227766016838 6.47890245052378 10.5592654774747 3.20156211871642 6.47890245052378 7.47213595499958 9.79552724087918 6.47890245052378 3.16227766016838 6.47890245052378 0
