"livre1901" "papa2443" "livre1905" "canard/coin-coin2423" "livre1907" "encore2959" "encore1899" "nonnon2705" "maman2431" "lequel2963" "mouton2968" "voiture2448" "maman3109" "maman3110" "papa2445" "pin pon1909" "musique2439" "coucou2426" "pin pon2969" "maman2430"
"livre1901" 0 7.7169905660283 0 7.8166247903554 0 6.18890611362441 4.5 2.87228132326901 6.55087614901792 6.18890611362441 6.18890611362441 6.82658772528613 8.1637839453982 8.1637839453982 7.7169905660283 4.7169905660283 7.8166247903554 7.8166247903554 5.87228132326901 4.93703915854251
"papa2443" 7.7169905660283 0 7.7169905660283 6.32455532033676 7.7169905660283 6.16227766016838 6.16227766016838 6 6.32455532033676 6.16227766016838 6.16227766016838 6.19115354047443 8.80802897123297 8.80802897123297 0 3 6.32455532033676 6.32455532033676 3 7.63441361516796
"livre1905" 0 7.7169905660283 0 7.8166247903554 0 6.18890611362441 4.5 2.87228132326901 6.55087614901792 6.18890611362441 6.18890611362441 6.82658772528613 8.1637839453982 8.1637839453982 7.7169905660283 4.7169905660283 7.8166247903554 7.8166247903554 5.87228132326901 4.93703915854251
"canard/coin-coin2423" 7.8166247903554 6.32455532033676 7.8166247903554 0 7.8166247903554 3.3166247903554 3.3166247903554 6.6332495807108 8.94427190999916 3.3166247903554 6.14505191510159 7.62493326706221 10.4345120564196 10.4345120564196 6.32455532033676 6.47890245052378 0 0 6.47890245052378 8.71477664211886
"livre1907" 0 7.7169905660283 0 7.8166247903554 0 6.18890611362441 4.5 2.87228132326901 6.55087614901792 6.18890611362441 6.18890611362441 6.82658772528613 8.1637839453982 8.1637839453982 7.7169905660283 4.7169905660283 7.8166247903554 7.8166247903554 5.87228132326901 4.93703915854251
"encore2959" 6.18890611362441 6.16227766016838 6.18890611362441 3.3166247903554 6.18890611362441 0 6.6332495807108 3.3166247903554 7.11788726606417 0 2.82842712474619 6.11815695846674 7.11788726606417 7.11788726606417 6.16227766016838 6.3166247903554 3.3166247903554 3.3166247903554 3.16227766016838 7.47213595499958
"encore1899" 4.5 6.16227766016838 4.5 3.3166247903554 4.5 6.6332495807108 0 3.3166247903554 7.11788726606417 6.6332495807108 6.6332495807108 6.96341370437978 8.60812741248458 8.60812741248458 6.16227766016838 3.16227766016838 3.3166247903554 3.3166247903554 6.3166247903554 6.88839199818388
"nonnon2705" 2.87228132326901 6 2.87228132326901 6.6332495807108 2.87228132326901 3.3166247903554 3.3166247903554 0 5.29150262212918 3.3166247903554 3.3166247903554 5.4566373957843 5.29150262212918 5.29150262212918 6 3 6.6332495807108 6.6332495807108 3 5.64575131106459
"maman2431" 6.55087614901792 6.32455532033676 6.55087614901792 8.94427190999916 6.55087614901792 7.11788726606417 7.11788726606417 5.29150262212918 0 7.11788726606417 7.11788726606417 5.6540659228538 5.29150262212918 5.29150262212918 6.32455532033676 5.80802897123297 8.94427190999916 8.94427190999916 5.80802897123297 3.16227766016838
"lequel2963" 6.18890611362441 6.16227766016838 6.18890611362441 3.3166247903554 6.18890611362441 0 6.6332495807108 3.3166247903554 7.11788726606417 0 2.82842712474619 6.11815695846674 7.11788726606417 7.11788726606417 6.16227766016838 6.3166247903554 3.3166247903554 3.3166247903554 3.16227766016838 7.47213595499958
"mouton2968" 6.18890611362441 6.16227766016838 6.18890611362441 6.14505191510159 6.18890611362441 2.82842712474619 6.6332495807108 3.3166247903554 7.11788726606417 2.82842712474619 0 5.4566373957843 7.11788726606417 7.11788726606417 6.16227766016838 6.3166247903554 6.14505191510159 6.14505191510159 3.16227766016838 7.47213595499958
"voiture2448" 6.82658772528613 6.19115354047443 6.82658772528613 7.62493326706221 6.82658772528613 6.11815695846674 6.96341370437978 5.4566373957843 5.6540659228538 6.11815695846674 5.4566373957843 0 8.90980630328164 8.90980630328164 6.19115354047443 6.19115354047443 7.62493326706221 7.62493326706221 5.4566373957843 7.81740662898458
