"pin pon1911" "teuton2449" "canard/coin-coin2963" "encore2967" "livre1902" "divan2429" "canard/coin-coin2425" "canard/coin-coin2964" "lequel2970" "maman3117" "pin pon2976" "coucou2427" "pin pon1913" "musique2440" "bravo2423" "maman2973" "maman2434" "maman2431" "maman2435" "mouton2975"
"pin pon1911" 0 6.47890245052378 6.3166247903554 6.3166247903554 4.7169905660283 5.3851648071345 6.47890245052378 6.3166247903554 6.3166247903554 8.29150262212918 6 6.47890245052378 0 6.47890245052378 3.82842712474619 5.64575131106459 5.80802897123297 5.80802897123297 5.80802897123297 6.3166247903554
"teuton2449" 6.47890245052378 0 6.14505191510159 6.14505191510159 6.8166247903554 5.3851648071345 5.65685424949238 6.14505191510159 6.14505191510159 10.4345120564196 6.47890245052378 5.65685424949238 6.47890245052378 5.65685424949238 6.6332495807108 7.78876074535498 8.94427190999916 8.94427190999916 8.94427190999916 3.3166247903554
"canard/coin-coin2963" 6.3166247903554 6.14505191510159 0 0 6.18890611362441 6.04668436981694 3.3166247903554 0 0 7.11788726606417 3.16227766016838 3.3166247903554 6.3166247903554 3.3166247903554 6.14505191510159 4.47213595499958 7.11788726606417 7.11788726606417 7.11788726606417 2.82842712474619
"encore2967" 6.3166247903554 6.14505191510159 0 0 6.18890611362441 6.04668436981694 3.3166247903554 0 0 7.11788726606417 3.16227766016838 3.3166247903554 6.3166247903554 3.3166247903554 6.14505191510159 4.47213595499958 7.11788726606417 7.11788726606417 7.11788726606417 2.82842712474619
"livre1902" 4.7169905660283 6.8166247903554 6.18890611362441 6.18890611362441 0 5.85486006373563 7.8166247903554 6.18890611362441 6.18890611362441 8.1637839453982 5.87228132326901 7.8166247903554 4.7169905660283 7.8166247903554 7.21590931844225 5.51803263433361 6.55087614901792 6.55087614901792 6.55087614901792 6.18890611362441
"divan2429" 5.3851648071345 5.3851648071345 6.04668436981694 6.04668436981694 5.85486006373563 0 6.70820393249937 6.04668436981694 6.04668436981694 8.83833371463184 5.3851648071345 6.70820393249937 5.3851648071345 6.70820393249937 5 6.19258240356725 7 7 7 5.3851648071345
"canard/coin-coin2425" 6.47890245052378 5.65685424949238 3.3166247903554 3.3166247903554 7.8166247903554 6.70820393249937 0 3.3166247903554 3.3166247903554 10.4345120564196 6.47890245052378 0 6.47890245052378 0 6.6332495807108 7.78876074535498 8.94427190999916 8.94427190999916 8.94427190999916 6.14505191510159
"canard/coin-coin2964" 6.3166247903554 6.14505191510159 0 0 6.18890611362441 6.04668436981694 3.3166247903554 0 0 7.11788726606417 3.16227766016838 3.3166247903554 6.3166247903554 3.3166247903554 6.14505191510159 4.47213595499958 7.11788726606417 7.11788726606417 7.11788726606417 2.82842712474619
"lequel2970" 6.3166247903554 6.14505191510159 0 0 6.18890611362441 6.04668436981694 3.3166247903554 0 0 7.11788726606417 3.16227766016838 3.3166247903554 6.3166247903554 3.3166247903554 6.14505191510159 4.47213595499958 7.11788726606417 7.11788726606417 7.11788726606417 2.82842712474619
"maman3117" 8.29150262212918 10.4345120564196 7.11788726606417 7.11788726606417 8.1637839453982 8.83833371463184 10.4345120564196 7.11788726606417 7.11788726606417 0 5.80802897123297 10.4345120564196 8.29150262212918 10.4345120564196 8.11992974687537 2.64575131106459 5.29150262212918 5.29150262212918 5.29150262212918 7.11788726606417
"pin pon2976" 6 6.47890245052378 3.16227766016838 3.16227766016838 5.87228132326901 5.3851648071345 6.47890245052378 3.16227766016838 3.16227766016838 5.80802897123297 0 6.47890245052378 6 6.47890245052378 3.82842712474619 3.16227766016838 5.80802897123297 5.80802897123297 5.80802897123297 3.16227766016838
"coucou2427" 6.47890245052378 5.65685424949238 3.3166247903554 3.3166247903554 7.8166247903554 6.70820393249937 0 3.3166247903554 3.3166247903554 10.4345120564196 6.47890245052378 0 6.47890245052378 0 6.6332495807108 7.78876074535498 8.94427190999916 8.94427190999916 8.94427190999916 6.14505191510159
"pin pon1913" 0 6.47890245052378 6.3166247903554 6.3166247903554 4.7169905660283 5.3851648071345 6.47890245052378 6.3166247903554 6.3166247903554 8.29150262212918 6 6.47890245052378 0 6.47890245052378 3.82842712474619 5.64575131106459 5.80802897123297 5.80802897123297 5.80802897123297 6.3166247903554
"musique2440" 6.47890245052378 5.65685424949238 3.3166247903554 3.3166247903554 7.8166247903554 6.70820393249937 0 3.3166247903554 3.3166247903554 10.4345120564196 6.47890245052378 0 6.47890245052378 0 6.6332495807108 7.78876074535498 8.94427190999916 8.94427190999916 8.94427190999916 6.14505191510159
"bravo2423" 3.82842712474619 6.6332495807108 6.14505191510159 6.14505191510159 7.21590931844225 5 6.6332495807108 6.14505191510159 6.14505191510159 8.11992974687537 3.82842712474619 6.6332495807108 3.82842712474619 6.6332495807108 0 5.47417843581078 5.29150262212918 5.29150262212918 5.29150262212918 6.14505191510159
"maman2973" 5.64575131106459 7.78876074535498 4.47213595499958 4.47213595499958 5.51803263433361 6.19258240356725 7.78876074535498 4.47213595499958 4.47213595499958 2.64575131106459 3.16227766016838 7.78876074535498 5.64575131106459 7.78876074535498 5.47417843581078 0 2.64575131106459 2.64575131106459 2.64575131106459 4.47213595499958
"maman2434" 5.80802897123297 8.94427190999916 7.11788726606417 7.11788726606417 6.55087614901792 7 8.94427190999916 7.11788726606417 7.11788726606417 5.29150262212918 5.80802897123297 8.94427190999916 5.80802897123297 8.94427190999916 5.29150262212918 2.64575131106459 0 0 0 7.11788726606417
"maman2431" 5.80802897123297 8.94427190999916 7.11788726606417 7.11788726606417 6.55087614901792 7 8.94427190999916 7.11788726606417 7.11788726606417 5.29150262212918 5.80802897123297 8.94427190999916 5.80802897123297 8.94427190999916 5.29150262212918 2.64575131106459 0 0 0 7.11788726606417
"maman2435" 5.80802897123297 8.94427190999916 7.11788726606417 7.11788726606417 6.55087614901792 7 8.94427190999916 7.11788726606417 7.11788726606417 5.29150262212918 5.80802897123297 8.94427190999916 5.80802897123297 8.94427190999916 5.29150262212918 2.64575131106459 0 0 0 7.11788726606417
"mouton2975" 6.3166247903554 3.3166247903554 2.82842712474619 2.82842712474619 6.18890611362441 5.3851648071345 6.14505191510159 2.82842712474619 2.82842712474619 7.11788726606417 3.16227766016838 6.14505191510159 6.3166247903554 6.14505191510159 6.14505191510159 4.47213595499958 7.11788726606417 7.11788726606417 7.11788726606417 0
