"Meira1947" "tata2557" "hiya2717" "eisio2549" "tedi2558" "Meira2555" "hiya2551" "Lucy2554" "hwnna3029" "tedi3433" "gaggag2550" "eira2547" "hwnna2552" "tata2556" "tata3030" "tedi3432" "La-La2718" "lorry2553" "Meira1946" "tractor2719"
"Meira1947" 0 6.93719487780375 2.64575131106459 7.62395696010495 7.63441361516796 2.57681974534503 7.60175755590547 10.3120117392421 5.64575131106459 13.4892736789036 5.96237610141999 7.15939544030087 8.02493781056044 7.28538328578604 5.96237610141999 14.785383285786 2.64575131106459 6.77740616122234 5.65685424949238 8.03091611819909
"tata2557" 6.93719487780375 0 5.85486006373563 4 4.15331193145904 6.97491721763538 5.84575131106459 7.64719854090439 5.33833371463184 10.0081719951947 9.17148485409103 5.7 5.29150262212918 3.77491721763537 3.69258240356725 13.7399705155357 5.85486006373563 6.78303865192305 12.5940491272961 11.2400248708701
"hiya2717" 2.64575131106459 5.85486006373563 0 5.8698083898953 6.47890245052378 5.22257105640962 5.77838186406145 9.35118377379279 3 12.3337625142594 3.3166247903554 5.40524687009122 6.20156211871642 6.32455532033676 3.3166247903554 13.8245553203368 0 5.74456264653803 8.30260556055697 5.3851648071345
"eisio2549" 7.62395696010495 4 5.8698083898953 0 4.8166247903554 7.8521322398102 5.96213894842161 7.15259297218729 6.02998924346261 10.671484854091 9.1864331802507 3.26955654485436 5.89414452228368 4.66227766016838 3.94646111349609 13.0566061279056 5.8698083898953 6.46848206938645 13.2808112095973 11.2549731970298
"tedi2558" 7.63441361516796 4.15331193145904 6.47890245052378 4.8166247903554 0 7.67213595499958 6.97491721763538 4.87228132326901 5.96237610141999 5.85486006373563 9.79552724087918 6.5166247903554 6.42066852869997 1 4.3166247903554 10.9650532979004 6.47890245052378 6.54138126514911 13.2912678646603 11.8640672576583
"Meira2555" 2.57681974534503 6.97491721763538 5.22257105640962 7.8521322398102 7.67213595499958 0 5.02493781056044 10.6340680286187 5.02061972847217 13.5269960187352 8.53919584676501 4.58257569495584 7.39980622796803 7.32310562561766 6.28443239079664 14.6707553741614 5.22257105640962 5.927499679569 8.23367399483741 10.6077358635441
"hiya2551" 7.60175755590547 5.84575131106459 5.77838186406145 5.96213894842161 6.97491721763538 5.02493781056044 0 10.4160872409544 5.57643053612401 12.829777281371 9.09500665441685 2.69258240356725 2.37486841740758 7.10512483795333 6.84024319844847 14.452774586497 5.77838186406145 6.60495053657151 13.2586118053978 11.163546671196
"Lucy2554" 10.3120117392421 7.64719854090439 9.35118377379279 7.15259297218729 4.87228132326901 10.6340680286187 10.4160872409544 0 9.19683664360577 10.7271413870046 12.6678085641482 9.67324006316944 9.93968382139072 3.87228132326901 6.03455898343739 13.0961117962462 9.35118377379279 9.41366258841812 15.9688659887345 14.7363485809273
"hwnna3029" 5.64575131106459 5.33833371463184 3 6.02998924346261 5.96237610141999 5.02061972847217 5.57643053612401 9.19683664360577 0 11.8172361651556 6.3166247903554 5.20329554215377 3.20156211871642 5.80802897123297 3.16227766016838 14.3659365854859 3 5.16356917074693 11.302605560557 8.3851648071345
"tedi3433" 13.4892736789036 10.0081719951947 12.3337625142594 10.671484854091 5.85486006373563 13.5269960187352 12.829777281371 10.7271413870046 11.8172361651556 0 15.6503873046148 12.371484854091 12.2755285924356 6.85486006373563 10.171484854091 6.30277563773199 12.3337625142594 12.3962413288847 16.3177008036498 17.7189273213939
"gaggag2550" 5.96237610141999 9.17148485409103 3.3166247903554 9.1864331802507 9.79552724087918 8.53919584676501 9.09500665441685 12.6678085641482 6.3166247903554 15.6503873046148 0 8.72187166044661 9.51818690907182 9.64118011069216 6.6332495807108 17.1411801106922 3.3166247903554 9.06118743689343 11.6192303509124 4.98387025104517
"eira2547" 7.15939544030087 5.7 5.40524687009122 3.26955654485436 6.5166247903554 4.58257569495584 2.69258240356725 9.67324006316944 5.20329554215377 12.371484854091 8.72187166044661 0 5.06745082097484 6.36227766016838 6.46710820447824 13.7099274087121 5.40524687009122 5.66242978625593 12.8162496897932 10.7904116772257
"hwnna2552" 8.02493781056044 5.29150262212918 6.20156211871642 5.89414452228368 6.42066852869997 7.39980622796803 2.37486841740758 9.93968382139072 3.20156211871642 12.2755285924356 9.51818690907182 5.06745082097484 0 6.55087614901792 6.3638397788848 15.1087837632708 6.20156211871642 6.87386354243376 13.6817920600528 11.5867269258509
"tata2556" 7.28538328578604 3.77491721763537 6.32455532033676 4.66227766016838 1 7.32310562561766 7.10512483795333 3.87228132326901 5.80802897123297 6.85486006373563 9.64118011069216 6.36227766016838 6.55087614901792 0 4.16227766016838 9.96505329790037 6.32455532033676 6.08276253029822 12.9422375352784 11.7097201274713
"tata3030" 5.96237610141999 3.69258240356725 3.3166247903554 3.94646111349609 4.3166247903554 6.28443239079664 6.84024319844847 6.03455898343739 3.16227766016838 10.171484854091 6.6332495807108 6.46710820447824 6.3638397788848 4.16227766016838 0 13.3861081331456 3.3166247903554 6.37228132326901 11.6192303509124 8.7017895974899
"tedi3432" 14.785383285786 13.7399705155357 13.8245553203368 13.0566061279056 10.9650532979004 14.6707553741614 14.452774586497 13.0961117962462 14.3659365854859 6.30277563773199 17.1411801106922 13.7099274087121 15.1087837632708 9.96505329790037 13.3861081331456 0 13.8245553203368 13.8494102363821 17.6138104105322 19.2097201274713
"La-La2718" 2.64575131106459 5.85486006373563 0 5.8698083898953 6.47890245052378 5.22257105640962 5.77838186406145 9.35118377379279 3 12.3337625142594 3.3166247903554 5.40524687009122 6.20156211871642 6.32455532033676 3.3166247903554 13.8245553203368 0 5.74456264653803 8.30260556055697 5.3851648071345
"lorry2553" 6.77740616122234 6.78303865192305 5.74456264653803 6.46848206938645 6.54138126514911 5.927499679569 6.60495053657151 9.41366258841812 5.16356917074693 12.3962413288847 9.06118743689343 5.66242978625593 6.87386354243376 6.08276253029822 6.37228132326901 13.8494102363821 5.74456264653803 0 12.4342604107147 11.1297274536725
"Meira1946" 5.65685424949238 12.5940491272961 8.30260556055697 13.2808112095973 13.2912678646603 8.23367399483741 13.2586118053978 15.9688659887345 11.302605560557 16.3177008036498 11.6192303509124 12.8162496897932 13.6817920600528 12.9422375352784 11.6192303509124 17.6138104105322 8.30260556055697 12.4342604107147 0 11.3683229580945
"tractor2719" 8.03091611819909 11.2400248708701 5.3851648071345 11.2549731970298 11.8640672576583 10.6077358635441 11.163546671196 14.7363485809273 8.3851648071345 17.7189273213939 4.98387025104517 10.7904116772257 11.5867269258509 11.7097201274713 8.7017895974899 19.2097201274713 5.3851648071345 11.1297274536725 11.3683229580945 0
