"heppa3177" "kiinni1815" "heppa3510" "rikki3524" "kiikkaa3192" "kukka3196" "kiikkaa3188" "kiikkaa3193" "heppa3172" "ankka3501" "heppa3180" "pappa3200" "kiikkaa3191" "heppa3181" "kiikkaa3189" "pipi2134" "kiikkaa3187" "kiinni1810" "ankka3500" "istuu3514"
"heppa3177" 0 8.5 3.20156211871642 9.52611743905318 8.82455532033676 8.82455532033676 9.52611743905318 8.82455532033676 0 9.52611743905318 0 4.15331193145904 8.82455532033676 0 8.82455532033676 7.03112887414927 8.82455532033676 9.20156211871642 9.52611743905318 9.52611743905318
"kiinni1815" 8.5 0 9.3166247903554 9.9498743710662 6.6332495807108 6.6332495807108 9.9498743710662 6.6332495807108 8.5 9.9498743710662 8.5 9.3166247903554 6.6332495807108 8.5 6.6332495807108 6.16227766016838 6.6332495807108 3.3166247903554 9.9498743710662 9.9498743710662
"heppa3510" 3.20156211871642 9.3166247903554 0 6.32455532033676 9.64118011069216 9.64118011069216 6.32455532033676 9.64118011069216 3.20156211871642 6.32455532033676 3.20156211871642 2.82842712474619 9.64118011069216 3.20156211871642 9.64118011069216 6 9.64118011069216 6 6.32455532033676 6.32455532033676
"rikki3524" 9.52611743905318 9.9498743710662 6.32455532033676 0 3.3166247903554 3.3166247903554 0 3.3166247903554 9.52611743905318 0 9.52611743905318 9.15298244508295 3.3166247903554 9.52611743905318 3.3166247903554 9.47890245052378 3.3166247903554 6.6332495807108 0 5.65685424949238
"kiikkaa3192" 8.82455532033676 6.6332495807108 9.64118011069216 3.3166247903554 0 0 3.3166247903554 0 8.82455532033676 3.3166247903554 8.82455532033676 9.64118011069216 0 8.82455532033676 0 9.64118011069216 0 9.9498743710662 3.3166247903554 8.97347903984778
"kukka3196" 8.82455532033676 6.6332495807108 9.64118011069216 3.3166247903554 0 0 3.3166247903554 0 8.82455532033676 3.3166247903554 8.82455532033676 9.64118011069216 0 8.82455532033676 0 9.64118011069216 0 9.9498743710662 3.3166247903554 8.97347903984778
"kiikkaa3188" 9.52611743905318 9.9498743710662 6.32455532033676 0 3.3166247903554 3.3166247903554 0 3.3166247903554 9.52611743905318 0 9.52611743905318 9.15298244508295 3.3166247903554 9.52611743905318 3.3166247903554 9.47890245052378 3.3166247903554 6.6332495807108 0 5.65685424949238
"kiikkaa3193" 8.82455532033676 6.6332495807108 9.64118011069216 3.3166247903554 0 0 3.3166247903554 0 8.82455532033676 3.3166247903554 8.82455532033676 9.64118011069216 0 8.82455532033676 0 9.64118011069216 0 9.9498743710662 3.3166247903554 8.97347903984778
"heppa3172" 0 8.5 3.20156211871642 9.52611743905318 8.82455532033676 8.82455532033676 9.52611743905318 8.82455532033676 0 9.52611743905318 0 4.15331193145904 8.82455532033676 0 8.82455532033676 7.03112887414927 8.82455532033676 9.20156211871642 9.52611743905318 9.52611743905318
"ankka3501" 9.52611743905318 9.9498743710662 6.32455532033676 0 3.3166247903554 3.3166247903554 0 3.3166247903554 9.52611743905318 0 9.52611743905318 9.15298244508295 3.3166247903554 9.52611743905318 3.3166247903554 9.47890245052378 3.3166247903554 6.6332495807108 0 5.65685424949238
"heppa3180" 0 8.5 3.20156211871642 9.52611743905318 8.82455532033676 8.82455532033676 9.52611743905318 8.82455532033676 0 9.52611743905318 0 4.15331193145904 8.82455532033676 0 8.82455532033676 7.03112887414927 8.82455532033676 9.20156211871642 9.52611743905318 9.52611743905318
"pappa3200" 4.15331193145904 9.3166247903554 2.82842712474619 9.15298244508295 9.64118011069216 9.64118011069216 9.15298244508295 9.64118011069216 4.15331193145904 9.15298244508295 4.15331193145904 0 9.64118011069216 4.15331193145904 9.64118011069216 4 9.64118011069216 8.82842712474619 9.15298244508295 9.15298244508295
"kiikkaa3191" 8.82455532033676 6.6332495807108 9.64118011069216 3.3166247903554 0 0 3.3166247903554 0 8.82455532033676 3.3166247903554 8.82455532033676 9.64118011069216 0 8.82455532033676 0 9.64118011069216 0 9.9498743710662 3.3166247903554 8.97347903984778
"heppa3181" 0 8.5 3.20156211871642 9.52611743905318 8.82455532033676 8.82455532033676 9.52611743905318 8.82455532033676 0 9.52611743905318 0 4.15331193145904 8.82455532033676 0 8.82455532033676 7.03112887414927 8.82455532033676 9.20156211871642 9.52611743905318 9.52611743905318
"kiikkaa3189" 8.82455532033676 6.6332495807108 9.64118011069216 3.3166247903554 0 0 3.3166247903554 0 8.82455532033676 3.3166247903554 8.82455532033676 9.64118011069216 0 8.82455532033676 0 9.64118011069216 0 9.9498743710662 3.3166247903554 8.97347903984778
"pipi2134" 7.03112887414927 6.16227766016838 6 9.47890245052378 9.64118011069216 9.64118011069216 9.47890245052378 9.64118011069216 7.03112887414927 9.47890245052378 7.03112887414927 4 9.64118011069216 7.03112887414927 9.64118011069216 0 9.64118011069216 6 9.47890245052378 9.47890245052378
"kiikkaa3187" 8.82455532033676 6.6332495807108 9.64118011069216 3.3166247903554 0 0 3.3166247903554 0 8.82455532033676 3.3166247903554 8.82455532033676 9.64118011069216 0 8.82455532033676 0 9.64118011069216 0 9.9498743710662 3.3166247903554 8.97347903984778
