"Hippi3517" "heppa3184" "heppa3186" "heppa3183" "istuu3522" "kiinni1817" "pappa3206" "heppa3176" "kiinni1815" "loppu1822" "heppa3516" "ankka3509" "heppa3187" "istuu3523" "heppa3185" "kiinni1814" "kakka3189" "Hippi3519" "heppa3177" "kukka3202"
"Hippi3517" 0 3.20156211871642 3.20156211871642 3.20156211871642 6.32455532033676 9.3166247903554 2.82842712474619 3.20156211871642 9.3166247903554 11.6925824035673 0 6.32455532033676 3.20156211871642 6.32455532033676 3.20156211871642 6 9.64118011069216 0 3.20156211871642 9.64118011069216
"heppa3184" 3.20156211871642 0 0 0 9.52611743905318 8.5 4.15331193145904 0 8.5 12.3166247903554 3.20156211871642 9.52611743905318 0 9.52611743905318 0 9.20156211871642 8.82455532033676 3.20156211871642 0 8.82455532033676
"heppa3186" 3.20156211871642 0 0 0 9.52611743905318 8.5 4.15331193145904 0 8.5 12.3166247903554 3.20156211871642 9.52611743905318 0 9.52611743905318 0 9.20156211871642 8.82455532033676 3.20156211871642 0 8.82455532033676
"heppa3183" 3.20156211871642 0 0 0 9.52611743905318 8.5 4.15331193145904 0 8.5 12.3166247903554 3.20156211871642 9.52611743905318 0 9.52611743905318 0 9.20156211871642 8.82455532033676 3.20156211871642 0 8.82455532033676
"istuu3522" 6.32455532033676 9.52611743905318 9.52611743905318 9.52611743905318 0 9.9498743710662 9.15298244508295 9.52611743905318 9.9498743710662 12.3258319842781 6.32455532033676 5.65685424949238 9.52611743905318 0 9.52611743905318 6.6332495807108 8.97347903984778 6.32455532033676 9.52611743905318 8.97347903984778
"kiinni1817" 9.3166247903554 8.5 8.5 8.5 9.9498743710662 0 9.3166247903554 8.5 0 6.04138126514911 9.3166247903554 9.9498743710662 8.5 9.9498743710662 8.5 3.3166247903554 6.6332495807108 9.3166247903554 8.5 6.6332495807108
"pappa3206" 2.82842712474619 4.15331193145904 4.15331193145904 4.15331193145904 9.15298244508295 9.3166247903554 0 4.15331193145904 9.3166247903554 12.2015621187164 2.82842712474619 9.15298244508295 4.15331193145904 9.15298244508295 4.15331193145904 8.82842712474619 9.64118011069216 2.82842712474619 4.15331193145904 9.64118011069216
"heppa3176" 3.20156211871642 0 0 0 9.52611743905318 8.5 4.15331193145904 0 8.5 12.3166247903554 3.20156211871642 9.52611743905318 0 9.52611743905318 0 9.20156211871642 8.82455532033676 3.20156211871642 0 8.82455532033676
"kiinni1815" 9.3166247903554 8.5 8.5 8.5 9.9498743710662 0 9.3166247903554 8.5 0 6.04138126514911 9.3166247903554 9.9498743710662 8.5 9.9498743710662 8.5 3.3166247903554 6.6332495807108 9.3166247903554 8.5 6.6332495807108
"loppu1822" 11.6925824035673 12.3166247903554 12.3166247903554 12.3166247903554 12.3258319842781 6.04138126514911 12.2015621187164 12.3166247903554 6.04138126514911 0 11.6925824035673 12.3258319842781 12.3166247903554 12.3258319842781 12.3166247903554 5.69258240356725 12.6746308458599 11.6925824035673 12.3166247903554 12.6746308458599
