gloss1,gloss2,Speaker_ID,word_pair,distance,Speaker,listID,distance_norm,data_type
au revoir3033,bisou3040,Adeline_1,au revoir3033_bisou3040,3.1622776601683795,Adeline,1,0.0940843618407024,actual
voilà3069,bisou3040,Adeline_1,bisou3040_voilà3069,3.5,Adeline,1,0.10413230646701804,actual
encore3065,bisou3040,Adeline_1,bisou3040_encore3065,6.8166247903554,Adeline,1,0.20280881763998887,actual
coucou3052,bisou3040,Adeline_1,bisou3040_coucou3052,2.8284271247461903,Adeline,1,0.08415161147819913,actual
encore3060,bisou3040,Adeline_1,bisou3040_encore3060,2.8284271247461903,Adeline,1,0.08415161147819913,actual
vachou3068,bisou3040,Adeline_1,bisou3040_vachou3068,2.0615528128088303,Adeline,1,0.06133549980038634,actual
coucou3133,bisou3040,Adeline_1,bisou3040_coucou3133,10.408166798346175,Adeline,1,0.3096646899443502,actual
bobo3132,bisou3040,Adeline_1,bisou3040_bobo3132,6.14505191510159,Adeline,1,0.18282812265116996,actual
encore3064,bisou3040,Adeline_1,bisou3040_encore3064,2.8284271247461903,Adeline,1,0.08415161147819913,actual
encore3063,bisou3040,Adeline_1,bisou3040_encore3063,2.8284271247461903,Adeline,1,0.08415161147819913,actual
chapeau3046,bisou3040,Adeline_1,bisou3040_chapeau3046,3.1622776601683795,Adeline,1,0.0940843618407024,actual
dodo2610,bisou3040,Adeline_1,bisou3040_dodo2610,3.3166247903554,Adeline,1,0.09867651117297084,actual
encore3058,bisou3040,Adeline_1,bisou3040_encore3058,2.8284271247461903,Adeline,1,0.08415161147819913,actual
bisou3038,bisou3040,Adeline_1,bisou3038_bisou3040,1,Adeline,1,0.029752087562005154,actual
encore3059,bisou3040,Adeline_1,bisou3040_encore3059,2.8284271247461903,Adeline,1,0.08415161147819913,actual
encore3061,bisou3040,Adeline_1,bisou3040_encore3061,2.8284271247461903,Adeline,1,0.08415161147819913,actual
au revoir3032,bisou3040,Adeline_1,au revoir3032_bisou3040,2.692582403567252,Adeline,1,0.08010994743884718,actual
au revoir1955,bisou3040,Adeline_1,au revoir1955_bisou3040,8.909106907318641,Adeline,1,0.26506452880580916,actual
encore3057,bisou3040,Adeline_1,bisou3040_encore3057,2.8284271247461903,Adeline,1,0.08415161147819913,actual
bisou3040,au revoir3033,Adeline_1,au revoir3033_bisou3040,3.1622776601683795,Adeline,1,0.0940843618407024,actual
