gloss1,gloss2,Speaker,word_pair,distance,distance_norm,data_type
bisou995,bisou994,Adeline,bisou994_bisou995,0,0,target
bisou996,bisou994,Adeline,bisou994_bisou996,0,0,target
bisou997,bisou994,Adeline,bisou994_bisou997,0,0,target
bisou998,bisou994,Adeline,bisou994_bisou998,0,0,target
bobo999,bisou994,Adeline,bisou994_bobo999,3.3541019662496847,0.2774303823328255,target
bobo1000,bisou994,Adeline,bisou994_bobo1000,3.3541019662496847,0.2774303823328255,target
bobo1001,bisou994,Adeline,bisou994_bobo1001,3.3541019662496847,0.2774303823328255,target
chapeau1002,bisou994,Adeline,bisou994_chapeau1002,6.701562118716424,0.5543113952798282,target
chapeau1003,bisou994,Adeline,bisou994_chapeau1003,6.701562118716424,0.5543113952798282,target
chapeau1004,bisou994,Adeline,bisou994_chapeau1004,6.701562118716424,0.5543113952798282,target
chapeau1005,bisou994,Adeline,bisou994_chapeau1005,6.701562118716424,0.5543113952798282,target
chapeau1006,bisou994,Adeline,bisou994_chapeau1006,6.701562118716424,0.5543113952798282,target
chapeau1007,bisou994,Adeline,bisou994_chapeau1007,6.701562118716424,0.5543113952798282,target
chapeau1008,bisou994,Adeline,bisou994_chapeau1008,6.701562118716424,0.5543113952798282,target
chapeau1009,bisou994,Adeline,bisou994_chapeau1009,6.701562118716424,0.5543113952798282,target
chapeau1010,bisou994,Adeline,bisou994_chapeau1010,6.701562118716424,0.5543113952798282,target
coucou1011,bisou994,Adeline,bisou994_coucou1011,6.518186909071824,0.5391437423479923,target
coucou1012,bisou994,Adeline,bisou994_coucou1012,6.518186909071824,0.5391437423479923,target
coucou1013,bisou994,Adeline,bisou994_coucou1013,6.518186909071824,0.5391437423479923,target
coucou1014,bisou994,Adeline,bisou994_coucou1014,6.518186909071824,0.5391437423479923,target
coucou1015,bisou994,Adeline,bisou994_coucou1015,6.518186909071824,0.5391437423479923,target
coucou1016,bisou994,Adeline,bisou994_coucou1016,6.518186909071824,0.5391437423479923,target
coucou1017,bisou994,Adeline,bisou994_coucou1017,6.518186909071824,0.5391437423479923,target
coucou1018,bisou994,Adeline,bisou994_coucou1018,6.518186909071824,0.5391437423479923,target
coucou1019,bisou994,Adeline,bisou994_coucou1019,6.518186909071824,0.5391437423479923,target
coucou1020,bisou994,Adeline,bisou994_coucou1020,6.518186909071824,0.5391437423479923,target
dodo1021,bisou994,Adeline,bisou994_dodo1021,4.280311648918275,0.3540406669838985,target
maman1022,bisou994,Adeline,bisou994_maman1022,6.799063242523628,0.5623760797551061,target
maman1023,bisou994,Adeline,bisou994_maman1023,6.799063242523628,0.5623760797551061,target
