gloss1,gloss2,Speaker_ID,word_pair,distance,Speaker,listID,distance_norm,data_type
chapeau3048,coucou2609,Adeline_1,chapeau3048_coucou2609,6.956679734995658,Adeline,1,0.4976208380680772,iter-A
chapeau3049,coucou2609,Adeline_1,chapeau3049_coucou2609,6.518186909071824,Adeline,1,0.4662548451181094,iter-A
maman2611,coucou2609,Adeline_1,coucou2609_maman2611,7.673698073716004,Adeline,1,0.5489101427674579,iter-A
encore3057,coucou2609,Adeline_1,coucou2609_encore3057,6.358006055504509,Adeline,1,0.454796889077148,iter-A
papa3135,coucou2609,Adeline_1,coucou2609_papa3135,9.956679734995658,Adeline,1,0.7122149506437028,iter-A
chapeau3044,coucou2609,Adeline_1,chapeau3044_coucou2609,6.956679734995658,Adeline,1,0.4976208380680772,iter-A
encore3064,coucou2609,Adeline_1,coucou2609_encore3064,6.358006055504509,Adeline,1,0.454796889077148,iter-A
encore1956,coucou2609,Adeline_1,coucou2609_encore1956,2.692582403567252,Adeline,1,0.19260411047675313,iter-A
maman2612,coucou2609,Adeline_1,coucou2609_maman2612,7.673698073716004,Adeline,1,0.5489101427674579,iter-A
bisou3039,coucou2609,Adeline_1,bisou3039_coucou2609,6.518186909071824,Adeline,1,0.4662548451181094,iter-A
bobo3131,coucou2609,Adeline_1,bobo3131_coucou2609,9.346614033818014,Adeline,1,0.6685761147246884,iter-A
coucou3134,coucou2609,Adeline_1,coucou2609_coucou3134,9.325831984278052,Adeline,1,0.6670895462318447,iter-A
papa2615,coucou2609,Adeline_1,coucou2609_papa2615,6.8023326048086385,Adeline,1,0.4865801762577178,iter-A
encore3058,coucou2609,Adeline_1,coucou2609_encore3058,6.358006055504509,Adeline,1,0.454796889077148,iter-A
chapeau3050,coucou2609,Adeline_1,chapeau3050_coucou2609,6.6332495807108,Adeline,1,0.47448543575509156,iter-A
au revoir3034,coucou2609,Adeline_1,au revoir3034_coucou2609,8.909106907318641,Adeline,1,0.6372806302058067,iter-A
bisou3041,coucou2609,Adeline_1,bisou3041_coucou2609,6.956679734995658,Adeline,1,0.4976208380680772,iter-A
bisou3038,coucou2609,Adeline_1,bisou3038_coucou2609,6.518186909071824,Adeline,1,0.4662548451181094,iter-A
encore3059,coucou2609,Adeline_1,coucou2609_encore3059,6.358006055504509,Adeline,1,0.454796889077148,iter-A
coucou2609,chapeau3048,Adeline_1,chapeau3048_coucou2609,6.956679734995658,Adeline,1,0.4976208380680772,iter-A
bisou3038,au revoir3035,Adeline_10,au revoir3035_bisou3038,2.5,Adeline,10,0.17882842714635466,iter-A
bobo3132,au revoir3035,Adeline_10,au revoir3035_bobo3132,5.32842712474619,Adeline,10,0.38114969675293364,iter-A
encore3053,au revoir3035,Adeline_10,au revoir3035_encore3053,3.3541019662496847,Adeline,10,0.23992351164517067,iter-A
vachou3068,au revoir3035,Adeline_10,au revoir3035_vachou3068,2.23606797749979,Adeline,10,0.15994900776344712,iter-A
chapeau3050,au revoir3035,Adeline_10,au revoir3035_chapeau3050,1,Adeline,10,0.07153137085854187,iter-A
au revoir3034,au revoir3035,Adeline_10,au revoir3034_au revoir3035,2.764054992217051,Adeline,10,0.19771664272168193,iter-A
coucou2603,au revoir3035,Adeline_10,au revoir3035_coucou2603,6.6707267566050845,Adeline,10,0.4771662295227165,iter-A
chapeau3046,au revoir3035,Adeline_10,au revoir3035_chapeau3046,2.692582403567252,Adeline,10,0.19260411047675313,iter-A
coucou2607,au revoir3035,Adeline_10,au revoir3035_coucou2607,6.6707267566050845,Adeline,10,0.4771662295227165,iter-A
bisou3040,au revoir3035,Adeline_10,au revoir3035_bisou3040,2.692582403567252,Adeline,10,0.19260411047675313,iter-A
encore3058,au revoir3035,Adeline_10,au revoir3035_encore3058,3.3541019662496847,Adeline,10,0.23992351164517067,iter-A
encore3065,au revoir3035,Adeline_10,au revoir3035_encore3065,6.47890245052378,Adeline,10,0.4634447739447322,iter-A
chapeau3044,au revoir3035,Adeline_10,au revoir3035_chapeau3044,2.692582403567252,Adeline,10,0.19260411047675313,iter-A
papa2614,au revoir3035,Adeline_10,au revoir3035_papa2614,5.692582403567252,Adeline,10,0.4071982230523788,iter-A
papa3135,au revoir3035,Adeline_10,au revoir3035_papa3135,5.692582403567252,Adeline,10,0.4071982230523788,iter-A
coucou2608,au revoir3035,Adeline_10,au revoir3035_coucou2608,6.6707267566050845,Adeline,10,0.4771662295227165,iter-A
chapeau3045,au revoir3035,Adeline_10,au revoir3035_chapeau3045,2.692582403567252,Adeline,10,0.19260411047675313,iter-A
dodo2610,au revoir3035,Adeline_10,au revoir3035_dodo2610,6.009207193922652,Adeline,10,0.42984682835429894,iter-A
encore3054,au revoir3035,Adeline_10,au revoir3035_encore3054,3.3541019662496847,Adeline,10,0.23992351164517067,iter-A
au revoir3035,bisou3038,Adeline_10,au revoir3035_bisou3038,2.5,Adeline,10,0.17882842714635466,iter-A
bobo3131,encore3059,Adeline_100,bobo3131_encore3059,6.14505191510159,Adeline,100,0.43956398748412473,iter-A
au revoir3031,encore3059,Adeline_100,au revoir3031_encore3059,3.3541019662496847,Adeline,100,0.23992351164517067,iter-A
papa2614,encore3059,Adeline_100,encore3059_papa2614,6.16227766016838,Adeline,100,0.440796168642812,iter-A
chapeau3044,encore3059,Adeline_100,chapeau3044_encore3059,3.1622776601683795,Adeline,100,0.22620205606718638,iter-A
coucou2607,encore3059,Adeline_100,coucou2607_encore3059,3.3166247903554,Adeline,100,0.23724271787754578,iter-A
encore1956,encore3059,Adeline_100,encore1956_encore3059,6.6332495807108,Adeline,100,0.47448543575509156,iter-A
encore3057,encore3059,Adeline_100,encore3057_encore3059,0,Adeline,100,0,iter-A
coucou2605,encore3059,Adeline_100,coucou2605_encore3059,3.3166247903554,Adeline,100,0.23724271787754578,iter-A
encore3056,encore3059,Adeline_100,encore3056_encore3059,0,Adeline,100,0,iter-A
encore3061,encore3059,Adeline_100,encore3059_encore3061,0,Adeline,100,0,iter-A
bisou3039,encore3059,Adeline_100,bisou3039_encore3059,3,Adeline,100,0.2145941125756256,iter-A
encore3063,encore3059,Adeline_100,encore3059_encore3063,0,Adeline,100,0,iter-A
bobo3130,encore3059,Adeline_100,bobo3130_encore3059,6.733551962699517,Adeline,100,0.4816602026391216,iter-A
encore3058,encore3059,Adeline_100,encore3058_encore3059,0,Adeline,100,0,iter-A
papa3135,encore3059,Adeline_100,encore3059_papa3135,6.16227766016838,Adeline,100,0.440796168642812,iter-A
vachou3068,encore3059,Adeline_100,encore3059_vachou3068,2.0615528128088303,Adeline,100,0.14746569879749857,iter-A
chapeau3048,encore3059,Adeline_100,chapeau3048_encore3059,3.1622776601683795,Adeline,100,0.22620205606718638,iter-A
coucou2603,encore3059,Adeline_100,coucou2603_encore3059,3.3166247903554,Adeline,100,0.23724271787754578,iter-A
maman2612,encore3059,Adeline_100,encore3059_maman2612,7.11788726606417,Adeline,100,0.5091522337581288,iter-A
encore3059,bobo3131,Adeline_100,bobo3131_encore3059,6.14505191510159,Adeline,100,0.43956398748412473,iter-A
encore3059,chapeau3044,Adeline_11,chapeau3044_encore3059,3.1622776601683795,Adeline,11,0.22620205606718638,iter-A
bisou3041,chapeau3044,Adeline_11,bisou3041_chapeau3044,3.1622776601683795,Adeline,11,0.22620205606718638,iter-A
au revoir3034,chapeau3044,Adeline_11,au revoir3034_chapeau3044,5.456637395784303,Adeline,11,0.39032075319843507,iter-A
