Speaker_ID,Speaker,ID,path_length,mean_k,clust_coef_global,Language,data_type
Adeline_1,Adeline,1,0.11670184179263395,11.5,0.6086956521739131,French,iter_A
Adeline_10,Adeline,10,0.1433675518934745,12.6,0.6816524908869988,French,iter_A
Adeline_100,Adeline,100,0.14304224466449772,12.1,0.7672634271099744,French,iter_A
Adeline_11,Adeline,11,0.17744594276648673,12.9,0.7394366197183099,French,iter_A
Adeline_12,Adeline,12,0.15381603634555066,13.5,0.7741416309012875,French,iter_A
Adeline_13,Adeline,13,0.17533976207185764,13.8,0.7638668779714739,French,iter_A
Adeline_14,Adeline,14,0.15209874226785242,13,0.7426086956521739,French,iter_A
Adeline_15,Adeline,15,0.14618017128330413,14.6,0.7775656324582338,French,iter_A
Adeline_16,Adeline,16,0.13729090053752374,13.7,0.7069243156199678,French,iter_A
Adeline_17,Adeline,17,0.16048967148647486,13.3,0.742873113471213,French,iter_A
Adeline_18,Adeline,18,0.19698229289118468,11.6,0.6870064608758076,French,iter_A
Adeline_19,Adeline,19,0.16657608239512448,10.8,0.6209415584415584,French,iter_A
Adeline_2,Adeline,2,0.1430079385441153,13.1,0.7969798657718121,French,iter_A
Adeline_20,Adeline,20,0.2026274788408651,11.3,0.6861584011843079,French,iter_A
Adeline_21,Adeline,21,0.18048747868074957,13,0.7022809123649459,French,iter_A
Adeline_22,Adeline,22,0.16764490248941377,14.3,0.7851445663010967,French,iter_A
Adeline_23,Adeline,23,0.13734149282852068,13,0.7373737373737373,French,iter_A
Adeline_24,Adeline,24,0.14298679762360178,13.2,0.8116494284158955,French,iter_A
Adeline_25,Adeline,25,0.13406882596158456,12.6,0.691747572815534,French,iter_A
Adeline_26,Adeline,26,0.18754698629817299,12.8,0.7526881720430108,French,iter_A
Adeline_27,Adeline,27,0.1374089661069009,13.9,0.7456828885400314,French,iter_A
Adeline_28,Adeline,28,0.14534727525558883,13.5,0.701917808219178,French,iter_A
Adeline_29,Adeline,29,0.14075618523401398,12.6,0.7149014778325123,French,iter_A
Adeline_3,Adeline,3,0.1653840593488489,11.8,0.6876267748478702,French,iter_A
Adeline_30,Adeline,30,0.14604939997369432,14.9,0.7991746905089409,French,iter_A
Adeline_31,Adeline,31,0.16583000761516967,14.4,0.780295566502463,French,iter_A
Adeline_32,Adeline,32,0.14166936409820372,10.6,0.6171564733915806,French,iter_A
Adeline_33,Adeline,33,0.19490074796804688,12.7,0.7717917675544794,French,iter_A
Adeline_34,Adeline,34,0.17935974462360663,12.4,0.7029126213592233,French,iter_A
Adeline_35,Adeline,35,0.17327094096126244,13.3,0.7085941946499715,French,iter_A
Adeline_36,Adeline,36,0.11742693953168395,13,0.7788944723618091,French,iter_A
Adeline_37,Adeline,37,0.12945964981902966,12.1,0.62890625,French,iter_A
Adeline_38,Adeline,38,0.17691308675670978,12.6,0.8204518430439952,French,iter_A
Adeline_39,Adeline,39,0.14879262255731554,14.7,0.797271872060207,French,iter_A
Adeline_4,Adeline,4,0.13777363526930012,12.4,0.6760828625235404,French,iter_A
Adeline_40,Adeline,40,0.17802105485575215,12.4,0.7147395171537484,French,iter_A
Adeline_41,Adeline,41,0.14298751269481766,14,0.7342226782965623,French,iter_A
Adeline_42,Adeline,42,0.15930309847995391,11.4,0.6744186046511628,French,iter_A
Adeline_43,Adeline,43,0.1806953867859347,13.8,0.7702060221870047,French,iter_A
Adeline_44,Adeline,44,0.14029802169635655,12.9,0.6682380671773719,French,iter_A
Adeline_45,Adeline,45,0.13832377642533536,14.1,0.7507583417593529,French,iter_A
Adeline_46,Adeline,46,0.11431718846065861,13.7,0.8001043841336117,French,iter_A
Adeline_47,Adeline,47,0.1439491255983885,13,0.7359454855195912,French,iter_A
Adeline_48,Adeline,48,0.10860598591047693,12.7,0.6972690296339338,French,iter_A
Adeline_49,Adeline,49,0.12322732399661186,11.6,0.6074124914207275,French,iter_A
Adeline_5,Adeline,5,0.11928676171312853,14.5,0.7809976247030879,French,iter_A
Adeline_50,Adeline,50,0.17617232257306564,13.4,0.7504187604690117,French,iter_A
Adeline_51,Adeline,51,0.11130474417524826,10.4,0.6498800959232613,French,iter_A
Adeline_52,Adeline,52,0.1531857683697686,13.8,0.7774343122102009,French,iter_A
Adeline_53,Adeline,53,0.17311338723266123,13,0.7569284064665127,French,iter_A
Adeline_54,Adeline,54,0.1559426618746351,12.9,0.7132743362831858,French,iter_A
Adeline_55,Adeline,55,0.13493681252404155,14.2,0.7820324005891016,French,iter_A
Adeline_56,Adeline,56,0.1306215113430392,14.9,0.7915712322491983,French,iter_A
Adeline_57,Adeline,57,0.1367667428186046,10.7,0.6046692607003891,French,iter_A
Adeline_58,Adeline,58,0.16129327498549365,13.5,0.7916666666666666,French,iter_A
