Speaker_ID,Speaker,ID,path_length,mean_k,clust_coef_global,Language,data_type
Adeline_1,Adeline,1,0.3526932443569248,1.4,0,French,iter
Adeline_10,Adeline,10,0.21619724740757995,0.5,0,French,iter
Adeline_100,Adeline,100,0.3535054825121943,1.8,0,French,iter
Adeline_11,Adeline,11,0.35158032894245783,1.6,0,French,iter
Adeline_12,Adeline,12,0.27907159819659555,1.6,0,French,iter
Adeline_14,Adeline,14,0.3231060712055414,1.5,0,French,iter
Adeline_15,Adeline,15,0.33404094102692294,1.5,0,French,iter
Adeline_16,Adeline,16,0.2348918548728732,1.7,0,French,iter
Adeline_17,Adeline,17,0.2593974903561057,1.2,0,French,iter
Adeline_18,Adeline,18,0.24708256846580565,0.6,0,French,iter
Adeline_19,Adeline,19,0.15934755957370417,0.2,0,French,iter
Adeline_2,Adeline,2,0.3459155958521278,0.9,0,French,iter
Adeline_20,Adeline,20,0.2469304172278956,1.7,0,French,iter
Adeline_21,Adeline,21,0.34133591098639043,1.6,0,French,iter
Adeline_22,Adeline,22,0.10809862370378998,0.7,0,French,iter
Adeline_23,Adeline,23,0.2661583023129861,1.7,0,French,iter
Adeline_24,Adeline,24,0.20357717016884333,1.5,0,French,iter
Adeline_25,Adeline,25,0.32624671350907486,1.8,0,French,iter
Adeline_26,Adeline,26,0.24595923469683026,1.7,0,French,iter
Adeline_27,Adeline,27,0.34969776169824246,0.3,0,French,iter
Adeline_28,Adeline,28,0.29140856189835046,0.5,0,French,iter
Adeline_29,Adeline,29,0.21686921049695324,1.5,0,French,iter
Adeline_3,Adeline,3,0.3417953579527732,0.4,0,French,iter
Adeline_30,Adeline,30,0.26555182870673927,1.2,0,French,iter
Adeline_31,Adeline,31,0.2731666296492187,1.7,0,French,iter
Adeline_32,Adeline,32,0.25423058298916734,1.6,0,French,iter
Adeline_33,Adeline,33,0.33056160740945284,1.7,0,French,iter
Adeline_34,Adeline,34,0.26740451683241084,1.5,0,French,iter
Adeline_35,Adeline,35,0.3586937112677902,1.7,0,French,iter
Adeline_36,Adeline,36,0.2993412132809597,1.7,0,French,iter
Adeline_37,Adeline,37,0.35500376590797256,1.4,0,French,iter
Adeline_38,Adeline,38,0.33798369808715095,1.5,0,French,iter
Adeline_39,Adeline,39,0.2976194571310544,1.4,0,French,iter
Adeline_4,Adeline,4,0.2956349546860425,1.4,0,French,iter
Adeline_40,Adeline,40,0.27572226569623315,1.6,0,French,iter
Adeline_41,Adeline,41,0.2180490576793051,1.8,0,French,iter
Adeline_42,Adeline,42,0.21619724740757995,0.7,0,French,iter
Adeline_43,Adeline,43,0.2707871731648765,1.4,0,French,iter
Adeline_44,Adeline,44,0.24432788831639846,1.7,0,French,iter
Adeline_45,Adeline,45,0.23761431188524987,1.2,0,French,iter
Adeline_46,Adeline,46,0.3826059999636192,1.4,0,French,iter
Adeline_47,Adeline,47,0.3846389610207994,1.6,0,French,iter
Adeline_48,Adeline,48,0.3394473706907718,1.3,0,French,iter
Adeline_49,Adeline,49,0.33246036726743255,1.4,0,French,iter
Adeline_5,Adeline,5,0.3302070607568644,1.5,0,French,iter
Adeline_50,Adeline,50,0.28826299654343995,0.5,0,French,iter
Adeline_51,Adeline,51,0.2502890954990662,1.7,0,French,iter
Adeline_52,Adeline,52,0.28973177546923123,1.6,0,French,iter
Adeline_53,Adeline,53,0.2572157468230015,1.2,0,French,iter
Adeline_54,Adeline,54,0.25334289576764846,1.6,0,French,iter
Adeline_55,Adeline,55,0.2810096898145856,1.6,0,French,iter
