Speaker,gloss1,data_type,degree,threshold
Adeline,au revoir1468,target,1,0.25
Adeline,au revoir1469,target,1,0.25
Adeline,au revoir1470,target,1,0.25
Adeline,au revoir1471,target,1,0.25
Adeline,au revoir1472,target,1,0.25
Adeline,au revoir1473,target,1,0.25
Adeline,au revoir1474,target,1,0.25
Adeline,au revoir1475,target,1,0.25
Adeline,au revoir3031,actual,8,0.25
Adeline,au revoir3032,actual,8,0.25
Adeline,au revoir3033,actual,9,0.25
Adeline,au revoir3034,actual,2,0.25
Adeline,au revoir3035,actual,8,0.25
Adeline,au revoir3036,actual,9,0.25
Adeline,au revoir3037,actual,8,0.25
Adeline,bisou3038,actual,9,0.25
Adeline,bisou3039,actual,9,0.25
Adeline,bisou3040,actual,9,0.25
Adeline,bisou3041,actual,9,0.25
Adeline,bisou3042,actual,9,0.25
Adeline,bisou994,target,1,0.25
Adeline,bisou995,target,1,0.25
Adeline,bisou996,target,1,0.25
Adeline,bisou997,target,1,0.25
Adeline,bisou998,target,1,0.25
Adeline,bobo1000,target,2,0.25
Adeline,bobo1001,target,2,0.25
Adeline,bobo3130,actual,2,0.25
Adeline,bobo3131,actual,5,0.25
Adeline,bobo3132,actual,5,0.25
Adeline,bobo999,target,2,0.25
Adeline,chapeau1002,target,1,0.25
Adeline,chapeau1003,target,1,0.25
Adeline,chapeau1004,target,1,0.25
Adeline,chapeau1005,target,1,0.25
Adeline,chapeau1006,target,1,0.25
Adeline,chapeau1007,target,1,0.25
Adeline,chapeau1008,target,1,0.25
Adeline,chapeau1009,target,1,0.25
Adeline,chapeau1010,target,1,0.25
Adeline,chapeau3043,actual,9,0.25
Adeline,chapeau3044,actual,9,0.25
Adeline,chapeau3045,actual,9,0.25
Adeline,chapeau3046,actual,9,0.25
Adeline,chapeau3047,actual,9,0.25
Adeline,chapeau3048,actual,9,0.25
Adeline,chapeau3049,actual,7,0.25
Adeline,chapeau3050,actual,7,0.25
Adeline,chapeau3051,actual,9,0.25
Adeline,coucou1011,target,1,0.25
Adeline,coucou1012,target,1,0.25
Adeline,coucou1013,target,1,0.25
Adeline,coucou1014,target,1,0.25
Adeline,coucou1015,target,1,0.25
Adeline,coucou1016,target,1,0.25
Adeline,coucou1017,target,1,0.25
Adeline,coucou1018,target,1,0.25
Adeline,coucou1019,target,1,0.25
Adeline,coucou1020,target,1,0.25
Adeline,coucou2603,actual,3,0.25
Adeline,coucou2604,actual,3,0.25
Adeline,coucou2605,actual,3,0.25
Adeline,coucou2606,actual,3,0.25
Adeline,coucou2607,actual,3,0.25
Adeline,coucou2608,actual,3,0.25
Adeline,coucou2609,actual,2,0.25
Adeline,coucou3052,actual,8,0.25
Adeline,dodo2610,actual,1,0.25
Adeline,encore1326,target,1,0.25
Adeline,encore1327,target,1,0.25
Adeline,encore1328,target,1,0.25
Adeline,encore1329,target,1,0.25
Adeline,encore1330,target,1,0.25
Adeline,encore1331,target,1,0.25
Adeline,encore1332,target,1,0.25
Adeline,encore1333,target,1,0.25
Adeline,encore1334,target,1,0.25
Adeline,encore1335,target,1,0.25
Adeline,encore1336,target,1,0.25
Adeline,encore1337,target,1,0.25
Adeline,encore1338,target,1,0.25
Adeline,encore1339,target,1,0.25
Adeline,encore1956,actual,2,0.25
Adeline,encore3053,actual,8,0.25
Adeline,encore3054,actual,8,0.25
Adeline,encore3055,actual,8,0.25
Adeline,encore3056,actual,8,0.25
Adeline,encore3057,actual,8,0.25
Adeline,encore3058,actual,8,0.25
Adeline,encore3059,actual,8,0.25
Adeline,encore3060,actual,8,0.25
Adeline,encore3061,actual,8,0.25
Adeline,encore3062,actual,8,0.25
Adeline,encore3063,actual,8,0.25
Adeline,encore3064,actual,8,0.25
Adeline,encore3065,actual,1,0.25
Adeline,maman1022,target,1,0.25
Adeline,maman1023,target,1,0.25
Adeline,maman1024,target,1,0.25
Adeline,maman2611,actual,1,0.25
Adeline,maman2612,actual,1,0.25
Adeline,maman2613,actual,1,0.25
Adeline,oiseau3066,actual,1,0.25
Adeline,papa1026,target,2,0.25
Adeline,papa1027,target,2,0.25
Adeline,papa1028,target,2,0.25
Adeline,papa2614,actual,2,0.25
Adeline,papa2615,actual,2,0.25
Adeline,papa3135,actual,3,0.25
Adeline,parti3067,actual,9,0.25
Adeline,vachou3068,actual,8,0.25
Adeline,voilà1031,target,1,0.25
Adeline,voilà1032,target,1,0.25
Adeline,voilà2616,actual,1,0.25
Adeline,voilà3069,actual,7,0.25
Adeline,voiture1033,target,1,0.25
Adeline,voiture1034,target,1,0.25
Adeline,voiture3070,actual,9,0.25
Adeline,voiture3071,actual,9,0.25
Afan,AUNTI1246,target,3,0.25
Afan,AUNTI1247,target,3,0.25
Afan,AUNTI2942,actual,3,0.25
Afan,AUNTI3556,actual,1,0.25
Afan,Bazil2382,actual,3,0.25
Afan,Bazil3358,actual,2,0.25
Afan,Bazil596,target,1,0.25
Afan,Bazil597,target,1,0.25
Afan,DOGGY BT2387,actual,1,0.25
Afan,DOGGY BT607,target,2,0.25
Afan,Durrain3359,actual,3,0.25
Afan,Durrain3360,actual,3,0.25
Afan,Durrain602,target,1,0.25
Afan,Durrain603,target,1,0.25
Afan,JUICE do3366,actual,1,0.25
Afan,Rabia2390,actual,2,0.25
Afan,UNCLE1253,target,1,0.25
Afan,UNCLE1254,target,1,0.25
Afan,UNCLE1255,target,1,0.25
Afan,UNCLE1256,target,1,0.25
Afan,UNCLE1257,target,1,0.25
Afan,UNCLE1258,target,1,0.25
Afan,UNCLE1259,target,1,0.25
Afan,UNCLE2945,actual,4,0.25
Afan,UNCLE2946,actual,1,0.25
Afan,UNCLE2947,actual,4,0.25
Afan,UNCLE2948,actual,4,0.25
Afan,UNCLE2949,actual,4,0.25
Afan,UNCLE2950,actual,4,0.25
Afan,UNCLE2951,actual,4,0.25
Afan,ajao1245,target,1,0.25
Afan,ajao2692,actual,5,0.25
Afan,anda1251,target,3,0.25
Afan,anda1252,target,3,0.25
Afan,anda2943,actual,3,0.25
Afan,anda2944,actual,3,0.25
Afan,baba2693,actual,5,0.25
Afan,baba2694,actual,5,0.25
Afan,baba2695,actual,5,0.25
Afan,baba2696,actual,5,0.25
Afan,baba2697,actual,5,0.25
Afan,baba2698,actual,5,0.25
Afan,baba3357,actual,1,0.25
Afan,baba582,target,1,0.25
Afan,baba583,target,1,0.25
Afan,baba584,target,1,0.25
Afan,baba585,target,1,0.25
Afan,baba586,target,1,0.25
Afan,baba587,target,1,0.25
Afan,baba588,target,1,0.25
Afan,bhow bhow2383,actual,3,0.25
Afan,bhow bhow598,target,1,0.25
Afan,chacha2389,actual,2,0.25
Afan,chunti2384,actual,2,0.25
Afan,chunti2385,actual,2,0.25
Afan,chunti2386,actual,2,0.25
Afan,chunti599,target,1,0.25
Afan,chunti600,target,1,0.25
Afan,chunti601,target,1,0.25
