Speaker_ID,gloss1,data_type,degree,threshold
Adeline_1,encore1956,iter-A,1,0.25
Adeline_10,au revoir3034,iter-A,1,0.25
Adeline_10,au revoir3035,iter-A,1,0.25
Adeline_10,bisou3038,iter-A,1,0.25
Adeline_10,bisou3040,iter-A,1,0.25
Adeline_10,chapeau3044,iter-A,1,0.25
Adeline_10,chapeau3045,iter-A,1,0.25
Adeline_10,chapeau3046,iter-A,1,0.25
Adeline_10,chapeau3050,iter-A,1,0.25
Adeline_10,encore3053,iter-A,1,0.25
Adeline_10,encore3054,iter-A,1,0.25
Adeline_10,encore3058,iter-A,1,0.25
Adeline_10,vachou3068,iter-A,1,0.25
Adeline_100,au revoir3031,iter-A,1,0.25
Adeline_100,bisou3039,iter-A,1,0.25
Adeline_100,chapeau3044,iter-A,1,0.25
Adeline_100,chapeau3048,iter-A,1,0.25
Adeline_100,coucou2603,iter-A,1,0.25
Adeline_100,coucou2605,iter-A,1,0.25
Adeline_100,coucou2607,iter-A,1,0.25
Adeline_100,encore3056,iter-A,1,0.25
Adeline_100,encore3057,iter-A,1,0.25
Adeline_100,encore3058,iter-A,1,0.25
Adeline_100,encore3061,iter-A,1,0.25
Adeline_100,encore3063,iter-A,1,0.25
Adeline_100,vachou3068,iter-A,1,0.25
Adeline_11,au revoir3037,iter-A,1,0.25
Adeline_11,bisou3038,iter-A,1,0.25
Adeline_11,bisou3041,iter-A,1,0.25
Adeline_11,chapeau3044,iter-A,1,0.25
Adeline_11,chapeau3045,iter-A,1,0.25
Adeline_11,chapeau3046,iter-A,1,0.25
Adeline_11,chapeau3048,iter-A,1,0.25
Adeline_11,encore3053,iter-A,1,0.25
Adeline_11,encore3056,iter-A,1,0.25
Adeline_11,encore3059,iter-A,1,0.25
Adeline_11,encore3064,iter-A,1,0.25
Adeline_11,papa2614,iter-A,1,0.25
Adeline_11,voiture3070,iter-A,1,0.25
Adeline_12,au revoir3031,iter-A,1,0.25
Adeline_12,au revoir3035,iter-A,1,0.25
Adeline_12,au revoir3036,iter-A,1,0.25
Adeline_12,au revoir3037,iter-A,1,0.25
Adeline_12,chapeau3043,iter-A,1,0.25
Adeline_12,chapeau3045,iter-A,1,0.25
Adeline_12,chapeau3047,iter-A,1,0.25
Adeline_12,chapeau3051,iter-A,1,0.25
Adeline_12,encore3056,iter-A,1,0.25
Adeline_12,encore3058,iter-A,1,0.25
Adeline_12,encore3062,iter-A,1,0.25
Adeline_12,papa3135,iter-A,1,0.25
Adeline_12,vachou3068,iter-A,1,0.25
Adeline_12,voiture3071,iter-A,1,0.25
Adeline_14,au revoir3031,iter-A,1,0.25
Adeline_14,au revoir3032,iter-A,1,0.25
Adeline_14,bisou3038,iter-A,1,0.25
Adeline_14,bisou3039,iter-A,1,0.25
Adeline_14,vachou3068,iter-A,1,0.25
Adeline_14,voilà2616,iter-A,1,0.25
Adeline_15,coucou2606,iter-A,1,0.25
Adeline_15,encore3060,iter-A,1,0.25
Adeline_15,encore3062,iter-A,1,0.25
Adeline_16,au revoir3035,iter-A,1,0.25
Adeline_16,au revoir3036,iter-A,1,0.25
Adeline_16,bisou3038,iter-A,1,0.25
Adeline_16,chapeau3043,iter-A,1,0.25
Adeline_16,chapeau3044,iter-A,1,0.25
Adeline_16,chapeau3045,iter-A,1,0.25
Adeline_16,chapeau3046,iter-A,1,0.25
Adeline_16,coucou3052,iter-A,1,0.25
Adeline_16,encore3053,iter-A,1,0.25
Adeline_16,encore3059,iter-A,1,0.25
Adeline_16,encore3062,iter-A,1,0.25
Adeline_16,papa3135,iter-A,1,0.25
Adeline_16,vachou3068,iter-A,1,0.25
Adeline_16,voiture3071,iter-A,1,0.25
Adeline_18,au revoir3033,iter-A,1,0.25
Adeline_18,chapeau3043,iter-A,1,0.25
Adeline_18,chapeau3047,iter-A,1,0.25
Adeline_18,papa2615,iter-A,1,0.25
Adeline_19,coucou2604,iter-A,1,0.25
Adeline_19,coucou2605,iter-A,1,0.25
Adeline_19,coucou2609,iter-A,1,0.25
Adeline_19,coucou3052,iter-A,1,0.25
Adeline_19,encore1956,iter-A,1,0.25
Adeline_19,encore3055,iter-A,1,0.25
Adeline_19,encore3057,iter-A,1,0.25
Adeline_19,encore3060,iter-A,1,0.25
Adeline_19,encore3062,iter-A,1,0.25
Adeline_2,au revoir3032,iter-A,1,0.25
Adeline_2,au revoir3034,iter-A,1,0.25
Adeline_2,au revoir3037,iter-A,1,0.25
Adeline_2,bisou3038,iter-A,1,0.25
Adeline_2,bisou3042,iter-A,1,0.25
Adeline_2,chapeau3045,iter-A,1,0.25
Adeline_2,chapeau3046,iter-A,1,0.25
Adeline_2,chapeau3051,iter-A,1,0.25
Adeline_2,coucou3052,iter-A,1,0.25
Adeline_2,encore3054,iter-A,1,0.25
Adeline_2,encore3056,iter-A,1,0.25
Adeline_2,encore3061,iter-A,1,0.25
Adeline_2,encore3063,iter-A,1,0.25
Adeline_2,encore3064,iter-A,1,0.25
Adeline_21,au revoir3031,iter-A,1,0.25
Adeline_21,au revoir3033,iter-A,1,0.25
Adeline_21,au revoir3036,iter-A,1,0.25
Adeline_21,bisou3040,iter-A,1,0.25
Adeline_21,bisou3041,iter-A,1,0.25
Adeline_21,bisou3042,iter-A,1,0.25
Adeline_21,chapeau3043,iter-A,1,0.25
Adeline_21,chapeau3044,iter-A,1,0.25
Adeline_21,chapeau3049,iter-A,1,0.25
Adeline_21,chapeau3050,iter-A,1,0.25
Adeline_21,coucou2603,iter-A,1,0.25
Adeline_21,coucou2605,iter-A,1,0.25
Adeline_21,encore3060,iter-A,1,0.25
Adeline_21,encore3061,iter-A,1,0.25
Adeline_21,voiture3070,iter-A,1,0.25
Adeline_22,bobo3131,iter-A,1,0.25
Adeline_22,chapeau3049,iter-A,1,0.25
Adeline_23,bobo3132,iter-A,1,0.25
Adeline_23,chapeau3045,iter-A,1,0.25
Adeline_23,papa3135,iter-A,1,0.25
Adeline_24,au revoir3032,iter-A,1,0.25
Adeline_24,au revoir3035,iter-A,1,0.25
Adeline_24,bisou3039,iter-A,1,0.25
Adeline_24,chapeau3043,iter-A,1,0.25
Adeline_24,chapeau3044,iter-A,1,0.25
Adeline_24,chapeau3046,iter-A,1,0.25
Adeline_24,chapeau3049,iter-A,1,0.25
Adeline_24,chapeau3051,iter-A,1,0.25
Adeline_24,coucou2606,iter-A,1,0.25
Adeline_24,coucou2608,iter-A,1,0.25
Adeline_24,encore3056,iter-A,1,0.25
Adeline_24,encore3057,iter-A,1,0.25
Adeline_24,encore3058,iter-A,1,0.25
Adeline_24,encore3059,iter-A,1,0.25
Adeline_24,encore3062,iter-A,1,0.25
Adeline_25,au revoir3033,iter-A,1,0.25
Adeline_25,bisou3038,iter-A,1,0.25
Adeline_25,bisou3039,iter-A,1,0.25
Adeline_25,chapeau3046,iter-A,1,0.25
Adeline_25,chapeau3047,iter-A,1,0.25
Adeline_25,coucou2604,iter-A,1,0.25
Adeline_25,coucou2606,iter-A,1,0.25
Adeline_25,encore3056,iter-A,1,0.25
Adeline_25,encore3059,iter-A,1,0.25
Adeline_25,voiture3071,iter-A,1,0.25
Adeline_26,au revoir3031,iter-A,1,0.25
Adeline_26,au revoir3036,iter-A,1,0.25
Adeline_26,bisou3042,iter-A,1,0.25
Adeline_26,chapeau3046,iter-A,1,0.25
Adeline_26,chapeau3048,iter-A,1,0.25
Adeline_26,chapeau3049,iter-A,1,0.25
Adeline_26,chapeau3051,iter-A,1,0.25
Adeline_26,coucou3052,iter-A,1,0.25
Adeline_26,encore3054,iter-A,1,0.25
Adeline_26,encore3059,iter-A,1,0.25
Adeline_26,encore3060,iter-A,1,0.25
Adeline_26,encore3062,iter-A,1,0.25
Adeline_26,parti3067,iter-A,1,0.25
Adeline_26,voiture3070,iter-A,1,0.25
Adeline_27,au revoir3036,iter-A,1,0.25
Adeline_27,bisou3039,iter-A,1,0.25
Adeline_27,bisou3041,iter-A,1,0.25
Adeline_27,chapeau3043,iter-A,1,0.25
Adeline_27,chapeau3044,iter-A,1,0.25
Adeline_27,chapeau3045,iter-A,1,0.25
Adeline_27,chapeau3047,iter-A,1,0.25
Adeline_27,coucou2607,iter-A,1,0.25
Adeline_27,coucou2608,iter-A,1,0.25
Adeline_27,encore3055,iter-A,1,0.25
Adeline_27,encore3060,iter-A,1,0.25
Adeline_27,encore3062,iter-A,1,0.25
Adeline_27,encore3064,iter-A,1,0.25
Adeline_27,vachou3068,iter-A,1,0.25
Adeline_28,au revoir3031,iter-A,1,0.25
Adeline_28,au revoir3033,iter-A,1,0.25
Adeline_28,au revoir3035,iter-A,1,0.25
Adeline_28,bisou3038,iter-A,1,0.25
Adeline_28,bisou3039,iter-A,1,0.25
