Speaker_ID,gloss1,data_type,degree,threshold
Adeline_1,au revoir1956,iter_A,3,0.25
Adeline_1,au revoir3038,iter_A,11,0.25
Adeline_1,au revoir3040,iter_A,10,0.25
Adeline_1,au revoir3044,iter_A,11,0.25
Adeline_1,bisou3049,iter_A,11,0.25
Adeline_1,chapeau3056,iter_A,9,0.25
Adeline_1,chapeau3057,iter_A,9,0.25
Adeline_1,chapeau3058,iter_A,10,0.25
Adeline_1,coucou2605,iter_A,9,0.25
Adeline_1,coucou2606,iter_A,9,0.25
Adeline_1,coucou2611,iter_A,8,0.25
Adeline_1,encore3062,iter_A,10,0.25
Adeline_1,encore3064,iter_A,10,0.25
Adeline_1,encore3065,iter_A,10,0.25
Adeline_1,encore3066,iter_A,10,0.25
Adeline_1,encore3072,iter_A,7,0.25
Adeline_1,maman2613,iter_A,7,0.25
Adeline_1,vachou3075,iter_A,10,0.25
Adeline_1,voiture3077,iter_A,11,0.25
Adeline_1,voiture3078,iter_A,11,0.25
Adeline_10,au revoir3040,iter_A,10,0.25
Adeline_10,bisou3046,iter_A,10,0.25
Adeline_10,bisou3049,iter_A,10,0.25
Adeline_10,bobo3137,iter_A,10,0.25
Adeline_10,bobo3138,iter_A,10,0.25
Adeline_10,bobo3139,iter_A,10,0.25
Adeline_10,coucou2605,iter_A,9,0.25
Adeline_10,coucou2609,iter_A,9,0.25
Adeline_10,coucou3059,iter_A,12,0.25
Adeline_10,encore3061,iter_A,12,0.25
Adeline_10,encore3068,iter_A,12,0.25
Adeline_10,encore3069,iter_A,12,0.25
Adeline_10,encore3070,iter_A,12,0.25
Adeline_10,maman2615,iter_A,7,0.25
Adeline_10,oiseau3073,iter_A,6,0.25
Adeline_10,papa2617,iter_A,9,0.25
Adeline_10,papa3142,iter_A,8,0.25
Adeline_10,vachou3075,iter_A,10,0.25
Adeline_10,voilà3076,iter_A,11,0.25
Adeline_100,au revoir3038,iter_A,12,0.25
Adeline_100,au revoir3040,iter_A,12,0.25
Adeline_100,au revoir3042,iter_A,12,0.25
Adeline_100,au revoir3044,iter_A,12,0.25
Adeline_100,bisou3045,iter_A,13,0.25
Adeline_100,bisou3046,iter_A,13,0.25
Adeline_100,bobo3137,iter_A,9,0.25
