"croco2456" "Tonton2469" "croco2457" "Pin pon2465" "Popi2467" "Papa2464" "Nana2461" "Corinne2454" "Maman2460" "plus grand2459" "Papa2462" "croco3118" "Papa2463" "croco2458" "Boubou2453" "les deux2978" "Boubou2452" "Pin pon3119" "Tonton2468" "Boubou2451"
"croco2456" 0 0 0 6.32455532033676 5.99070478491457 6.32455532033676 8.48528137423857 8.77200187265877 8.94427190999916 6.80233260480864 6.32455532033676 6.6332495807108 6.32455532033676 0 6.6332495807108 6.3166247903554 6.6332495807108 9.47890245052378 0 6.6332495807108
"Tonton2469" 0 0 0 6.32455532033676 5.99070478491457 6.32455532033676 8.48528137423857 8.77200187265877 8.94427190999916 6.80233260480864 6.32455532033676 6.6332495807108 6.32455532033676 0 6.6332495807108 6.3166247903554 6.6332495807108 9.47890245052378 0 6.6332495807108
"croco2457" 0 0 0 6.32455532033676 5.99070478491457 6.32455532033676 8.48528137423857 8.77200187265877 8.94427190999916 6.80233260480864 6.32455532033676 6.6332495807108 6.32455532033676 0 6.6332495807108 6.3166247903554 6.6332495807108 9.47890245052378 0 6.6332495807108
"Pin pon2465" 6.32455532033676 6.32455532033676 6.32455532033676 0 3.16227766016838 0 8.94427190999916 9.2169905660283 6.32455532033676 4.15331193145904 0 6 0 6.32455532033676 2 6.3166247903554 2 6 6.32455532033676 2
"Popi2467" 5.99070478491457 5.99070478491457 5.99070478491457 3.16227766016838 0 3.16227766016838 7.63441361516796 7.91855268474473 7.63441361516796 4.15331193145904 3.16227766016838 6.3166247903554 3.16227766016838 5.99070478491457 4.3166247903554 4 4.3166247903554 9.16227766016838 5.99070478491457 4.3166247903554
"Papa2464" 6.32455532033676 6.32455532033676 6.32455532033676 0 3.16227766016838 0 8.94427190999916 9.2169905660283 6.32455532033676 4.15331193145904 0 6 0 6.32455532033676 2 6.3166247903554 2 6 6.32455532033676 2
"Nana2461" 8.48528137423857 8.48528137423857 8.48528137423857 8.94427190999916 7.63441361516796 8.94427190999916 0 4.58257569495584 6.32455532033676 8.24705317263495 8.94427190999916 6 8.94427190999916 8.48528137423857 8.24621125123532 5.64575131106459 8.24621125123532 10.4721359549996 8.48528137423857 8.24621125123532
"Corinne2454" 8.77200187265877 8.77200187265877 8.77200187265877 9.2169905660283 7.91855268474473 9.2169905660283 4.58257569495584 0 7.81024967590665 8.32254184149229 9.2169905660283 5.74456264653803 9.2169905660283 8.77200187265877 8.5407941251551 5.56486372683627 8.5407941251551 10.372281323269 8.77200187265877 8.5407941251551
"Maman2460" 8.94427190999916 8.94427190999916 8.94427190999916 6.32455532033676 7.63441361516796 6.32455532033676 6.32455532033676 7.81024967590665 0 6.93719487780375 6.32455532033676 5.29150262212918 6.32455532033676 8.94427190999916 5.29150262212918 6.76885693668225 5.29150262212918 8.80802897123297 8.94427190999916 5.29150262212918
"plus grand2459" 6.80233260480864 6.80233260480864 6.80233260480864 4.15331193145904 4.15331193145904 4.15331193145904 8.24705317263495 8.32254184149229 6.93719487780375 0 4.15331193145904 5.69258240356725 4.15331193145904 6.80233260480864 4.77491721763537 6.77491721763537 4.77491721763537 10.153311931459 6.80233260480864 4.77491721763537
"Papa2462" 6.32455532033676 6.32455532033676 6.32455532033676 0 3.16227766016838 0 8.94427190999916 9.2169905660283 6.32455532033676 4.15331193145904 0 6 0 6.32455532033676 2 6.3166247903554 2 6 6.32455532033676 2
"croco3118" 6.6332495807108 6.6332495807108 6.6332495807108 6 6.3166247903554 6 6 5.74456264653803 5.29150262212918 5.69258240356725 6 0 6 6.6332495807108 5.65685424949238 3.16227766016838 5.65685424949238 6 6.6332495807108 5.65685424949238
"Papa2463" 6.32455532033676 6.32455532033676 6.32455532033676 0 3.16227766016838 0 8.94427190999916 9.2169905660283 6.32455532033676 4.15331193145904 0 6 0 6.32455532033676 2 6.3166247903554 2 6 6.32455532033676 2
"croco2458" 0 0 0 6.32455532033676 5.99070478491457 6.32455532033676 8.48528137423857 8.77200187265877 8.94427190999916 6.80233260480864 6.32455532033676 6.6332495807108 6.32455532033676 0 6.6332495807108 6.3166247903554 6.6332495807108 9.47890245052378 0 6.6332495807108
"Boubou2453" 6.6332495807108 6.6332495807108 6.6332495807108 2 4.3166247903554 2 8.24621125123532 8.5407941251551 5.29150262212918 4.77491721763537 2 5.65685424949238 2 6.6332495807108 0 5.99070478491457 0 6.82842712474619 6.6332495807108 0
"les deux2978" 6.3166247903554 6.3166247903554 6.3166247903554 6.3166247903554 4 6.3166247903554 5.64575131106459 5.56486372683627 6.76885693668225 6.77491721763537 6.3166247903554 3.16227766016838 6.3166247903554 6.3166247903554 5.99070478491457 0 5.99070478491457 6.3166247903554 6.3166247903554 5.99070478491457
