"uh-oh2797" "pushchair3098" "choo-choo2800" "oh no2789" "all gone2777" "tractor3448" "apple2056" "all gone3452" "uh-oh2630" "uh-oh2796" "all gone2779" "oh no2787" "choo-choo2070" "all gone2055" "choo-choo3159" "tractor2064" "all gone2776" "oh no2783" "oh no2781" "all gone3155"
"uh-oh2797" 0 13.2965891010147 10.4174714371587 6.70141047095361 12.0196902684232 9.34661403381801 9.65685424949238 11.5471599711819 13.0939688229597 2.82842712474619 5.47417843581078 6.70141047095361 12.218895357087 14.0143471620836 8.39329085158246 9.0173332383706 10.2394299444482 6.70141047095361 6.70141047095361 17.4855482846259
"pushchair3098" 13.2965891010147 0 6.53897220985243 10.4681619762685 15.1171608444946 12.3973045729279 10.7118825450506 12.4190134972043 14.3160419899341 10.4681619762685 14.4271395416522 10.4681619762685 8.63633631548607 16.6193533206292 11.7732621861397 10.0238185091821 14.4271395416522 10.4681619762685 10.4681619762685 22.5782457175961
"choo-choo2800" 10.4174714371587 6.53897220985243 0 7.58904431241249 12.2380431806386 9.51818690907182 7.83276488119461 9.53989583334827 12.4207189943202 7.58904431241249 11.5480218777962 7.58904431241249 9.64719854090439 13.7402356567732 8.89414452228368 11.0346807346004 11.5480218777962 7.58904431241249 7.58904431241249 19.6991280537401
"oh no2789" 6.70141047095361 10.4681619762685 7.58904431241249 0 9.79158506479536 6.51818690907182 6.95153275036385 9.36946258878112 9.97426087847696 3.87298334620742 8.47417843581078 0 9.39046823234084 11.802605560557 6.19258240356725 10.0618894598318 8.47417843581078 0 0 14.5041676792734
"all gone2777" 12.0196902684232 15.1171608444946 12.2380431806386 9.79158506479536 0 13.6580406356214 11.3423423912711 8.63388601156812 11.1310326853032 10.0828658845319 11.9292063821287 9.79158506479536 16.5303219588904 6.52842712474619 12.3727090083407 16.2717719981564 2.76405499221705 9.79158506479536 9.79158506479536 9.46346340477644
"tractor3448" 9.34661403381801 12.3973045729279 9.51818690907182 6.51818690907182 13.6580406356214 0 6.8166247903554 11.8172361651556 11.0122893245568 6.51818690907182 11.8321844913153 6.51818690907182 5.8166247903554 11.2402929689494 3.21698920010509 9.71974902778825 11.8321844913153 6.51818690907182 6.51818690907182 16.5210975261049
"apple2056" 9.65685424949238 10.7118825450506 7.83276488119461 6.95153275036385 11.3423423912711 6.8166247903554 0 9.66676083937803 5.86816395546032 6.82842712474619 11.1310326853032 6.95153275036385 10.7217496283087 7.97417843581078 6.07384344198544 11.7041069840515 11.1310326853032 6.95153275036385 6.95153275036385 15.2898664649957
"all gone3452" 11.5471599711819 12.4190134972043 9.53989583334827 9.36946258878112 8.63388601156812 11.8172361651556 9.66676083937803 0 14.1080644473789 9.61033558729061 12.6134918131549 9.36946258878112 14.6895174884246 10.3494366530596 11.1931937783675 15.799241700915 8.21359193188069 9.36946258878112 9.36946258878112 15.0299892434626
"uh-oh2630" 13.0939688229597 14.3160419899341 12.4207189943202 9.97426087847696 11.1310326853032 11.0122893245568 5.86816395546032 14.1080644473789 0 10.2655416982135 13.8950876775202 9.97426087847696 14.9174141625101 12.002605560557 9.90665661697782 15.1412215575188 13.8950876775202 9.97426087847696 9.97426087847696 17.2570892501842
"uh-oh2796" 2.82842712474619 10.4681619762685 7.58904431241249 3.87298334620742 10.0828658845319 6.51818690907182 6.82842712474619 9.61033558729061 10.2655416982135 0 8.30260556055697 3.87298334620742 9.39046823234084 12.0775227781923 5.56486372683627 6.18890611362441 8.30260556055697 3.87298334620742 3.87298334620742 15.5487239007346
"all gone2779" 5.47417843581078 14.4271395416522 11.5480218777962 8.47417843581078 11.9292063821287 11.8321844913153 11.1310326853032 12.6134918131549 13.8950876775202 8.30260556055697 0 8.47417843581078 14.7044658145843 14.6861609182251 10.8593432429453 14.4915116741814 9.16515138991168 8.47417843581078 8.47417843581078 18.3667135086281
"oh no2787" 6.70141047095361 10.4681619762685 7.58904431241249 0 9.79158506479536 6.51818690907182 6.95153275036385 9.36946258878112 9.97426087847696 3.87298334620742 8.47417843581078 0 9.39046823234084 11.802605560557 6.19258240356725 10.0618894598318 8.47417843581078 0 0 14.5041676792734
