"toba3376" "machar2398" "machar2399" "MAMA3375" "MAMA3374" "ayee!2701" "acha2960" "dadi2404" "oho!2959" "BOTTLE2395" "theek hai2411" "khana2397" "ganda2400" "BASKET2405" "nino BT2406" "vava BT2402" "BOTTLE2396" "sona2412" "vava BT2401" "Allah3569"
"toba3376" 0 16.1820515969374 16.1820515969374 15.2378170129395 9.76363857712876 8.97347903984778 9.34661403381801 6.99070478491457 9.34661403381801 9.30732957526997 9.46167670545699 9.77995987511004 13.4304352008876 12.7783014958124 10.1138104105322 8.02100952831344 12.333958028726 9.01868495617425 8.02100952831344 12.0915891777475
"machar2398" 16.1820515969374 0 0 15.328502303965 12.6827509929004 11.5272398282563 10.0133906756329 10.6879693524539 11.25199630305 9.21061503790086 11.039042162647 13.1992773420042 10.7418631073108 11.666760839378 11.889419047173 11.7574461304035 5.33833371463184 13.336865599495 11.7574461304035 14.5828963611699
"machar2399" 16.1820515969374 0 0 15.328502303965 12.6827509929004 11.5272398282563 10.0133906756329 10.6879693524539 11.25199630305 9.21061503790086 11.039042162647 13.1992773420042 10.7418631073108 11.666760839378 11.889419047173 11.7574461304035 5.33833371463184 13.336865599495 11.7574461304035 14.5828963611699
"MAMA3375" 15.2378170129395 15.328502303965 15.328502303965 0 7.93725393319377 10.5830052442584 12.2092558058525 13.5377138733645 11.7121711508291 12.0603595588114 12.4093898881934 12.9259162372971 14.2618092535305 15.7260146785488 11.6160579424659 12.2915026221292 15.2816712114624 13.4686293327413 12.2915026221292 14.7146600944161
"MAMA3374" 9.76363857712876 12.6827509929004 12.6827509929004 7.93725393319377 0 7.93725393319377 9.56350449478795 10.8919625622999 9.06641983976456 9.41460824774684 9.76363857712876 10.2801649262325 11.6160579424659 13.0802633674842 8.97030663140135 9.64575131106459 12.6359199003978 10.8228780216767 9.64575131106459 10.4560009869712
"ayee!2701" 8.97347903984778 11.5272398282563 11.5272398282563 10.5830052442584 7.93725393319377 0 2.69258240356725 6.32455532033676 2.69258240356725 5.99070478491457 3.3166247903554 6.3166247903554 6.16227766016838 9.46167670545699 6 5.3851648071345 9.0173332383706 5.56486372683627 5.3851648071345 5.74456264653803
"acha2960" 9.34661403381801 10.0133906756329 10.0133906756329 12.2092558058525 9.56350449478795 2.69258240356725 0 5.22383047297721 2 4.88997993755502 1.80277563773199 6.8166247903554 6.66227766016838 7.94782755283358 6.5 5.14207214635043 7.5034840857472 5.85486006373563 5.14207214635043 6.03455898343739
"dadi2404" 6.99070478491457 10.6879693524539 10.6879693524539 13.5377138733645 10.8919625622999 6.32455532033676 5.22383047297721 0 6.3638397788848 3.16227766016838 6.16227766016838 5.64575131106459 8.97030663140135 9.47890245052378 5.29150262212918 5 7.03455898343739 5.10293407795794 5 9.0759402485865
"oho!2959" 9.34661403381801 11.25199630305 11.25199630305 11.7121711508291 9.06641983976456 2.69258240356725 2 6.3638397788848 0 6.02998924346261 2.29128784747792 7.09154200799077 6.93719487780375 8.43633976257951 6.77491721763537 5.52100952831344 8.74208971316432 6.43423979034119 5.52100952831344 6.61393871004296
"BOTTLE2395" 9.30732957526997 9.21061503790086 9.21061503790086 12.0603595588114 9.41460824774684 5.99070478491457 4.88997993755502 3.16227766016838 6.02998924346261 0 5.82842712474619 5.96237610141999 8.63645609597916 6.3166247903554 6.76885693668225 5 3.87228132326901 6.24294338386553 5 8.74208971316431
"theek hai2411" 9.46167670545699 11.039042162647 11.039042162647 12.4093898881934 9.76363857712876 3.3166247903554 1.80277563773199 6.16227766016838 2.29128784747792 5.82842712474619 0 7.55926547747468 7.40491834728766 6.14505191510159 7.24264068711928 6.04668436981694 8.52913557276139 7.19258240356725 6.04668436981694 7.37228132326901
"khana2397" 9.77995987511004 13.1992773420042 13.1992773420042 12.9259162372971 10.2801649262325 6.3166247903554 6.8166247903554 5.64575131106459 7.09154200799077 5.96237610141999 7.55926547747468 0 6.47890245052378 10.8758902678301 4.24264068711928 6.85410196624968 9.35118377379279 4.09406348520991 6.85410196624968 8.48019396110233
"ganda2400" 13.4304352008876 10.7418631073108 10.7418631073108 14.2618092535305 11.6160579424659 6.16227766016838 6.66227766016838 8.97030663140135 6.93719487780375 8.63645609597916 7.40491834728766 6.47890245052378 0 13.5499702623893 6.16227766016838 9.35486006373563 12.025263768352 8.14614791121355 9.35486006373563 8.32584683091531
"BASKET2405" 12.7783014958124 11.666760839378 11.666760839378 15.7260146785488 13.0802633674842 9.46167670545699 7.94782755283358 9.47890245052378 8.43633976257951 6.3166247903554 6.14505191510159 10.8758902678301 13.5499702623893 0 11.6823711030923 9.17072675660508 6.32842712474619 11.0181869090718 9.17072675660508 13.5173332383706
"nino BT2406" 10.1138104105322 11.889419047173 11.889419047173 11.6160579424659 8.97030663140135 6 6.5 5.29150262212918 6.77491721763537 6.76885693668225 7.24264068711928 4.24264068711928 6.16227766016838 11.6823711030923 0 7 10.1576646090551 5.79128784747792 7 8.16356917074693
"vava BT2402" 8.02100952831344 11.7574461304035 11.7574461304035 12.2915026221292 9.64575131106459 5.3851648071345 5.14207214635043 5 5.52100952831344 5 6.04668436981694 6.85410196624968 9.35486006373563 9.17072675660508 7 0 8.06486372683627 5.61176740295156 0 8.72714138700465
