"kiikkaa3266" "pallo1842" "nam-nam3285" "yhtään3537" "tiktak2179" "nami2894" "koti2173" "nappi3544" "pallo1843" "tyttö3281" "setä2177" "kakku3265" "puuro1845" "viili2687" "korkki3269" "mummi3153" "kirja1837" "hauhau2688" "kukka3272" "piilo1844"
"kiikkaa3266" 0 9.79552724087918 16.0621591760633 8.97347903984778 6.6332495807108 11.1053855357104 3.3166247903554 9.64118011069216 9.79552724087918 8.48528137423857 8.97347903984778 0 9.79552724087918 9.9498743710662 0 12.2608967003546 6.6332495807108 9.9498743710662 0 9.79552724087918
"pallo1842" 9.79552724087918 0 11.0995315933622 9.6332495807108 9.79552724087918 5.64575131106459 6.47890245052378 9 0 9.79552724087918 6.47890245052378 9.79552724087918 0 3 9.79552724087918 5.80802897123297 3.16227766016838 3 9.79552724087918 0
"nam-nam3285" 16.0621591760633 11.0995315933622 0 14.2357745321283 16.0621591760633 7.93725393319377 14.2357745321283 11.6160579424659 11.0995315933622 16.0621591760633 14.2357745321283 16.0621591760633 11.0995315933622 10.5830052442584 16.0621591760633 5.29150262212918 12.4093898881934 10.5830052442584 16.0621591760633 11.0995315933622
"yhtään3537" 8.97347903984778 9.6332495807108 14.2357745321283 0 12.7783014958124 7.78876074535498 9.46167670545699 6.32455532033676 9.6332495807108 3.3166247903554 6.6332495807108 8.97347903984778 9.6332495807108 6.6332495807108 8.97347903984778 10.4345120564196 9.9498743710662 6.6332495807108 8.97347903984778 9.6332495807108
"tiktak2179" 6.6332495807108 9.79552724087918 16.0621591760633 12.7783014958124 0 11.1053855357104 3.3166247903554 12.7955272408792 9.79552724087918 12.2901038302032 8.97347903984778 6.6332495807108 9.79552724087918 9.9498743710662 6.6332495807108 12.2608967003546 6.6332495807108 9.9498743710662 6.6332495807108 9.79552724087918
"nami2894" 11.1053855357104 5.64575131106459 7.93725393319377 7.78876074535498 11.1053855357104 0 7.78876074535498 6.16227766016838 5.64575131106459 11.1053855357104 7.78876074535498 11.1053855357104 5.64575131106459 2.64575131106459 11.1053855357104 2.64575131106459 5.96237610141999 2.64575131106459 11.1053855357104 5.64575131106459
"koti2173" 3.3166247903554 6.47890245052378 14.2357745321283 9.46167670545699 3.3166247903554 7.78876074535498 0 9.47890245052378 6.47890245052378 8.97347903984778 5.65685424949238 3.3166247903554 6.47890245052378 6.6332495807108 3.3166247903554 8.94427190999916 3.3166247903554 6.6332495807108 3.3166247903554 6.47890245052378
"nappi3544" 9.64118011069216 9 11.6160579424659 6.32455532033676 12.7955272408792 6.16227766016838 9.47890245052378 0 9 9.64118011069216 9.47890245052378 9.64118011069216 9 6 9.64118011069216 8.80802897123297 9.3166247903554 6 9.64118011069216 9
"pallo1843" 9.79552724087918 0 11.0995315933622 9.6332495807108 9.79552724087918 5.64575131106459 6.47890245052378 9 0 9.79552724087918 6.47890245052378 9.79552724087918 0 3 9.79552724087918 5.80802897123297 3.16227766016838 3 9.79552724087918 0
"tyttö3281" 8.48528137423857 9.79552724087918 16.0621591760633 3.3166247903554 12.2901038302032 11.1053855357104 8.97347903984778 9.64118011069216 9.79552724087918 0 3.3166247903554 8.48528137423857 9.79552724087918 9.9498743710662 8.48528137423857 12.2608967003546 9.46167670545699 9.9498743710662 8.48528137423857 9.79552724087918
"setä2177" 8.97347903984778 6.47890245052378 14.2357745321283 6.6332495807108 8.97347903984778 7.78876074535498 5.65685424949238 9.47890245052378 6.47890245052378 3.3166247903554 0 8.97347903984778 6.47890245052378 6.6332495807108 8.97347903984778 8.94427190999916 6.14505191510159 6.6332495807108 8.97347903984778 6.47890245052378
"kakku3265" 0 9.79552724087918 16.0621591760633 8.97347903984778 6.6332495807108 11.1053855357104 3.3166247903554 9.64118011069216 9.79552724087918 8.48528137423857 8.97347903984778 0 9.79552724087918 9.9498743710662 0 12.2608967003546 6.6332495807108 9.9498743710662 0 9.79552724087918
"puuro1845" 9.79552724087918 0 11.0995315933622 9.6332495807108 9.79552724087918 5.64575131106459 6.47890245052378 9 0 9.79552724087918 6.47890245052378 9.79552724087918 0 3 9.79552724087918 5.80802897123297 3.16227766016838 3 9.79552724087918 0
"viili2687" 9.9498743710662 3 10.5830052442584 6.6332495807108 9.9498743710662 2.64575131106459 6.6332495807108 6 3 9.9498743710662 6.6332495807108 9.9498743710662 3 0 9.9498743710662 5.29150262212918 3.3166247903554 0 9.9498743710662 3
"korkki3269" 0 9.79552724087918 16.0621591760633 8.97347903984778 6.6332495807108 11.1053855357104 3.3166247903554 9.64118011069216 9.79552724087918 8.48528137423857 8.97347903984778 0 9.79552724087918 9.9498743710662 0 12.2608967003546 6.6332495807108 9.9498743710662 0 9.79552724087918
"mummi3153" 12.2608967003546 5.80802897123297 5.29150262212918 10.4345120564196 12.2608967003546 2.64575131106459 8.94427190999916 8.80802897123297 5.80802897123297 12.2608967003546 8.94427190999916 12.2608967003546 5.80802897123297 5.29150262212918 12.2608967003546 0 7.11788726606417 5.29150262212918 12.2608967003546 5.80802897123297
"kirja1837" 6.6332495807108 3.16227766016838 12.4093898881934 9.9498743710662 6.6332495807108 5.96237610141999 3.3166247903554 9.3166247903554 3.16227766016838 9.46167670545699 6.14505191510159 6.6332495807108 3.16227766016838 3.3166247903554 6.6332495807108 7.11788726606417 0 3.3166247903554 6.6332495807108 3.16227766016838
"hauhau2688" 9.9498743710662 3 10.5830052442584 6.6332495807108 9.9498743710662 2.64575131106459 6.6332495807108 6 3 9.9498743710662 6.6332495807108 9.9498743710662 3 0 9.9498743710662 5.29150262212918 3.3166247903554 0 9.9498743710662 3
"kukka3272" 0 9.79552724087918 16.0621591760633 8.97347903984778 6.6332495807108 11.1053855357104 3.3166247903554 9.64118011069216 9.79552724087918 8.48528137423857 8.97347903984778 0 9.79552724087918 9.9498743710662 0 12.2608967003546 6.6332495807108 9.9498743710662 0 9.79552724087918
"piilo1844" 9.79552724087918 0 11.0995315933622 9.6332495807108 9.79552724087918 5.64575131106459 6.47890245052378 9 0 9.79552724087918 6.47890245052378 9.79552724087918 0 3 9.79552724087918 5.80802897123297 3.16227766016838 3 9.79552724087918 0
