"super3010" "voilà3016" "ici3000" "marche pas3124" "bravo2990" "marche pas3125" "a pas2982" "voilà3014" "allô2984" "la lune2492" "l'avion2488" "garage2999" "marche pas3123" "ici3001" "encore2995" "là-haut1915" "caché2994" "la lune2493" "le pain3003" "la lune2491"
"super3010" 0 4.7169905660283 3.35410196624968 2.87228132326901 3.49857113690718 2.87228132326901 0 4.7169905660283 4.7169905660283 7.58927188929732 6.96316218523729 7.40957296959555 2.87228132326901 3.04138126514911 3.16227766016838 5.87228132326901 3.20156211871642 10.4615532125663 0 6.96316218523729
"voilà3016" 4.7169905660283 0 2.82842712474619 7.58927188929732 4.13400532171888 7.58927188929732 4.7169905660283 0 0 2.87228132326901 4.59919458696069 2.69258240356725 7.58927188929732 3.16227766016838 3.5 5.74456264653803 3 5.74456264653803 4.7169905660283 4.59919458696069
"ici3000" 3.35410196624968 2.82842712474619 0 6.2263832895187 4.86723740945518 6.2263832895187 3.35410196624968 2.82842712474619 2.82842712474619 5.7007084480152 5.84637629019939 5.52100952831344 6.2263832895187 1.4142135623731 1.11803398874989 5.91366258841812 1.73205080756888 8.57298977128422 3.35410196624968 5.84637629019939
"marche pas3124" 2.87228132326901 7.58927188929732 6.2263832895187 0 6.3708524601762 0 2.87228132326901 7.58927188929732 7.58927188929732 10.4615532125663 9.8354435085063 10.2818542928646 0 5.91366258841812 6.03455898343739 8.74456264653803 6.07384344198544 13.3338345358353 2.87228132326901 9.8354435085063
"bravo2990" 3.49857113690718 4.13400532171888 4.86723740945518 6.3708524601762 0 6.3708524601762 3.49857113690718 4.13400532171888 4.13400532171888 7.00628664498789 5.89344453570043 6.82658772528613 6.3708524601762 4.20594816896262 5.12249938994628 5.63633631548607 4.54862616621766 9.87856796825691 3.49857113690718 5.89344453570043
"marche pas3125" 2.87228132326901 7.58927188929732 6.2263832895187 0 6.3708524601762 0 2.87228132326901 7.58927188929732 7.58927188929732 10.4615532125663 9.8354435085063 10.2818542928646 0 5.91366258841812 6.03455898343739 8.74456264653803 6.07384344198544 13.3338345358353 2.87228132326901 9.8354435085063
"a pas2982" 0 4.7169905660283 3.35410196624968 2.87228132326901 3.49857113690718 2.87228132326901 0 4.7169905660283 4.7169905660283 7.58927188929732 6.96316218523729 7.40957296959555 2.87228132326901 3.04138126514911 3.16227766016838 5.87228132326901 3.20156211871642 10.4615532125663 0 6.96316218523729
"voilà3014" 4.7169905660283 0 2.82842712474619 7.58927188929732 4.13400532171888 7.58927188929732 4.7169905660283 0 0 2.87228132326901 4.59919458696069 2.69258240356725 7.58927188929732 3.16227766016838 3.5 5.74456264653803 3 5.74456264653803 4.7169905660283 4.59919458696069
"allô2984" 4.7169905660283 0 2.82842712474619 7.58927188929732 4.13400532171888 7.58927188929732 4.7169905660283 0 0 2.87228132326901 4.59919458696069 2.69258240356725 7.58927188929732 3.16227766016838 3.5 5.74456264653803 3 5.74456264653803 4.7169905660283 4.59919458696069
"la lune2492" 7.58927188929732 2.87228132326901 5.7007084480152 10.4615532125663 7.00628664498789 10.4615532125663 7.58927188929732 2.87228132326901 2.87228132326901 0 4.04474968323134 5.56486372683627 10.4615532125663 6.03455898343739 6.37228132326901 2.87228132326901 5.87228132326901 2.87228132326901 7.58927188929732 4.04474968323134
