"bravo3000" "allô2709" "marche pas3132" "encore3002" "fermé3005" "caché3001" "un deux3020" "la lune3126" "la lune2495" "marche pas3131" "le pain3011" "super3017" "marche pas3129" "là-haut1919" "l'avion2491" "bravo2997" "ici3008" "la lune2493" "chercher3123" "la lune2494"
"bravo3000" 0 2.69258240356725 5.56486372683627 2.69258240356725 3.5 2.23606797749979 2.5 6.03455898343739 8.90684030670641 5.56486372683627 2.69258240356725 2.69258240356725 5.56486372683627 5.56486372683627 5.84637629019939 3.7 2.44948974278318 5.84637629019939 5.14207214635043 6.03455898343739
"allô2709" 2.69258240356725 0 5.87228132326901 3.3166247903554 2.64575131106459 2.87228132326901 3.16227766016838 5.74456264653803 8.61684396980704 5.87228132326901 3 3 5.87228132326901 2.87228132326901 5.15363949069005 2.76405499221705 2.69258240356725 5.15363949069005 5.3851648071345 5.74456264653803
"marche pas3132" 5.56486372683627 5.87228132326901 0 6.03455898343739 6.03455898343739 6.07384344198544 6.18890611362441 8.32254184149229 13.3338345358353 0 2.87228132326901 2.87228132326901 0 8.74456264653803 9.8354435085063 6.3708524601762 5.91366258841812 9.8354435085063 5.2774492426489 10.4615532125663
"encore3002" 2.69258240356725 3.3166247903554 6.03455898343739 0 4.47213595499958 2.06155281280883 1 6.37228132326901 9.24456264653803 6.03455898343739 3.16227766016838 3.16227766016838 6.03455898343739 6.18890611362441 6.21550082507708 5.12249938994628 1.80277563773199 6.21550082507708 4.49535804129925 6.37228132326901
"fermé3005" 3.5 2.64575131106459 6.03455898343739 4.47213595499958 0 3.90512483795333 4.12310562561766 6.77740616122234 9.64968748449136 6.03455898343739 3.16227766016838 3.16227766016838 6.03455898343739 5.51803263433361 5.98856416719142 2.1540659228538 4.27200187265877 5.98856416719142 6.96458427622602 6.77740616122234
"caché3001" 2.23606797749979 2.87228132326901 6.07384344198544 2.06155281280883 3.90512483795333 0 2.29128784747792 5.87228132326901 8.74456264653803 6.07384344198544 3.20156211871642 3.20156211871642 6.07384344198544 5.74456264653803 6.27681974534503 4.54862616621766 2.23606797749979 6.27681974534503 4.92865038106704 5.87228132326901
"un deux3020" 2.5 3.16227766016838 6.18890611362441 1 4.12310562561766 2.29128784747792 0 5.91366258841812 8.78594391168714 6.18890611362441 3.3166247903554 3.3166247903554 6.18890611362441 6.03455898343739 5.77681974534503 4.82078831727758 2.06155281280883 5.77681974534503 4.75413521637608 5.91366258841812
"la lune3126" 6.03455898343739 5.74456264653803 8.32254184149229 6.37228132326901 6.77740616122234 5.87228132326901 5.91366258841812 0 8.61684396980704 8.32254184149229 7.58927188929732 7.58927188929732 8.32254184149229 8.61684396980704 7.47147591022971 7.00628664498789 6.03455898343739 7.47147591022971 6.32455532033676 5.74456264653803
"la lune2495" 8.90684030670641 8.61684396980704 13.3338345358353 9.24456264653803 9.64968748449136 8.74456264653803 8.78594391168714 8.61684396980704 0 13.3338345358353 10.4615532125663 10.4615532125663 13.3338345358353 5.74456264653803 6.91703100650035 9.87856796825691 8.90684030670641 6.91703100650035 11.5994227102737 2.87228132326901
"marche pas3131" 5.56486372683627 5.87228132326901 0 6.03455898343739 6.03455898343739 6.07384344198544 6.18890611362441 8.32254184149229 13.3338345358353 0 2.87228132326901 2.87228132326901 0 8.74456264653803 9.8354435085063 6.3708524601762 5.91366258841812 9.8354435085063 5.2774492426489 10.4615532125663
"le pain3011" 2.69258240356725 3 2.87228132326901 3.16227766016838 3.16227766016838 3.20156211871642 3.3166247903554 7.58927188929732 10.4615532125663 2.87228132326901 0 0 2.87228132326901 5.87228132326901 6.96316218523729 3.49857113690718 3.04138126514911 6.96316218523729 5.73396366871636 7.58927188929732
"super3017" 2.69258240356725 3 2.87228132326901 3.16227766016838 3.16227766016838 3.20156211871642 3.3166247903554 7.58927188929732 10.4615532125663 2.87228132326901 0 0 2.87228132326901 5.87228132326901 6.96316218523729 3.49857113690718 3.04138126514911 6.96316218523729 5.73396366871636 7.58927188929732
"marche pas3129" 5.56486372683627 5.87228132326901 0 6.03455898343739 6.03455898343739 6.07384344198544 6.18890611362441 8.32254184149229 13.3338345358353 0 2.87228132326901 2.87228132326901 0 8.74456264653803 9.8354435085063 6.3708524601762 5.91366258841812 9.8354435085063 5.2774492426489 10.4615532125663
"là-haut1919" 5.56486372683627 2.87228132326901 8.74456264653803 6.18890611362441 5.51803263433361 5.74456264653803 6.03455898343739 8.61684396980704 5.74456264653803 8.74456264653803 5.87228132326901 5.87228132326901 8.74456264653803 0 4.59919458696069 5.63633631548607 5.56486372683627 4.59919458696069 8.25744613040352 2.87228132326901
"l'avion2491" 5.84637629019939 5.15363949069005 9.8354435085063 6.21550082507708 5.98856416719142 6.27681974534503 5.77681974534503 7.47147591022971 6.91703100650035 9.8354435085063 6.96316218523729 6.96316218523729 9.8354435085063 4.59919458696069 0 5.89344453570043 5.52470033994176 0 8.21728274350901 4.04474968323134
"bravo2997" 3.7 2.76405499221705 6.3708524601762 5.12249938994628 2.1540659228538 4.54862616621766 4.82078831727758 7.00628664498789 9.87856796825691 6.3708524601762 3.49857113690718 3.49857113690718 6.3708524601762 5.63633631548607 5.89344453570043 0 4.20594816896262 5.89344453570043 6.89853057252987 7.00628664498789
"ici3008" 2.44948974278318 2.69258240356725 5.91366258841812 1.80277563773199 4.27200187265877 2.23606797749979 2.06155281280883 6.03455898343739 8.90684030670641 5.91366258841812 3.04138126514911 3.04138126514911 5.91366258841812 5.56486372683627 5.52470033994176 4.20594816896262 0 5.52470033994176 2.69258240356725 6.03455898343739
"la lune2493" 5.84637629019939 5.15363949069005 9.8354435085063 6.21550082507708 5.98856416719142 6.27681974534503 5.77681974534503 7.47147591022971 6.91703100650035 9.8354435085063 6.96316218523729 6.96316218523729 9.8354435085063 4.59919458696069 0 5.89344453570043 5.52470033994176 0 8.21728274350901 4.04474968323134
"chercher3123" 5.14207214635043 5.3851648071345 5.2774492426489 4.49535804129925 6.96458427622602 4.92865038106704 4.75413521637608 6.32455532033676 11.5994227102737 5.2774492426489 5.73396366871636 5.73396366871636 5.2774492426489 8.25744613040352 8.21728274350901 6.89853057252987 2.69258240356725 8.21728274350901 0 8.72714138700465
"la lune2494" 6.03455898343739 5.74456264653803 10.4615532125663 6.37228132326901 6.77740616122234 5.87228132326901 5.91366258841812 5.74456264653803 2.87228132326901 10.4615532125663 7.58927188929732 7.58927188929732 10.4615532125663 2.87228132326901 4.04474968323134 7.00628664498789 6.03455898343739 4.04474968323134 8.72714138700465 0
